Index,Description,IconIndex,OptionCount,Option0_code,Option0_Value,Option1_code,Option1_Value,Option2_code,Option2_Value,SendToOthers
16,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,390,RATING_BLOCKING_ADD,100,DEFENSE_MUL,50,1
17,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,405,RATING_BLOCKING_ADD,100,DEFENSE_MUL,50,1
18,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,420,RATING_BLOCKING_ADD,100,DEFENSE_MUL,50,1
19,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,435,RATING_BLOCKING_ADD,100,DEFENSE_MUL,50,1
20,순간 데미지 반사\순간 블록율 상승\순간 방어력 증가,24,3,REFLECT_DAMAGEHP_ADD,450,RATING_BLOCKING_ADD,100,DEFENSE_MUL,50,1
21,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-10,DEFENSE_MUL,-4,NONE,0,1
22,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-11,DEFENSE_MUL,-6,NONE,0,1
23,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-12,DEFENSE_MUL,-8,NONE,0,1
24,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-13,DEFENSE_MUL,-10,NONE,0,1
25,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-14,DEFENSE_MUL,-12,NONE,0,1
26,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-18,DEFENSE_MUL,-13,NONE,0,1
27,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-22,DEFENSE_MUL,-14,NONE,0,1
28,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-26,DEFENSE_MUL,-15,NONE,0,1
29,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-30,DEFENSE_MUL,-16,NONE,0,1
30,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-34,DEFENSE_MUL,-17,NONE,0,1
31,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-38,DEFENSE_MUL,-18,NONE,0,1
32,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-42,DEFENSE_MUL,-19,NONE,0,1
33,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-46,DEFENSE_MUL,-20,NONE,0,1
34,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-50,DEFENSE_MUL,-21,NONE,0,1
35,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-54,DEFENSE_MUL,-22,NONE,0,1
36,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-58,DEFENSE_MUL,-23,NONE,0,1
37,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-62,DEFENSE_MUL,-24,NONE,0,1
38,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-66,DEFENSE_MUL,-25,NONE,0,1
39,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-70,DEFENSE_MUL,-26,NONE,0,1
40,순간 방어력 감소,44,2,DEFENSE_MIN_ADD,-74,DEFENSE_MUL,-27,NONE,0,1
41,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,1403,SPEED_MOVE_MUL,-40,NONE,0,1
42,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,1658,SPEED_MOVE_MUL,-40,NONE,0,1
43,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,2212,SPEED_MOVE_MUL,-40,NONE,0,1
44,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,2556,SPEED_MOVE_MUL,-40,NONE,0,1
45,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,3113,SPEED_MOVE_MUL,-40,NONE,0,1
46,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,3864,SPEED_MOVE_MUL,-40,NONE,0,1
47,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,4552,SPEED_MOVE_MUL,-40,NONE,0,1
48,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,5523,SPEED_MOVE_MUL,-40,NONE,0,1
49,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,6630,SPEED_MOVE_MUL,-40,NONE,0,1
50,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,7885,SPEED_MOVE_MUL,-40,NONE,0,1
51,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,7885,SPEED_MOVE_MUL,-40,NONE,0,1
52,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,7885,SPEED_MOVE_MUL,-40,NONE,0,1
53,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,7885,SPEED_MOVE_MUL,-40,NONE,0,1
54,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,7885,SPEED_MOVE_MUL,-40,NONE,0,1
55,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,7885,SPEED_MOVE_MUL,-40,NONE,0,1
56,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,7885,SPEED_MOVE_MUL,-40,NONE,0,1
57,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,7885,SPEED_MOVE_MUL,-40,NONE,0,1
58,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,7885,SPEED_MOVE_MUL,-40,NONE,0,1
59,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,7885,SPEED_MOVE_MUL,-40,NONE,0,1
60,출혈 상태\걷기 장애,27,2,HP_DECREASE_ADD,7885,SPEED_MOVE_MUL,-40,NONE,0,1
61,HP 회복력 증가,28,1,HP_RECOVERY_ADD,9700,NONE,0,NONE,0,1
62,HP 회복력 증가,28,1,HP_RECOVERY_ADD,13300,NONE,0,NONE,0,1
63,HP 회복력 증가,28,1,HP_RECOVERY_ADD,16900,NONE,0,NONE,0,1
64,HP 회복력 증가,28,1,HP_RECOVERY_ADD,20500,NONE,0,NONE,0,1
65,HP 회복력 증가,28,1,HP_RECOVERY_ADD,24100,NONE,0,NONE,0,1
66,HP 회복력 증가,28,1,HP_RECOVERY_ADD,24900,NONE,0,NONE,0,1
67,HP 회복력 증가,28,1,HP_RECOVERY_ADD,25500,NONE,0,NONE,0,1
68,HP 회복력 증가,28,1,HP_RECOVERY_ADD,25900,NONE,0,NONE,0,1
69,HP 회복력 증가,28,1,HP_RECOVERY_ADD,26100,NONE,0,NONE,0,1
70,HP 회복력 증가,28,1,HP_RECOVERY_ADD,26300,NONE,0,NONE,0,1
71,HP 회복력 증가,28,1,HP_RECOVERY_ADD,26500,NONE,0,NONE,0,1
72,HP 회복력 증가,28,1,HP_RECOVERY_ADD,26700,NONE,0,NONE,0,1
73,HP 회복력 증가,28,1,HP_RECOVERY_ADD,26900,NONE,0,NONE,0,1
74,HP 회복력 증가,28,1,HP_RECOVERY_ADD,27100,NONE,0,NONE,0,1
75,HP 회복력 증가,28,1,HP_RECOVERY_ADD,27300,NONE,0,NONE,0,1
76,HP 회복력 증가,28,1,HP_RECOVERY_ADD,27500,NONE,0,NONE,0,1
77,HP 회복력 증가,28,1,HP_RECOVERY_ADD,27700,NONE,0,NONE,0,1
78,HP 회복력 증가,28,1,HP_RECOVERY_ADD,27900,NONE,0,NONE,0,1
79,HP 회복력 증가,28,1,HP_RECOVERY_ADD,28100,NONE,0,NONE,0,1
80,HP 회복력 증가,28,1,HP_RECOVERY_ADD,28300,NONE,0,NONE,0,1
81,0,31,0,NONE,0,NONE,0,NONE,0,1
82,0,31,0,NONE,0,NONE,0,NONE,0,1
83,0,31,0,NONE,0,NONE,0,NONE,0,1
84,0,31,0,NONE,0,NONE,0,NONE,0,1
85,0,31,0,NONE,0,NONE,0,NONE,0,1
86,0,31,0,NONE,0,NONE,0,NONE,0,1
87,0,31,0,NONE,0,NONE,0,NONE,0,1
88,0,31,0,NONE,0,NONE,0,NONE,0,1
89,0,31,0,NONE,0,NONE,0,NONE,0,1
90,0,31,0,NONE,0,NONE,0,NONE,0,1
91,0,31,0,NONE,0,NONE,0,NONE,0,1
92,0,31,0,NONE,0,NONE,0,NONE,0,1
93,0,31,0,NONE,0,NONE,0,NONE,0,1
94,0,31,0,NONE,0,NONE,0,NONE,0,1
95,0,31,0,NONE,0,NONE,0,NONE,0,1
96,0,31,0,NONE,0,NONE,0,NONE,0,1
97,0,31,0,NONE,0,NONE,0,NONE,0,1
98,0,31,0,NONE,0,NONE,0,NONE,0,1
99,0,31,0,NONE,0,NONE,0,NONE,0,1
100,0,31,0,NONE,0,NONE,0,NONE,0,1
101,이동속도 증가,29,1,SPEED_MOVE_MUL,35,NONE,0,NONE,0,1
102,이동속도 증가,29,1,SPEED_MOVE_MUL,40,NONE,0,NONE,0,1
103,이동속도 증가,29,1,SPEED_MOVE_MUL,45,NONE,0,NONE,0,1
104,이동속도 증가,29,1,SPEED_MOVE_MUL,50,NONE,0,NONE,0,1
105,이동속도 증가,29,1,SPEED_MOVE_MUL,50,NONE,0,NONE,0,1
106,이동속도 증가,29,1,SPEED_MOVE_MUL,50,NONE,0,NONE,0,1
107,이동속도 증가,29,1,SPEED_MOVE_MUL,50,NONE,0,NONE,0,1
108,이동속도 증가,29,1,SPEED_MOVE_MUL,50,NONE,0,NONE,0,1
109,이동속도 증가,29,1,SPEED_MOVE_MUL,50,NONE,0,NONE,0,1
110,이동속도 증가,29,1,SPEED_MOVE_MUL,50,NONE,0,NONE,0,1
111,이동속도 증가,29,1,SPEED_MOVE_MUL,50,NONE,0,NONE,0,1
112,이동속도 증가,29,1,SPEED_MOVE_MUL,50,NONE,0,NONE,0,1
113,이동속도 증가,29,1,SPEED_MOVE_MUL,50,NONE,0,NONE,0,1
114,이동속도 증가,29,1,SPEED_MOVE_MUL,50,NONE,0,NONE,0,1
115,이동속도 증가,29,1,SPEED_MOVE_MUL,50,NONE,0,NONE,0,1
116,이동속도 증가,29,1,SPEED_MOVE_MUL,50,NONE,0,NONE,0,1
117,이동속도 증가,29,1,SPEED_MOVE_MUL,50,NONE,0,NONE,0,1
118,이동속도 증가,29,1,SPEED_MOVE_MUL,50,NONE,0,NONE,0,1
119,이동속도 증가,29,1,SPEED_MOVE_MUL,50,NONE,0,NONE,0,1
120,이동속도 증가,29,1,SPEED_MOVE_MUL,50,NONE,0,NONE,0,1
121,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,32,SPEED_ATTACK_MUL,7,DAMAGE_PHYSICAL_MUL,7,1
122,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,35,SPEED_ATTACK_MUL,10,DAMAGE_PHYSICAL_MUL,9,1
123,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,38,SPEED_ATTACK_MUL,13,DAMAGE_PHYSICAL_MUL,11,1
124,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,41,SPEED_ATTACK_MUL,16,DAMAGE_PHYSICAL_MUL,13,1
125,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,44,SPEED_ATTACK_MUL,19,DAMAGE_PHYSICAL_MUL,15,1
126,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,47,SPEED_ATTACK_MUL,22,DAMAGE_PHYSICAL_MUL,16,1
127,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,50,SPEED_ATTACK_MUL,22,DAMAGE_PHYSICAL_MUL,17,1
128,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,53,SPEED_ATTACK_MUL,22,DAMAGE_PHYSICAL_MUL,18,1
129,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,56,SPEED_ATTACK_MUL,22,DAMAGE_PHYSICAL_MUL,19,1
130,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,59,SPEED_ATTACK_MUL,22,DAMAGE_PHYSICAL_MUL,20,1
131,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,62,SPEED_ATTACK_MUL,22,DAMAGE_PHYSICAL_MUL,21,1
132,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,65,SPEED_ATTACK_MUL,22,DAMAGE_PHYSICAL_MUL,21,1
133,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,68,SPEED_ATTACK_MUL,22,DAMAGE_PHYSICAL_MUL,21,1
134,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,71,SPEED_ATTACK_MUL,22,DAMAGE_PHYSICAL_MUL,21,1
135,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,74,SPEED_ATTACK_MUL,22,DAMAGE_PHYSICAL_MUL,21,1
136,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,77,SPEED_ATTACK_MUL,22,DAMAGE_PHYSICAL_MUL,21,1
137,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,80,SPEED_ATTACK_MUL,22,DAMAGE_PHYSICAL_MUL,21,1
138,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,83,SPEED_ATTACK_MUL,22,DAMAGE_PHYSICAL_MUL,21,1
139,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,86,SPEED_ATTACK_MUL,22,DAMAGE_PHYSICAL_MUL,21,1
140,크리티컬 증가\물리 공격력 증가\순간 공격속도 증가,30,3,RATING_CRITICAL_ADD,89,SPEED_ATTACK_MUL,22,DAMAGE_PHYSICAL_MUL,21,1
141,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-354,NONE,0,NONE,0,1
142,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-394,NONE,0,NONE,0,1
143,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-436,NONE,0,NONE,0,1
144,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-481,NONE,0,NONE,0,1
145,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-528,NONE,0,NONE,0,1
146,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-595,NONE,0,NONE,0,1
147,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-649,NONE,0,NONE,0,1
148,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-725,NONE,0,NONE,0,1
149,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-807,NONE,0,NONE,0,1
150,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-894,NONE,0,NONE,0,1
151,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-894,NONE,0,NONE,0,1
152,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-894,NONE,0,NONE,0,1
153,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-894,NONE,0,NONE,0,1
154,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-894,NONE,0,NONE,0,1
155,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-894,NONE,0,NONE,0,1
156,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-894,NONE,0,NONE,0,1
157,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-894,NONE,0,NONE,0,1
158,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-894,NONE,0,NONE,0,1
159,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-894,NONE,0,NONE,0,1
160,일정시간 최대 체력 감소,49,1,HP_MAX_ADD,-894,NONE,0,NONE,0,1
161,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
162,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
163,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
164,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
165,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
166,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
167,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
168,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
169,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
170,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
171,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
172,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
173,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
174,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
175,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
176,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
177,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
178,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
179,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
180,순간 스턴 효과,108,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
181,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-6,DAMAGE_MAGICAL_MUL,-6,NONE,0,1
182,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-7,DAMAGE_MAGICAL_MUL,-7,NONE,0,1
183,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-8,DAMAGE_MAGICAL_MUL,-8,NONE,0,1
184,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-9,DAMAGE_MAGICAL_MUL,-9,NONE,0,1
185,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-10,DAMAGE_MAGICAL_MUL,-10,NONE,0,1
186,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-11,DAMAGE_MAGICAL_MUL,-11,NONE,0,1
187,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-12,DAMAGE_MAGICAL_MUL,-12,NONE,0,1
188,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-13,DAMAGE_MAGICAL_MUL,-13,NONE,0,1
189,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-14,DAMAGE_MAGICAL_MUL,-14,NONE,0,1
190,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-15,DAMAGE_MAGICAL_MUL,-15,NONE,0,1
191,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-16,DAMAGE_MAGICAL_MUL,-16,NONE,0,1
192,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-17,DAMAGE_MAGICAL_MUL,-17,NONE,0,1
193,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-18,DAMAGE_MAGICAL_MUL,-18,NONE,0,1
194,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-19,DAMAGE_MAGICAL_MUL,-19,NONE,0,1
195,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-20,DAMAGE_MAGICAL_MUL,-20,NONE,0,1
196,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-21,DAMAGE_MAGICAL_MUL,-21,NONE,0,1
197,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-22,DAMAGE_MAGICAL_MUL,-22,NONE,0,1
198,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-23,DAMAGE_MAGICAL_MUL,-23,NONE,0,1
199,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-24,DAMAGE_MAGICAL_MUL,-24,NONE,0,1
200,공격력 감소,52,2,DAMAGE_PHYSICAL_MUL,-25,DAMAGE_MAGICAL_MUL,-25,NONE,0,1
201,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
202,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
203,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
204,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
205,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
206,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
207,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
208,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
209,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
210,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
211,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
212,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
213,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
214,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
215,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
216,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
217,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
218,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
219,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
220,순간 스턴 효과,40,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
221,디피트율 감소\공격 속도 감소,63,2,DEFENSE_DEFEATRATE_MUL,9,SPEED_ATTACK_MUL,-30,NONE,0,1
222,디피트율 감소\공격 속도 감소,63,2,DEFENSE_DEFEATRATE_MUL,10,SPEED_ATTACK_MUL,-30,NONE,0,1
223,디피트율 감소\공격 속도 감소,63,2,DEFENSE_DEFEATRATE_MUL,11,SPEED_ATTACK_MUL,-30,NONE,0,1
224,디피트율 감소\공격 속도 감소,63,2,DEFENSE_DEFEATRATE_MUL,12,SPEED_ATTACK_MUL,-30,NONE,0,1
225,디피트율 감소\공격 속도 감소,63,2,DEFENSE_DEFEATRATE_MUL,13,SPEED_ATTACK_MUL,-30,NONE,0,1
226,디피트율 감소\공격 속도 감소,63,2,DEFENSE_DEFEATRATE_MUL,14,SPEED_ATTACK_MUL,-30,NONE,0,1
227,디피트율 감소\공격 속도 감소,63,2,DEFENSE_DEFEATRATE_MUL,15,SPEED_ATTACK_MUL,-30,NONE,0,1
228,디피트율 감소\공격 속도 감소,63,2,DEFENSE_DEFEATRATE_MUL,16,SPEED_ATTACK_MUL,-30,NONE,0,1
229,디피트율 감소\공격 속도 감소,63,2,DEFENSE_DEFEATRATE_MUL,17,SPEED_ATTACK_MUL,-30,NONE,0,1
230,디피트율 감소\공격 속도 감소,63,2,DEFENSE_DEFEATRATE_MUL,18,SPEED_ATTACK_MUL,-30,NONE,0,1
231,디피트율 감소\공격 속도 감소,63,2,DEFENSE_DEFEATRATE_MUL,19,SPEED_ATTACK_MUL,-30,NONE,0,1
232,디피트율 감소\공격 속도 감소,63,2,DEFENSE_DEFEATRATE_MUL,20,SPEED_ATTACK_MUL,-30,NONE,0,1
