Index,Name,MapFile,MapObject,MapEffect,MapAttribute,PosFile,Camera_Near_Distance,Camera_Far_Distance,Camera_Height,Camera_MinAngle,Camera_MaxAngle,DefaultZoom,Default_H_Angle,Default_V_Angle,Reflect_Height,Roof_Height,OnedayTime(Min),EnvironmentFile,EnvironmentMap,Clip_Far,Preloading,Cull_Base,Cull_Plant,Cull_Tree,Cull_Rock,Cull_Building,Cull_BuildingExtra,Cull_Effect,MipMapEnable,MipMapBias,PcStore,PeaceZone,wChaoticDecrease,dwChaoticDecreasePeriod,Map_Type,IsPortal,IsPvP,IsSiege,IsReturnScroll,IsWarFog,MoveSpeedFactor,IS_DUNGEON,LoadatServer,MapPath,MonsterLocatePath,NPCLocatePath,BrickLocatePath,StartX,StartY,StartDirection,RetMapIndex,RetX,RetY,RetDirection,IsReturn,IsNotIncreaseChao,MonsterRespawnFactor,ScriptName,PARTYDUNGEON,SOLODUNGEON,DUNGEONSCRIPTNAME,LIMITLEVELMIN,LIMITLEVELMAX,DESTORYTIME,REQUETADVPOINT,REQUETDIL,KickTo_Map,KickTo_X,KickTo_Y,KickTo_DIR,IsSiegeSeal,IsVehicle,IsFindAuto,IsOrnament,IsGuildObserver,MonsterLimit,StrLevelCapPath,FOV,IsPet
12,Crespo,crespo.map,crespo.mol,crespo.mel,crespo.mac,Map\12_Crespo\NPC_12_Crespo.csv,2,18,1.7,-70,80,12,50,50,-0.7,0,90,light_haihaff.txt,water/skyCube_hai=.dds,75,crespo.pre,60,17,10,15,0,20,10,0,0,0,0,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\12_Crespo\m012.mal,..\Share\Map\12_Crespo\MON_12_Crespo.csv,..\Share\Map\12_Crespo\NPC_12_Crespo.csv,,0,0,0,0,0,0,0,0,0,100,Map12_Crespo,0,0,,55,170,0,0,0,0,100,100,0,0,1,1,1,0,200,PC\LevelCap\Default.csv,0.65,1
13,Draco Desert,draco.map,draco.mol,draco.mel,draco.mac,Map\13_Draco\NPC_13_Draco.csv,2,18,1.7,-70,80,12,50,50,-1,0,90,light_draco.txt,water/skyCube_dri=.dds,75,draco.pre,60,17,10,15,0,20,10,0,0,0,0,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\13_Draco\m013.mal,..\Share\Map\13_Draco\MON_13_Draco.csv,..\Share\Map\13_Draco\NPC_13_Draco.csv,,0,0,0,0,0,0,0,0,0,100,Map13_Draco,0,0,,65,170,0,0,0,0,100,100,0,0,1,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
14,Norak Cave 2nd Fl.,norak_2.map,norak_2.mol,norak_2.mel,norak_2.mac,Map\14_Norak_2nd\NPC_14_Norak_2nd.csv,3.5,20,1,10,88,12,50,50,-0.3,0,90,light_norak.txt,water/skyCube_no=.dds,75,norak_2nd.pre,58,17,10,15,0,20,15,1,-0.5,0,0,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\14_Norak_2nd\m014.mal,..\Share\Map\14_Norak_2nd\MON_14_Norak_2nd.csv,..\Share\Map\14_Norak_2nd\NPC_14_Norak_2nd.csv,,0,0,0,0,0,0,0,0,0,100,Map14_Norak2,0,0,,1,170,0,0,0,0,100,100,0,0,1,1,1,0,200,PC\LevelCap\Default.csv,0.65,1
15,Castor Cave 2nd Fl.,castor_2.map,castor_2.mol,castor_2.mel,castor_2.mac,Map\15_Castor_2nd\NPC_15_Castor_2nd.csv,3.5,20,1,10,88,12,50,50,-1,0,90,light_castor.txt,water/skyCube_no=.dds,75,castor_2nd.pre,60,17,10,15,0,20,15,1,-0.5,0,0,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\15_Castor_2nd\m015.mal,..\Share\Map\15_Castor_2nd\MON_15_Castor_2nd.csv,..\Share\Map\15_Castor_2nd\NPC_15_Castor_2nd.csv,,0,0,0,0,0,0,0,0,0,100,Map15_Castor2,0,0,,1,170,0,0,0,0,100,100,0,0,1,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
16,Braiken Castle Underground Prison,prison.map,prison.mol,prison.mel,prison.mac,Map\16_Prison\NPC_16_Prison.csv,3.5,20,1,10,88,12,50,50,-1000,0,90,light_prison.txt,water/skyCube=.dds,75,,58,17,10,15,0,20,15,1,-0.5,0,1,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\16_Prison\m016.mal,,..\Share\Map\16_Prison\NPC_16_Prison.csv,,0,0,0,0,0,0,0,0,0,100,,0,0,,1,170,0,0,0,0,100,100,0,0,1,1,1,0,200,PC\LevelCap\Default.csv,0.65,1
17,Requies Beach,requies.map,requies.mol,requies.mel,requies.mac,Map\17_Requies\NPC_17_Requies.csv,2,18,1.7,-70,80,12,50,50,-4.2,0,90,light_requies.txt,water/skyCube_dri=.dds,75,requies.pre,60,17,10,15,0,20,10,0,0,0,0,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\17_Requies\m017.mal,..\Share\Map\17_Requies\MON_17_Requies.csv,..\Share\Map\17_Requies\NPC_17_Requies.csv,,0,0,0,0,0,0,0,0,0,100,Map17_Requies,0,0,,1,170,0,0,0,0,100,100,0,0,1,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
100,Knight Selection Map,cs_k02.map,cs_k02.mol,cs_k02.mel,cs_k02.mac,,1,1000,1.3,-70,88,13.23,156.42,0,-1000,0,90,light_cs_k02.txt,water/skyCube=.dds,1000,,1000,0,0,0,0,0,0,1,-0.5,0,1,0,60000,0,1,1,0,1,0,1,0,0,,,,,0,0,0,0,0,0,0,0,0,100,,0,0,,0,0,0,0,0,0,100,100,0,0,1,1,1,0,200,PC\LevelCap\Default.csv,0.65,1
101,Hunter Selection Map,cs_ar02.map,cs_ar02.mol,cs_ar02.mel,cs_ar02.mac,,1,1000,1,-70,88,27.57,338.62,2.43,-1000,0,90,light_cs_ar02.txt,water/skyCube=.dds,1000,,1000,0,0,0,0,0,0,1,-0.5,0,1,0,60000,0,1,1,0,1,0,1,0,0,,,,,0,0,0,0,0,0,0,0,0,100,,0,0,,0,0,0,0,0,0,100,100,0,0,1,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
102,Magician Selection Map,cs_so02.map,cs_so02.mol,cs_so02.mel,cs_so02.mac,,1,1000,1.3,-70,88,23.34,-118.78,1,-1000,0,90,light_cs_so02.txt,water/skyCube=.dds,1000,,1000,0,0,0,0,0,0,1,-0.5,0,1,0,60000,0,1,1,0,1,0,1,0,0,,,,,0,0,0,0,0,0,0,0,0,100,,0,0,,0,0,0,0,0,0,100,100,0,0,1,1,1,0,200,PC\LevelCap\Default.csv,0.65,1
103,Summoner Selection Map,cs_su02.map,cs_su02.mol,cs_su02.mel,cs_su02.mac,,1,1000,1.3,-70,88,1.17,0.57,0.98,-1000,0,90,light_cs_su02.txt,water/skyCube=.dds,1000,,1000,0,0,0,0,0,0,1,-0.5,0,1,0,60000,0,1,1,0,1,0,1,0,0,,,,,0,0,0,0,0,0,0,0,0,100,,0,0,,0,0,0,0,0,0,100,100,0,0,1,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
104,Healer Selection Map,cs_seg02.map,cs_seg02.mol,cs_seg02.mel,cs_seg02.mac,,1,1000,1.3,-70,88,3.17,-173.77,1,-1000,0,90,light_cs_seg02.txt,water/skyCube=.dds,1000,,1000,0,0,0,0,0,0,1,-0.5,0,1,0,60000,0,1,1,0,1,0,1,0,0,,,,,0,0,0,0,0,0,0,0,0,100,,0,0,,0,0,0,0,0,0,100,100,0,0,1,1,1,0,200,PC\LevelCap\Default.csv,0.65,1
105,Login,login.map,login.mol,login.mel,login.mac,,1,1000,1,-70,88,11,177.7,5.73,-1000,0,90,light_login.txt,water/skyCube=.dds,1000,,1000,0,0,0,0,0,0,1,-0.5,0,1,0,60000,0,1,1,0,1,0,1,0,0,,,,,0,0,0,0,0,0,0,0,0,100,,0,0,,0,0,0,0,0,0,100,100,0,0,1,1,1,0,200,PC\LevelCap\Default.csv,0.65,1
106,Bagi Selection Map,cs_bagi.map,cs_bagi.mol,cs_bagi.mel,cs_bagi.mac,,1,1000,1,-70,88,15.5,268.7,0.03,0.1,0,90,light_cs_bagi.txt,water/skyCube=.dds,1000,,1000,0,0,0,0,0,0,1,-0.5,0,1,0,60000,0,1,1,0,1,0,1,0,0,,,,,0,0,0,0,0,0,0,0,0,100,,0,0,,0,0,0,0,0,0,100,100,0,0,1,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
18,Avalon Island,avalon.map,avalon.mol,Avalon.mel,Avalon.mac,Map\18_Avalon\NPC_18_Avalon.csv,2,18,1.7,-70,80,12,50,50,-2.2,0,90,light_requies.txt,water/skyCube_dri=.dds,75,,60,17,10,15,0,20,10,0,0,0,0,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\18_Avalon\m018.mal,..\Share\Map\18_Avalon\MON_18_Avalon.csv,..\Share\Map\18_Avalon\NPC_18_Avalon.csv,,0,0,0,0,0,0,0,0,0,100,Map18_Avalon,0,0,,85,170,0,0,0,0,100,100,0,0,1,1,1,0,200,PC\LevelCap\Default.csv,0.65,1
19,Python Castle,Python.map,Python.mol,Python.mel,Python.mac,Map\19_Python\NPC_19_Python.csv,2,18,1.7,-70,80,12,50,50,-0.9,0,90,light_Python.txt,water/skyCube_dri=.dds,75,Python.pre,60,17,10,15,0,20,10,0,0,0,0,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\19_Python\m019.mal,..\Share\Map\19_Python\MON_19_Python.csv,..\Share\Map\19_Python\NPC_19_Python.csv,,0,0,0,0,0,0,0,0,0,100,Map19_Python,0,0,,80,170,0,0,0,0,100,100,0,0,1,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
20,Tomb of the Black Dragon,python_below.map,python_below.mol,python_below.mel,python_below.mac,Map\20_Under_Python\NPC_20__Under_Python.csv,3.5,20,1,10,63,12,50,50,-0.7,0,30,light_python_below.txt,water/skyCube=.dds,75,Oread_tomb.pre,68,17,10,15,0,20,15,0,0,0,0,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\20_Under_Python\m020.mal,..\Share\Map\20_Under_Python\MON_20_Under_Python.csv,..\Share\Map\20_Under_Python\NPC_20__Under_Python.csv,,0,0,0,0,0,0,0,0,0,100,Map20_Python_below,0,0,,95,170,0,0,0,0,100,100,0,0,1,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
21,Cursed Maze,python_below_2.map,python_below_2.mol,python_below_2.mel,python_below_2.mac,Map\21_Under_Python2\NPC_21_Under_Python2.csv,3.5,20,1,10,63,12,50,50,-0.9,0,30,light_python_below_2.txt,water/skyCube=.dds,75,Python2.pre,68,17,10,15,0,20,15,0,0,0,0,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\21_Under_Python2\m021.mal,..\Share\Map\21_Under_Python2\MON_21_Under_Python2.csv,..\Share\Map\21_Under_Python2\NPC_21_Under_Python2.csv,,0,0,0,0,0,0,0,0,0,100,Map21_Python_below2,0,0,,105,170,0,0,0,0,100,100,0,0,1,1,1,0,200,PC\LevelCap\Default.csv,0.65,1
22,Undo Stadium,Arena.map,Arena.mol,Arena.mel,Arena.mac,,2,40,1.7,-70,80,12,50,50,0.67,0,90,light_Arena.txt,water/skyCube_dri=.dds,200,,200,17,10,15,0,20,10,0,0,0,1,3,60000,0,1,1,0,1,0,1,0,1,..\Share\Map\22_Undo_Stadion\m022.mal,,,..\Share\Map\22_Undo_Stadion\BRICK_22_UndoStadion.csv,0,0,0,0,11,11,0,1,1,100,Undo_Stadion,0,0,,1,170,0,0,0,0,100,100,0,0,1,0,1,1,200,PC\LevelCap\Default.csv,0.65,1
23,Genoa Castle,warfare.map,warfare.mol,warfare.mel,warfare.mac,Map\23_Siege\NPC_23_Siege.csv,2,18,1.7,-70,80,12,50,50,8,0,90,light_warfare.txt,water/skyCube_dri=.dds,75,,60,17,10,15,0,20,10,0,0,0,0,3,60000,0,0,1,1,1,0,1,0,1,..\Share\Map\23_Siege\m023.mal,,..\Share\Map\23_Siege\NPC_23_Siege.csv,..\Share\Map\23_Siege\BRICK_23_Siege.csv,0,0,0,0,0,0,0,1,1,100,,0,0,,1,170,0,0,0,0,100,100,0,0,0,1,1,0,200,PC\LevelCap\Default.csv,0.65,0
24,Magic Field of Crevice C,indun_01.map,indun_01.mol,indun_01.mel,indun_01.mac,,2,18,1.7,-70,80,12,50,50,-0.9,0,90,light_indun_01.txt,water/skyCube_dri=.dds,75,Infinite Hunt.pre,60,17,10,15,0,20,10,0,0,0,0,3,60000,0,0,0,0,0,1,1,1,1,..\Share\Map\24_Infinitehunt\m024.mal,,..\Share\Map\24_Infinitehunt\NPC_24_Infinitehunt.csv,,130,130,0,0,0,0,0,0,0,100,Infinite Hunt_C,1,0,,90,170,0,0,1000000,19,363,256,0,0,0,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
25,Treasure of Crespo C,indun_02.map,indun_02.mol,indun_02.mel,indun_02.mac,,3.5,20,1,10,63,12,50,50,-0.9,0,30,light_python_below_2.txt,water/skyCube=.dds,75,crespoTreasure.pre,68,17,10,15,0,20,15,0,0,0,0,3,60000,0,0,0,0,0,1,1,1,1,..\Share\Map\25_CrespoTreasure\m025.mal,..\Share\Map\25_CrespoTreasure\MON_25_CrespoTreasure.csv,..\Share\Map\25_CrespoTreasure\NPC_25_CrespoTreasure.csv,..\Share\Map\25_CrespoTreasure\BRICK_25_CrespoTreasure.csv,361,184,0,0,0,0,0,0,0,100,Treasure of Crespo_C,1,1,,60,170,0,0,300000,12,80,471,0,0,0,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
26,Aquarius,Undersea.map,Undersea.mol,Undersea.mel,Undersea.mac,Map\26_Aquarius\NPC_26_Aquarius.csv,2,18,1.7,-70,80,12,50,50,-1000,0,90,light_Undersea.txt,water/skyCube_dri=.dds,75,,60,17,10,15,0,20,10,0,0,0,0,3,60000,1,1,1,0,1,0,0.8,0,1,..\Share\Map\26_Aquarius\m026.mal,..\Share\Map\26_Aquarius\MON_26_Aquarius.csv,..\Share\Map\26_Aquarius\NPC_26_Aquarius.csv,..\Share\Map\26_Aquarius\BRICK_26_Aquarius.csv,0,0,0,0,0,0,0,0,0,100,Map26_Undersea,0,0,,115,170,0,0,0,0,100,100,0,0,0,1,1,0,200,PC\LevelCap\Default.csv,0.65,1
27,Rookie Maze,conscript_A.map,conscript_A.mol,conscript_A.mel,conscript_A.mac,,2,18,1.7,-70,80,12,50,50,-0.9,0,90,light_conscript_A_01.txt,water/skyCube_dri=.dds,75,ares_n.pre,60,17,10,15,0,20,10,0,0,0,0,3,60000,0,0,0,0,0,1,1,1,1,..\Share\Map\24_Infinitehunt\m024.mal,..\Share\Map\27_conscript_A\MON_27_conscript_A.csv,..\Share\Map\27_conscript_A\NPC_27_conscript_A.csv,..\Share\Map\27_conscript_A\BRICK_27_conscript_A.csv,485,312,0,0,0,0,0,0,0,100,A Maze of The Conscript_Ares,0,1,,1,20,0,0,0,1,472,152,0,0,0,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
28,Rookie Maze,conscript_M.map,conscript_M.mol,conscript_M.mel,conscript_M.mac,,2,18,1.7,-70,80,12,50,50,-0.9,0,90,light_conscript_A_01.txt,water/skyCube_dri=.dds,75,ares_n.pre,60,17,10,15,0,20,10,0,0,0,0,3,60000,0,0,0,0,0,1,1,1,1,..\Share\Map\24_Infinitehunt\m024.mal,..\Share\Map\28_conscript_M\MON_28_conscript_M.csv,..\Share\Map\28_conscript_M\NPC_28_conscript_M.csv,..\Share\Map\28_conscript_M\BRICK_28_conscript_M.csv,485,312,0,0,0,0,0,0,0,100,A Maze of The Conscript_Morte,0,1,,1,20,0,0,0,8,478,147,0,0,0,1,1,0,200,PC\LevelCap\Default.csv,0.65,1
29,Cave of Abyss,indun_warfare.map,indun_warfare.mol,indun_warfare.mel,indun_warfare.mac,,3.5,20,1,10,63,12,50,50,-0.9,0,30,light_python_below_2.txt,water/skyCube=.dds,75,Seal.pre,68,17,10,15,0,20,15,0,0,0,0,3,60000,0,0,0,0,0,1,1,1,1,..\Share\Map\29_Seal\m027.mal,..\Share\Map\29_Seal\MON_29_Seal.csv,..\Share\Map\29_Seal\NPC_29_Seal.csv,..\Share\Map\29_Seal\BRICK_29_Seal.csv,50,26,180,0,0,0,0,0,0,100,Guardian of The Seal,1,0,,1,170,0,0,0,3,464,314,0,1,0,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
30,Magic Field of Crevice B,indun_01.map,indun_01.mol,indun_01.mel,indun_01.mac,,2,18,1.7,-70,80,12,50,50,-0.9,0,90,light_indun_01.txt,water/skyCube_dri=.dds,75,Infinite Hunt.pre,60,17,10,15,0,20,10,0,0,0,0,3,60000,0,0,0,0,0,1,1,1,1,..\Share\Map\24_Infinitehunt\m024.mal,,..\Share\Map\24_Infinitehunt\NPC_24_Infinitehunt.csv,,130,130,0,0,0,0,0,0,0,100,Infinite Hunt_B,1,0,,90,170,0,0,1000000,19,363,256,0,0,0,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
31,Magic Field of Crevice A,indun_01.map,indun_01.mol,indun_01.mel,indun_01.mac,,2,18,1.7,-70,80,12,50,50,-0.9,0,90,light_indun_01.txt,water/skyCube_dri=.dds,75,Infinite Hunt.pre,60,17,10,15,0,20,10,0,0,0,0,3,60000,0,0,0,0,0,1,1,1,1,..\Share\Map\24_Infinitehunt\m024.mal,,..\Share\Map\24_Infinitehunt\NPC_24_Infinitehunt.csv,,130,130,0,0,0,0,0,0,0,100,Infinite Hunt,1,0,,90,170,0,0,1000000,19,363,256,0,0,0,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
32,Treasure of Crespo B,indun_02.map,indun_02.mol,indun_02.mel,indun_02.mac,,3.5,20,1,10,63,12,50,50,-0.9,0,30,light_crespo_indun_B.txt,water/skyCube=.dds,75,crespoTreasure_B.pre,68,17,10,15,0,20,15,0,0,0,0,3,60000,0,0,0,0,0,1,1,1,1,..\Share\Map\32_CrespoTreasure_B\m025.mal,..\Share\Map\32_CrespoTreasure_B\MON_32_CrespoTreasure.csv,..\Share\Map\32_CrespoTreasure_B\NPC_32_CrespoTreasure.csv,..\Share\Map\32_CrespoTreasure_B\BRICK_32_CrespoTreasure.csv,361,184,0,0,0,0,0,0,0,100,Treasure of Crespo_B,1,1,,60,170,0,0,300000,12,80,471,0,0,0,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
33,Treasure of Crespo A,indun_02.map,indun_02.mol,indun_02.mel,indun_02.mac,,3.5,20,1,10,63,12,50,50,-0.9,0,30,light_crespo_indun_A.txt,water/skyCube=.dds,75,crespoTreasure_A.pre,68,17,10,15,0,20,15,0,0,0,0,3,60000,0,0,0,0,0,1,1,1,1,..\Share\Map\33_CrespoTreasure_A\m025.mal,..\Share\Map\33_CrespoTreasure_A\MON_33_CrespoTreasure.csv,..\Share\Map\33_CrespoTreasure_A\NPC_33_CrespoTreasure.csv,..\Share\Map\33_CrespoTreasure_A\BRICK_33_CrespoTreasure.csv,361,184,0,0,0,0,0,0,0,100,Treasure of Crespo_A,1,1,,60,170,0,0,300000,12,80,471,0,0,0,0,1,0,200,PC\LevelCap\Default.csv,0.65,1
