,Exp,ClearCount_1,ClearCount_2,ClearCount_3,ClearCount_4,ClearCount_5,StatClearCost_1,StatClearCost_2
66,6464250,98530,496660,974390,9755240,97467530,0,0
67,6995736,104440,526460,1032850,10340550,103315580,0,0
68,7557232,110710,558050,1094820,10960980,109514510,0,0
69,8149800,117350,591530,1160510,11618640,116085380,0,0
70,8774523,124390,627020,1230140,12315760,123050500,0,0
71,9432500,130610,658370,1291650,12931550,129203030,0,0
72,10124849,137140,691290,1356230,13578130,135663180,0,0
73,10852704,144000,725850,1424040,14257040,142446340,0,0
74,11617220,151200,762140,1495240,14969890,149568660,0,0
75,13306680,158760,800250,1570000,15718380,157047090,0,0
76,14990625,166700,840260,1648500,16504300,164899440,0,0
77,16779280,175040,882270,1730930,17329520,173144410,0,0
78,18676350,183790,926380,1817480,18196000,181801630,0,0
79,20685600,192980,972700,1908350,19105800,190891710,0,0
80,22810855,202630,1021340,2003770,20061090,200436300,0,0
81,25056000,210740,1062190,2083920,20863530,208453750,0,0
82,27424980,219170,1104680,2167280,21698070,216791900,0,0
83,29921800,227940,1148870,2253970,22565990,225463580,0,0
84,32550525,237060,1194820,2344130,23468630,234482120,0,0
85,35315280,246540,1242610,2437900,24407380,243861400,0,0
86,38220250,256400,1292310,2535420,25383680,253615860,0,0
87,41269680,266660,1344000,2636840,26399030,263760490,0,0
88,44467875,277330,1397760,2742310,27454990,274310910,0,0
89,47819200,288420,1453670,2852000,28553190,285283350,0,0
90,51328080,299960,1511820,2966080,29695320,296694680,0,0
91,54999000,308960,1557170,3055060,30586180,305595520,0,0
92,58836505,318230,1603890,3146710,31503770,314763390,0,0
93,62845200,327780,1652010,3241110,32448880,324206290,0,0
94,67029750,337610,1701570,3338340,33422350,333932480,0,0
95,71394880,347740,1752620,3438490,34425020,343950450,0,0
96,75945375,358170,1805200,3541640,35457770,354268960,0,0
97,80686080,368920,1859360,3647890,36521500,364897030,0,0
98,85621900,379990,1915140,3757330,37617150,375843940,0,0
99,90757800,391390,1972590,3870050,38745660,387119260,0,0
100,96098805,403130,2031770,3986150,39908030,398732840,0,0
101,101650000,411190,2072410,4065870,40706190,406707500,0,0
102,107416530,419410,2113860,4147190,41520310,414841650,0,0
103,113403600,427800,2156140,4230130,42350720,423138480,0,0
104,119616475,436360,2199260,4314730,43197730,431601250,0,0
105,126060480,445090,2243250,4401020,44061680,440233280,0,0
106,132741000,453990,2288120,4489040,44942910,449037950,0,0
107,139663480,463070,2333880,4578820,45841770,458018710,0,0
108,146833425,472330,2380560,4670400,46758610,467179080,0,0
109,154256400,481780,2428170,4763810,47693780,476522660,0,0
110,161938030,491420,2476730,4859090,48647660,486053110,0,0
111,169884000,496330,2501500,4907680,49134140,490913640,0,0
112,178100055,501290,2526520,4956760,49625480,495822780,0,0
113,186592000,506300,2551790,5006330,50121730,500781010,0,0
114,195365700,511360,2577310,5056390,50622950,505788820,0,0
115,204427080,516470,2603080,5106950,51129180,510846710,0,0
116,213782125,521630,2629110,5158020,51640470,515955180,0,0
117,223436880,526850,2655400,5209600,52156870,521114730,0,0
118,233397450,532120,2681950,5261700,52678440,526325880,0,0
119,243670000,537440,2708770,5314320,53205220,531589140,0,0
120,254260755,542810,2735860,5367460,53737270,536905030,0,0
121,265176000,548240,2763220,5421130,54274640,542274080,0,0
122,276422080,553720,2790850,5475340,54817390,547696820,0,0
123,288005400,559260,2818760,5530090,55365560,553173790,0,0
124,299932425,564850,2846950,5585390,55919220,558705530,0,0
125,312209680,570500,2875420,5641240,56478410,564292590,0,0
126,324843750,576210,2904170,5697650,57043190,569935520,0,0
127,337841280,581970,2933210,5754630,57613620,575634880,0,0
128,351208975,587790,2962540,5812180,58189760,581391230,0,0
129,364953600,593670,2992170,5870300,58771660,587205140,0,0
130,379081980,599610,3022090,5929000,59359380,593077190,0,0
131,393601000,605610,3052310,5988290,59952970,599007960,0,0
132,408517605,611670,3082830,6048170,60552500,604998040,0,0
133,423838800,617790,3113660,6108650,61158030,611048020,0,0
134,439571650,623970,3144800,6169740,61769610,617158500,0,0
135,455723280,630210,3176250,6231440,62387310,623330090,0,0
136,472300875,636510,3208010,6293750,63011180,629563390,0,0
137,489311680,642880,3240090,6356690,63641290,635859020,0,0
138,506763000,649310,3272490,6420260,64277700,642217610,0,0
139,524662200,655800,3305210,6484460,64920480,648639790,0,0
140,543016705,662360,3338260,6549300,65569680,655126190,0,0
141,561834000,668980,3371640,6614790,66225380,661677450,0,0
142,581121630,675670,3405360,6680940,66887630,668294220,0,0
143,600887200,682430,3439410,6747750,67556510,674977160,0,0
144,621138375,689250,3473800,6815230,68232080,681726930,0,0
145,641882880,696140,3508540,6883380,68914400,688544200,0,0
146,663128500,703100,3543630,6952210,69603540,695429640,0,0
147,684883080,710130,3579070,7021730,70299580,702383940,0,0
148,707154525,717230,3614860,7091950,71002580,709407780,0,0
149,729950800,724400,3651010,7162870,71712610,716501860,0,0
150,753279930,731640,3687520,7234500,72429740,723666880,0,0
151,777150000,738880,3724030,7306130,73146870,730831900,0,0
152,817600538,746120,3760540,7377760,73864000,737996920,0,0
153,896801976,753360,3797050,7449390,74581130,745161940,0,0
154,979900740,760600,3833560,7521020,75298260,752326960,0,0
155,1067017228,767840,3870070,7592650,76015390,759491980,0,0
156,1158274080,775080,3906580,7664280,76732520,766657000,0,0
157,1253796195,782320,3943090,7735910,77449650,773822020,0,0
158,1353710755,789560,3979600,7807540,78166780,780987040,0,0
159,1458147240,796800,4016110,7879170,78883910,788152060,0,0
160,1699641630,804040,4052620,7950800,79601040,795317080,0,0
161,1881088000,811280,4089130,8022430,80318170,802482100,0,0
162,2090269440,818520,4125640,8094060,81035300,809647120,0,0
163,2328498900,825760,4162150,8165690,81752430,816812140,0,0
164,2597119750,833000,4198660,8237320,82469560,823977160,0,0
165,2903255100,840240,4235170,8308950,83186690,831142180,0,0
166,3248623125,847480,4271680,8380580,83903820,838307200,0,0
167,3634980850,854720,4308190,8452210,84620950,845472220,0,0
168,4005650980,861960,4344700,8523840,85338080,852637240,0,0
169,4005650980,869200,4381210,8595470,86055210,859802260,0,0
170,4005650980,876440,4417720,8667100,86772340,866967280,0,0
171,4005650980,883680,4454230,8738730,87489470,874132300,0,0
172,4005650980,890920,4490740,8810360,88206600,881297320,0,0
173,4005650980,898160,4527250,8881990,88923730,888462340,0,0
174,4005650980,905400,4563760,8953620,89640860,895627360,0,0
175,4005650980,912640,4600270,9025250,90357990,902792380,0,0
176,4005650980,919880,4636780,9096880,91075120,909957400,0,0
177,4005650980,927120,4673290,9168510,91792250,917122420,0,0
178,4005650980,934360,4709800,9240140,92509380,924287440,0,0
179,4005650980,941600,4746310,9311770,93226510,931452460,0,0
180,4005650980,948840,4782820,9383400,93943640,938617480,0,0
181,4005650980,956080,4819330,9455030,94660770,945782500,0,0
182,4005650980,963320,4855840,9526660,95377900,952947520,0,0
183,4005650980,970560,4892350,9598290,96095030,960112540,0,0
184,4005650980,977800,4928860,9669920,96812160,967277560,0,0
185,4005650980,985040,4965370,9741550,97529290,974442580,0,0
186,4005650980,992280,5001880,9813180,98246420,981607600,0,0
187,4005650980,999520,5038390,9884810,98963550,988772620,0,0
188,4005650980,1006760,5074900,9956440,99680680,995937640,0,0
189,4005650980,1014000,5111410,10028070,100397810,1003102660,0,0
190,4005650980,1021240,5147920,10099700,101114940,1010267680,0,0
191,4005650980,1028480,5184430,10171330,101832070,1017432700,0,0
192,4005650980,1035720,5220940,10242960,102549200,1024597720,0,0
193,4005650980,1042960,5257450,10314590,103266330,1031762740,0,0
194,4005650980,1050200,5293960,10386220,103983460,1038927760,0,0
195,4005650980,1057440,5330470,10457850,104700590,1046092780,0,0
196,4005650980,1064680,5366980,10529480,105417720,1053257800,0,0
197,4005650980,1071920,5403490,10601110,106134850,1060422820,0,0
198,4005650980,1079160,5440000,10672740,106851980,1067587840,0,0
199,4005650980,1086400,5476510,10744370,107569110,1074752860,0,0
200,4005650980,1093640,5513020,10816000,108286240,1081917880,0,0
201,4005650980,1100880,5549530,10887630,109003370,1089082900,0,0
202,4005650980,1108120,5586040,10959260,109720500,1096247920,0,0
203,4005650980,1115360,5622550,11030890,110437630,1103412940,0,0
204,4005650980,1122600,5659060,11102520,111154760,1110577960,0,0
205,4005650980,1129840,5695570,11174150,111871890,1117742980,0,0
206,4005650980,1137080,5732080,11245780,112589020,1124908000,0,0
207,4005650980,1144320,5768590,11317410,113306150,1132073020,0,0
208,4005650980,1151560,5805100,11389040,114023280,1139238040,0,0
209,4005650980,1158800,5841610,11460670,114740410,1146403060,0,0
210,4005650980,1166040,5878120,11532300,115457540,1153568080,0,0
211,4005650980,1173280,5914630,11603930,116174670,1160733100,0,0
212,4005650980,1180520,5951140,11675560,116891800,1167898120,0,0
213,4005650980,1187760,5987650,11747190,117608930,1175063140,0,0
214,4005650980,1195000,6024160,11818820,118326060,1182228160,0,0
215,4005650980,1202240,6060670,11890450,119043190,1189393180,0,0
216,4005650980,1209480,6097180,11962080,119760320,1196558200,0,0
217,4005650980,1216720,6133690,12033710,120477450,1203723220,0,0
218,4005650980,1223960,6170200,12105340,121194580,1210888240,0,0
219,4005650980,1231200,6206710,12176970,121911710,1218053260,0,0
220,4005650980,1238440,6243220,12248600,122628840,1225218280,0,0
221,4005650980,1245680,6279730,12320230,123345970,1232383300,0,0
222,4005650980,1252920,6316240,12391860,124063100,1239548320,0,0
223,4005650980,1260160,6352750,12463490,124780230,1246713340,0,0
224,4005650980,1267400,6389260,12535120,125497360,1253878360,0,0
225,4005650980,1274640,6425770,12606750,126214490,1261043380,0,0
226,4005650980,1281880,6462280,12678380,126931620,1268208400,0,0
227,4005650980,1289120,6498790,12750010,127648750,1275373420,0,0
228,4005650980,1296360,6535300,12821640,128365880,1282538440,0,0
229,4005650980,1303600,6571810,12893270,129083010,1289703460,0,0
230,4005650980,1310840,6608320,12964900,129800140,1296868480,0,0
231,4005650980,1318080,6644830,13036530,130517270,1304033500,0,0
232,4005650980,1325320,6681340,13108160,131234400,1311198520,0,0
233,4005650980,1332560,6717850,13179790,131951530,1318363540,0,0
234,4005650980,1339800,6754360,13251420,132668660,1325528560,0,0
235,4005650980,1347040,6790870,13323050,133385790,1332693580,0,0
236,4005650980,1354280,6827380,13394680,134102920,1339858600,0,0
237,4005650980,1361520,6863890,13466310,134820050,1347023620,0,0
238,4005650980,1368760,6900400,13537940,135537180,1354188640,0,0
239,4005650980,1376000,6936910,13609570,136254310,1361353660,0,0
240,4005650980,1383240,6973420,13681200,136971440,1368518680,0,0
241,4005650980,1390480,7009930,13752830,137688570,1375683700,0,0
242,4005650980,1397720,7046440,13824460,138405700,1382848720,0,0
243,4005650980,1404960,7082950,13896090,139122830,1390013740,0,0
244,4005650980,1412200,7119460,13967720,139839960,1397178760,0,0
245,4005650980,1419440,7155970,14039350,140557090,1404343780,0,0
246,4005650980,1426680,7192480,14110980,141274220,1411508800,0,0
247,4005650980,1433920,7228990,14182610,141991350,1418673820,0,0
248,4005650980,1441160,7265500,14254240,142708480,1425838840,0,0
249,4005650980,1448400,7302010,14325870,143425610,1433003860,0,0
250,4005650980,1455640,7338520,14397500,144142740,1440168880,0,0
251,4005650980,1462880,7375030,14469130,144859870,1447333900,0,0
252,4005650980,1470120,7411540,14540760,145577000,1454498920,0,0
253,4005650980,1477360,7448050,14612390,146294130,1461663940,0,0
254,4005650980,1484600,7484560,14684020,147011260,1468828960,0,0
