39497.52729,Name,Rank,Material,Level,MaxHP,HPRecovery,Defence_Min,Defence_Max,GuardRate,GuardEfficiency,BlockRate,PhysicalResist,LightResist,FireResist,IceResist,PoisonResist,CurseResist,WalkSpeed,RunSpeed,BloodInfo,CuttingInfo,ShapeInfo,DescriptionInfo,Exp,Money_Min,Money_Max,Money_Rate,AIKey,ChaoticLevel,MaxItemSet,DefeatLength_Upper,DefeatLength_Lower,DefeatLength_Left,DefeatLength_Right,DefeatDamage_Min,DefeatDamage_Max,AttackMaterial_Melee,AttackDamage_Min_Melee,AttackDamage_Max_Melee,AbsoluteDamage_Min_Melee,AbsoluteDamage_Max_Melee,CellRange_Melee,AttackDelay_Melee,ResultCode_Melee,ResultValue_Melee_1,ResultValue_Melee_2,ResultValue_Melee_3,ResultValue_Melee_4,ResultValue_Melee_5,ResultValue_Melee_6,ResultValue_Melee_7,AttackMaterial_Power_Melee,AttackDamage_Min_Power_Melee,AttackDamage_Max_Power_Melee,AbsoluteDamage_Min_Power_Melee,AbsoluteDamage_Max_Power_Melee,CellRange_Power_Melee,AttackDelay_Power_Melee,ResultCode_Power_Melee,ResultValue_Power_Melee_1,ResultValue_Power_Melee_2,ResultValue_Power_Melee_3,ResultValue_Power_Melee_4,ResultValue_Power_Melee_5,ResultValue_Power_Melee_6,ResultValue_Power_Melee_7,AttackMaterial_Special_Melee,AttackDamage_Min_Special_Melee,AttackDamage_Max_Special_Melee,AbsoluteDamage_Min_Special_Melee,AbsoluteDamage_Max_Special_Melee,CellRange_Special_Melee,AttackDelay_Special_Melee,ResultCode_Special_Melee,ResultValue_Special_Melee_1,ResultValue_Special_Melee_2,ResultValue_Special_Melee_3,ResultValue_Special_Melee_4,ResultValue_Special_Melee_5,ResultValue_Special_Melee_6,ResultValue_Special_Melee_7,AttackMaterial_Range,AttackDamage_Min_Range,AttackDamage_Max_Range,AbsoluteDamage_Min_Range,AbsoluteDamage_Max_Range,CellRange_Range,AttackDelay_Range,ResultCode_Range,ResultValue_Range_1,ResultValue_Range_2,ResultValue_Range_3,ResultValue_Range_4,ResultValue_Range_5,ResultValue_Range_6,ResultValue_Range_7,AttackMaterial_Power_Range,AttackDamage_Min_Power_Range,AttackDamage_Max_Power_Range,AbsoluteDamage_Min_Power_Range,AbsoluteDamage_Max_Power_Range,CellRange_Power_Range,AttackDelay_Power_Range,ResultCode_Power_Range,ResultValue_Power_Range_1,ResultValue_Power_Range_2,ResultValue_Power_Range_3,ResultValue_Power_Range_4,ResultValue_Power_Range_5,ResultValue_Power_Range_6,ResultValue_Power_Range_7,AttackMaterial_Special__Range,AttackDamage_Min_Special__Range,AttackDamage_Max_Special__Range,AbsoluteDamage_Min_Special__Range,AbsoluteDamage_Max_Special__Range,CellRange_Special__Range,AttackDelay_Special__Range,ResultCode_Special__Range,ResultValue_Special__Range_1,ResultValue_Special__Range_2,ResultValue_Special__Range_3,ResultValue_Special__Range_4,ResultValue_Special__Range_5,ResultValue_Special__Range_6,ResultValue_Special__Range_7,AttackMaterial_Heal,AttackDamage_Min_Heal,AttackDamage_Max_Heal,AbsoluteDamage_Min_Heal,AbsoluteDamage_Max_Heal,CellRange_Heal,AttackDelay_Heal,ResultCode_Heal,ResultValue_Heal_1,ResultValue_Heal_2,ResultValue_Heal_3,ResultValue_Heal_4,ResultValue_Heal_5,ResultValue_Heal_6,ResultValue_Heal_7,AttackMaterial_Revive,AttackDamage_Min_Revive,AttackDamage_Max_Revive,AbsoluteDamage_Min_Revive,AbsoluteDamage_Max_Revive,CellRange_Revive,AttackDelay_Revive,ResultCode_Revive,ResultValue_Revive_1,ResultValue_Revive_2,ResultValue_Revive_3,ResultValue_Revive_4,ResultValue_Revive_5,ResultValue_Revive_6,ResultValue_Revive_7,ItemSetIndex_1,ItemSetDropRatio_1,ItemSetIndex_2,ItemSetDropRatio_2,ItemSetIndex_3,ItemSetDropRatio_3,ItemSetIndex_4,ItemSetDropRatio_4,ItemSetIndex_5,ItemSetDropRatio_5,ItemSetIndex_6,ItemSetDropRatio_6,ItemSetIndex_7,ItemSetDropRatio_7,ItemSetIndex_8,ItemSetDropRatio_8,ItemSetIndex_9,ItemSetDropRatio_9,ItemSetIndex_10,ItemSetDropRatio_10,ItemSetIndex_11,ItemSetDropRatio_11,ItemSetIndex_12,ItemSetDropRatio_12,ItemSetIndex_13,ItemSetDropRatio_13,ItemSetIndex_14,ItemSetDropRatio_14,ItemSetIndex_15,ItemSetDropRatio_15,Width
302,Lizardman Knight,0,18,18,1992,0,88,126,15,50,2,0,0,0,0,0,0,1.3,3.6,1,1,lizardmanknight,작성중,13790,810,1110,35000,5,1,1,100,65,85,85,2,18,3,190,238,8,19,2,2300,1000101,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,6000,513,60,7,6450,8,6450,9,5380,10,3230,102,5740,103,5740,104,4780,104,2870,502,40,400,720,201,10320,450,1680,0,0,0
303,Mirier,0,23,25,3207,0,123,176,10,50,2,0,0,0,0,0,0,2.7,4.5,2,2,myria,작성중,20160,1470,2010,35000,4,1,2,130,98,95,95,3,20,23,267,334,11,25,2,2300,1000101,0,0,0,0,0,0,0,0,0,0,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,6000,513,80,9,5920,10,5920,10,4930,11,2960,103,5260,104,5260,105,4380,105,2630,502,40,401,660,203,9470,451,1540,0,0,0
304,Skeleton Archer,0,20,25,3563,0,123,176,10,70,1,0,0,5,0,0,0,1,3,0,1,skeletonarcher,작성중,21980,1470,2010,35000,6,1,2,115,90,80,80,3,20,0,188,269,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,163,234,11,25,14,3600,3000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,6000,513,80,0,0,10,2960,11,5920,12,4930,0,0,104,2630,105,5260,106,4380,502,40,401,660,202,9470,451,1540,0,0,0
305,Spider Queen,0,23,28,6793,0,138,198,10,50,2,0,5,5,5,35,5,1.8,3.5,2,3,spiderqueen,작성중,22890,1830,2490,35000,5,1,2,140,85,90,90,3,20,23,300,376,12,28,2,1904,1000101,0,0,0,0,0,0,0,0,0,0,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,80,12,5800,13,5800,14,4840,15,2900,104,5160,105,5160,105,4300,106,2580,502,40,401,650,204,9280,450,1510,0,0,0
401,Spider Soul,0,25,8,735,0,42,60,10,50,1,0,0,0,0,0,0,1,3.2,0,3,spidersoul,작성중,5110,240,330,62500,2,1,1,130,105,100,100,3,20,23,87,109,4,9,2,1917,1000101,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,12000,512,60,3,6590,4,6590,5,5490,6,3300,100,5860,101,5860,102,4880,102,2930,501,40,400,590,0,0,450,1710,0,0,0
402,Skeleton Knight,0,20,21,2751,0,102,147,10,50,2,0,0,5,0,0,0,1.1,4.5,0,1,skeletonknight,작성중,18060,1080,1470,35000,4,1,2,120,92,104,104,2,18,3,222,278,9,21,2,2460,1000101,0,0,0,0,0,0,0,0,0,0,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,6000,513,80,0,0,10,3040,11,6070,12,5060,0,0,104,2700,105,5400,106,4500,502,40,401,680,201,9710,450,1580,0,0,0
501,Lupain,0,18,55,13588,0,296,423,10,50,2,0,0,5,0,0,0,2.2,5,1,1,lupain,작성중,78330,6810,9210,35000,5,1,3,150,110,112,112,3,20,1,634,793,23,53,3,1800,1000101,0,0,0,0,0,0,0,0,0,0,23,53,0,0,0,0,0,0,0,0,0,0,0,0,0,23,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,80,0,0,23,2120,24,4240,25,3540,0,0,109,1890,110,3770,111,3140,502,40,403,480,209,6790,451,1100,0,0,0
502,Sasquatch,0,18,35,6097,0,176,252,18,70,2,0,0,0,5,0,0,1.1,2.5,1,1,sasquach,작성중,29260,2820,3810,35000,4,1,2,110,75,90,90,2,18,1,382,478,15,35,2,2200,1000101,0,0,0,0,0,0,0,0,0,0,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,80,0,0,14,5270,15,4390,16,2640,0,0,105,4680,106,3900,107,2340,502,40,401,590,204,8430,451,1370,0,0,0
503,Lord Kunda,0,23,32,5258,0,159,228,10,70,1,0,0,40,0,0,0,2.8,4.1,1,2,lordkunda,작성중,28420,2370,3210,35000,3,1,2,130,105,110,110,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,303,14,32,14,2823,3000001,201,256,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,80,0,0,13,2690,14,5380,15,4490,0,0,108,2400,107,4790,108,3990,502,40,401,600,202,8610,450,1400,0,0,0
504,Frizkhan,0,18,38,7006,0,193,276,10,50,2,0,0,0,5,0,0,1.4,3.7,1,1,freezekhan,작성중,31990,3300,4470,35000,4,1,2,90,80,61,61,2,18,9,418,523,16,37,2,2358,1000101,0,0,0,0,0,0,0,0,0,0,16,37,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,80,0,0,14,5160,17,4300,18,2580,0,0,108,4580,109,3820,110,2290,502,40,401,580,207,8250,450,1340,0,0,0
505,Catastroph,0,18,47,15265,0,245,351,15,50,2,0,0,0,5,0,0,1.4,3.5,1,1,catastrophe,작성중,42700,4980,6750,35000,5,1,2,110,100,105,105,3,20,9,529,662,20,46,3,2120,1000101,0,0,0,0,0,0,0,0,0,0,20,46,0,0,0,0,0,0,0,0,0,0,0,0,0,20,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,250,513,80,0,0,19,4550,20,3790,21,2280,0,0,108,4040,108,3370,109,2020,502,40,402,510,206,7270,450,1180,304,200,0
701,Blaverus,0,23,2,258,0,16,23,5,50,1,0,0,0,0,0,0,1.3,2.5,2,3,blaberus,작성중,700,90,150,77500,2,1,1,104,70,50,50,3,20,1,28,36,2,4,2,2000,1000101,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,12000,0,0,1,7080,2,7080,2,5900,2,3540,100,6290,100,6290,101,5240,101,3150,0,0,400,630,0,0,450,1840,0,0,0
801,Argama,0,18,6,556,0,32,47,5,50,1,0,0,0,0,0,0,0.5,2.4,2,2,agama,작성중,3570,150,240,67500,2,1,1,90,75,70,70,2,18,1,68,85,3,8,2,1816,1000101,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,12000,512,80,2,6750,3,6750,4,5630,5,3380,100,6000,100,6000,101,5000,102,3000,501,40,400,600,0,0,450,1750,0,0,0
