Index,EffectID,SceneID,EffectTime,Description,ResultType,MaxDistance,MoveSpeed,Size,MaxPiercingNum,MaxPiercingRate,ContactEffectID,ContactSceneID,ContactEffectTime,PiercingEffectID,PiercingSceneID,PiercingEffectTime,HitCycle
27,0,0,1600,멀티플 샷 LV 7,1000103,16,40,1,2,40,2005,1,350,0,1,0,0
28,0,0,1600,멀티플 샷 LV 8,1000103,16,40,1,2,45,2005,1,350,0,1,0,0
29,0,0,1600,멀티플 샷 LV 9,1000103,16,40,1,2,45,2005,1,350,0,1,0,0
30,0,0,1600,멀티플 샷 LV 10,1000103,16,40,1,2,50,2005,1,350,0,1,0,0
31,2025,1,1000,피어싱 샷 LV 1,1000103,16,30,1,2,70,2026,1,2000,2026,1,2000,0
32,2025,1,1000,피어싱 샷 LV 2,1000103,16,30,1,2,70,2026,1,2000,2026,1,2000,0
33,2025,1,1000,피어싱 샷 LV 3,1000103,16,30,1,2,70,2026,1,2000,2026,1,2000,0
34,2025,1,1000,피어싱 샷 LV 4,1000103,16,30,1,2,70,2026,1,2000,2026,1,2000,0
35,2025,1,1000,피어싱 샷 LV 5,1000103,16,30,1,2,70,2026,1,2000,2026,1,2000,0
36,2025,1,1000,피어싱 샷 LV 6,1000103,16,30,1,3,75,2026,1,2000,2026,1,2000,0
37,2025,1,1000,피어싱 샷 LV 7,1000103,16,30,1,3,80,2026,1,2000,2026,1,2000,0
38,2025,1,1000,피어싱 샷 LV 8,1000103,16,30,1,3,85,2026,1,2000,2026,1,2000,0
39,2025,1,1000,피어싱 샷 LV 9,1000103,16,30,1,3,90,2026,1,2000,2026,1,2000,0
40,2025,1,1000,피어싱 샷 LV 10,1000103,16,30,1,3,95,2026,1,2000,2026,1,2000,0
41,2050,1,2800,슬로우 애로우,1000103,16,5,1,0,0,2051,1,2500,0,0,0,0
42,2045,1,500,벌너어블 포인트,1000415,16,35,1,0,0,2046,1,500,0,0,0,0
43,0,0,3000,원더 파이어링,1000210,14,60,1,3,100,0,0,0,0,0,0,500
44,0,0,4000,트라이앵글 샷,1000210,14,60,1,2,100,0,0,0,0,0,0,550
45,2070,1,500,크로우 윙스 123,1000103,18,28,1,0,0,2043,1,500,2043,1,500,0
46,0,0,4000,크로우 윙스 피니시,1000103,24,65,1,4,100,2069,1,500,2069,1,500,0
47,1,1,700,윈드 샤프트,1000103,18,40,1,0,0,2079,1,500,0,0,0,0
48,2090,1,1000,데몰리션 봄 1,1000210,18,50,1,2,100,2091,1,650,0,1,0,0
49,2090,1,1000,데몰리션 봄 2,1000210,18,50,1,2,100,2091,1,650,0,1,0,0
50,2090,1,1000,데몰리션 봄 3,1000210,18,50,1,3,100,2091,1,650,0,1,0,0
51,3004,1,2000,파이어 볼트,1000112,15,30,1,0,0,3005,1,300,0,1,0,0
52,3010,1,2000,파이어 볼,1000301,15,20,1,0,0,3011,1,350,0,1,0,0
53,3035,1,1000,아이스 볼트,1000113,15,30,1,0,0,3036,1,700,0,1,0,0
54,3038,1,1000,아이스 웨이브,1000411,15,20,1,0,0,3039,1,900,0,1,0,0
55,3045,1,900,라이트닝 볼트,1000114,15,30,1,2,50,3046,1,700,0,1,0,0
56,3048,1,1100,체인 라이트닝,1000305,15,20,1,2,50,3049,1,700,0,1,0,0
57,0,0,200,플레임 버밍,1000112,15,50,1,0,0,3084,1,1000,0,0,0,0
58,0,0,200,아이스 블랭켓,1000113,15,50,1,0,0,3086,1,1000,0,0,0,0
59,0,0,200,크루얼티 라이트닝,1000114,15,50,1,0,0,3088,1,1000,0,0,0,0
60,0,0,2000,에너지 헤머,1000203,15,50,1,2,100,0,0,0,0,0,0,500
61,0,0,4000,파이어 퓨리,1000301,15,50,1,2,100,0,0,0,0,0,0,500
62,0,0,6000,아이스 스톰,1000303,15,50,1,2,100,0,0,0,0,0,0,500
63,0,0,3000,라이트닝 서클,1000305,15,50,1,2,100,0,0,0,0,0,0,500
64,0,0,2000,버스트 피닉스,1000112,15,120,2,4,100,3011,1,350,3011,1,350,0
65,0,0,2000,썬더 스피어,1000114,15,150,2,4,100,3107,1,1000,3107,1,1000,0
66,0,0,3000,프리징 스프리트,1000512,15,50,1,1,100,0,0,0,0,0,0,1500
67,3124,1,500,에너지 볼트,1000105,15,20,1,0,0,3125,1,1000,0,0,0,0
70,1038,1,1000,에너제틱 블레이드,1000102,14,25,1,0,0,1039,1,1000,0,1,0,0
71,1083,1,1000,소닉 매서커,1000102,7,25,1,3,100,1083,1,1000,0,1,0,0
72,0,0,1000,소울 나이트,1000101,4,25,3,30,100,0,0,0,0,0,0,0
101,3031,1,300,애볼트 샷,1000412,14,30,1,0,0,3032,1,600,0,1,0,0
102,3028,1,3000,스프릿 대거 Lv1-2,1000115,14,25,1,1,100,3029,1,1300,0,1,0,0
103,0,0,2800,블로드 배츠 LV1,1000115,14,20,1,2,44,3068,1,2000,0,0,0,0
104,0,0,2800,블로드 배츠 LV2,1000115,14,20,1,2,48,3068,1,2000,0,0,0,0
105,0,0,2800,블로드 배츠 LV3,1000115,14,20,1,2,52,3068,1,2000,0,0,0,0
106,0,0,2800,블로드 배츠 LV4,1000115,14,20,1,2,56,3068,1,2000,0,0,0,0
107,0,0,2800,블로드 배츠 LV5,1000115,14,20,1,2,60,3068,1,2000,0,0,0,0
108,0,0,2800,블로드 배츠 LV6,1000115,14,20,1,2,64,3068,1,2000,0,0,0,0
109,0,0,2800,블로드 배츠 LV7,1000115,14,20,1,2,68,3068,1,2000,0,0,0,0
110,0,0,2800,블로드 배츠 LV8,1000115,14,20,1,2,72,3068,1,2000,0,0,0,0
111,0,0,2800,블로드 배츠 LV9,1000115,14,20,1,2,76,3068,1,2000,0,0,0,0
112,0,0,2800,블로드 배츠 LV10,1000115,14,20,1,2,80,3068,1,2000,0,0,0,0
113,3116,1,1000,베넘라이트1,1000115,14,25,1,0,0,3117,2,700,0,0,0,0
114,3116,2,1000,베넘라이트2,1000115,14,20,1,0,0,3117,1,1000,0,0,0,0
115,3119,1,3300,헬버스트,1000307,14,100,1,5,100,0,0,0,0,0,0,550
116,0,0,1600,서몬 고스트,1000307,14,80,1,3,100,0,0,0,0,0,0,400
117,3028,1,3000,스프릿 대거 Lv3-6,1000115,14,25,1,2,100,3029,1,1300,0,1,0,0
118,3028,1,3000,스프릿 대거 Lv7-10,1000115,14,25,1,3,100,3029,1,1300,0,1,0,0
119,0,1,2400,다크 아바타_데미지,1000201,14,6,1,7,100,0,0,0,0,0,0,300
120,3163,1,7000,다크 아바타_이펙트,1000201,14,0,1,0,100,0,0,0,0,0,0,7000
121,0,1,1600,팔퍼스,1000307,14,60,1,1,100,0,0,0,0,0,0,800
122,0,1,1000,포이즌 소드 _1,1000101,8,45,1,3,100,0,0,0,0,0,0,0
123,0,1,1000,포이즌 소드 _2,1000101,8,45,1,3,100,0,0,0,0,0,0,0
124,0,1,1000,포이즌 소드 _3,1000101,8,45,1,3,100,0,0,0,0,0,0,0
200,3060,1,1600,우코바치 파이어 볼트,1000112,14,30,1,0,0,3061,1,300,0,1,0,0
201,3062,1,1600,스켈비숍 파이어 볼,1100301,14,20,1,0,0,3063,1,350,0,1,0,0
202,3062,1,1600,라쿤 파이어 볼 범위아님,1000112,14,20,1,0,0,3063,1,350,0,1,0,0
203,0,0,1600,풀룬비숍 아이스스파이크,1000113,14,60,1,2,75,3066,1,800,3066,1,800,0
204,3060,1,1600,워터리퍼 파이어 볼트,1000112,14,30,1,0,0,3061,1,300,0,1,0,0
205,2017,1,1000,펜닐 헌터 화살,1000113,14,30,1,0,0,2018,1,2000,0,1,0,0
206,2017,1,1000,아이슈마 헌터 화살,1000113,14,30,1,0,0,2018,1,2000,0,1,0,0
207,3045,1,900,라스푸틴 헌터 화살,1000112,14,30,1,0,0,3046,1,700,0,1,0,0
208,3048,1,900,라스 소서러라이트닝,1100305,14,20,1,2,75,3136,1,700,0,1,0,0
209,2037,1,1000,베노모스 포이즌 + 중독,1000412,14,30,1,0,0,2020,1,2000,0,1,0,0
210,2042,1,1000,서큐커즈이속저하중독,1000412,14,28,1,0,0,2043,1,500,0,1,0,0
211,1,1,700,데드아이_화살,1000103,14,20,1,0,0,1,2,300,0,1,0,0
212,0,0,200,민타카_파이어 화살,1000415,6,30,1,0,0,0,0,0,0,0,0,0
213,12,1,1000,카르세르_저주,1000116,14,30,1,0,0,13,1,1000,0,1,0,0
214,2064,1,1000,지엘로건아처라이트닝,1100305,14,30,1,2,75,2065,1,500,2065,1,500,0
215,3062,1,1600,드래이크 공격,1000112,14,20,1,0,0,3063,1,350,0,1,0,0
216,1069,1,1000,썬더불스 공격,1100305,14,20,1,2,75,1070,1,1000,1070,1,1000,0
217,1074,1,1000,트레가드,1000116,14,20,1,0,0,1055,1,1000,3061,1,300,0
218,2019,1,1000,헤라 포이즌 애로우,1000415,14,30,1,0,0,2020,1,2000,0,1,0,0
219,2017,1,1000,엔젤리카 아이스 애로우,1000415,14,30,1,0,0,2018,1,2000,0,1,0,0
220,2011,1,1000,헤라 스퀄샷,1000103,14,30,1,0,0,2012,1,1000,0,1,0,0
221,2011,1,1000,엔젤리카 스퀄샷,1000103,14,30,1,0,0,2012,1,1000,0,1,0,0
222,1038,1,1000,칼루스 에너제릭,1000102,14,25,1,0,0,1039,1,1000,0,1,0,0
223,3112,1,2000,듀스마블 퓨리,1100301,14,50,1,2,100,0,0,0,0,1,0,500
224,2011,1,1000,벨리타 스퀄샷,1000103,14,30,1,0,0,2012,1,1000,0,1,0,0
225,2021,1,1000,벨리타 익스_애로우,1000103,14,30,1,0,0,2022,1,2000,0,1,0,0
226,3004,1,2000,레이나_파이어 볼트,1000112,14,30,1,0,0,3005,1,300,0,1,0,0
227,0,1,2000,레이나_라이트닝체이스,1100305,14,50,1,1,100,3051,1,1000,0,1,0,100
228,0,1,2000,오리에드_지반공격,1000105,14,100,1,5,100,0,0,0,0,1,0,0
229,0,1,2000,오리에드_연속물기,1100307,14,50,1,3,100,0,0,0,0,1,0,500
230,0,1,2000,파브릴 브레스,1100301,14,30,1,5,100,0,0,0,0,1,0,0
231,2019,1,1000,시투스헌터_포이즌,1000412,14,50,1,0,0,2020,1,2000,0,1,0,0
232,2017,1,1000,시투스헌터_아이스,1000411,14,50,1,0,0,2018,1,2000,0,1,0,0
233,2021,1,1000,시투스헌터_파이어,1000112,14,50,1,0,0,2022,1,2000,0,1,0,0
234,0,1,1000,시투스버서커_피어싱,1000102,14,50,1,3,100,0,0,0,0,1,0,0
235,0,1,1000,일리피아,1100303,14,40,2,5,100,0,0,0,0,1,0,0
236,0,1,1000,레이든 공격2,1000101,12,100,2,5,100,0,0,0,0,1,0,0
237,0,1,1000,일렉트론 공격1,1000114,14,100,1,5,100,0,0,0,0,1,0,0
238,0,1,1000,캐스케이드 공격2,1000101,6,100,1,5,100,0,0,0,0,1,0,0
239,1122,1,1000,이마고 공격1,1100303,14,18,1,0,0,51,1,1000,0,1,0,0
240,1123,1,1000,이마고 공격2 포지션,1100303,14,18,1,1,100,0,0,0,0,1,0,300
241,0,1,1000,피구라 공격1,1100307,6,100,1,0,0,3143,1,1000,0,1,0,0
242,0,1,1000,피구라 공격2,1000116,3,100,1,3,100,0,0,0,0,1,0,0
243,3048,1,900,인던라스라이트닝,1100305,14,20,1,3,100,3136,1,700,0,1,0,0
244,0,1,1000,인던민타카,1000112,6,100,2,3,100,0,0,0,0,1,0,0
245,0,1,1000,인던아스론라이트닝,1000114,6,100,1,3,100,0,0,0,0,1,0,0
246,0,1,1000,인던아스론커즈,1000116,6,100,2,3,100,0,0,0,0,1,0,0
247,2067,1,6000,인던트레커즈필드,1000309,10,50,1,4,100,0,0,0,0,0,0,1000
248,2050,1,2800,인시투스헌터넉백,1000418,10,20,1,3,100,2051,1,2500,0,0,0,0
249,3048,1,900,소로 소서러라이트닝,1100305,14,20,1,2,75,3136,1,700,0,1,0,0
250,3038,1,1000,소로 아이스 웨이브,1000411,14,20,1,0,0,3039,1,900,0,1,0,0
251,2077,1,1000,소로 루인스 스컬,1000116,14,15,1,0,0,2078,1,500,0,0,0,0
252,3062,1,1600,라스 소서러파이어볼,1100301,14,20,1,2,75,3063,1,350,0,1,0,0
253,3062,1,1600,졸탄 폴룬비숍 파이어볼,1000112,14,60,1,2,75,3063,1,350,0,1,0,0
254,3048,1,900,반 폴룬비숍 라이트닝,1000114,14,60,1,2,75,3136,1,700,0,1,0,0
255,0,1,2000,에시매드의 환영,1100325,8,60,1,1,100,0,0,0,0,0,0,200
256,0,1,2000,다비흐의 환영,1100307,10,60,1,1,100,0,0,0,0,0,0,200
257,3158,1,1000,고모리,1000112,10,40,1,0,0,3159,1,1000,0,0,0,0
258,3153,1,2000,캡틴 디세이어,1100307,10,40,1,2,100,0,0,0,0,0,0,600
259,3154,1,1000,리자드맨 주술사1,1000113,10,40,1,0,0,3155,1,1000,0,0,0,0
260,3156,1,2000,리자드맨 주술사2,1100303,10,40,1,2,100,0,0,0,0,0,0,350
261,1126,1,1000,리자드맨 사수1,1000103,10,40,1,0,0,0,1,0,0,0,0,0
262,1127,1,1000,리자드맨 사수2,1000103,10,40,1,0,0,0,1,0,0,0,0,0
263,2098,1,1000,아이스 스파이더,1000113,10,40,1,0,0,2101,1,500,0,0,0,0
264,2099,1,1000,포이즌 스파이더,1000115,10,40,1,0,0,2102,1,500,0,0,0,0
265,3157,1,2000,비네,1000308,10,40,1,2,100,0,0,0,0,0,0,650
266,3157,1,2000,레쓰 비네,1000308,10,40,1,2,100,0,0,0,0,0,0,650
267,0,0,1000,비네,1000115,10,40,1,0,0,0,0,0,0,0,0,0
268,0,0,1000,레쓰 비네,1000115,10,40,1,0,0,0,0,0,0,0,0,0
269,0,0,1000,푸르카스,1000115,10,40,1,0,0,2103,1,500,0,0,0,0
270,1131,1,1000,바싸고,1000116,10,40,1,0,0,0,0,0,0,0,0,0
271,1132,1,1500,바싸고,1000116,10,40,1,0,0,1132,1,1500,0,0,0,0
272,0,1,1500,라스 알하게,1100311,14,40,1,2,100,0,0,0,0,0,0,500
273,1138,1,1000,서펜스 전사_발사,1000115,14,50,1,6,100,1139,1,500,0,0,0,0
274,3160,1,1000,마기마타,1100301,14,40,1,2,100,3162,1,2000,0,0,0,600
275,2104,1,600,오퓨커스_일반,1000415,14,50,2,18,100,0,0,0,0,0,0,0
276,0,1,1000,오퓨커스_독,1000307,14,40,1,1,100,2105,1,3000,0,0,0,500
277,0,1,1000,서펜스 마법사_파워,1000413,9,30,1,6,100,1141,1,500,0,0,0,0
278,0,1,1000,라바 드레이크,1100301,14,40,1,0,0,0,0,0,0,0,0,0
279,1145,1,500,서펜스 마법사_커즈,1000307,14,40,1,0,0,1140,1,1500,0,0,0,0
280,0,1,1000,오로브 카프,1000412,14,40,1,0,0,0,0,0,0,0,0,0
281,3160,1,1000,마기로치,1100301,14,40,1,0,0,3161,1,1000,0,0,0,0
282,0,1,1800,오퓨커스_커즈,1000309,14,40,1,2,100,2106,1,3000,0,0,0,600
283,0,1,1000,서펜스 마법사_일반,1000412,14,40,1,0,0,1142,1,300,0,0,0,0
284,0,1,1000,서펜스 전사_피어싱,1000412,10,60,1,3,100,0,0,0,0,0,0,0
285,0,1,1000,칼드러스_피어싱,1000412,6,60,1,5,100,0,0,0,0,0,0,0
286,0,1,1000,하이드러스_피어싱,1000413,6,60,1,5,100,0,0,0,0,0,0,0
287,2109,1,2000,프레이저드_리모트,1000112,14,30,1,0,0,2110,1,500,0,0,0,0
288,0,1,900,프리즈칸 로드의 환영,1000202,14,40,1,1,100,0,0,0,0,0,0,450
289,0,1,1000,포저리의 환영,1100325,14,40,1,1,100,0,0,0,0,0,0,500
290,0,1,1000,일립스의 환영,1000202,14,40,1,1,100,0,0,0,0,0,0,500
291,0,1,1200,아가시온의 환영,1100329,14,40,1,1,100,0,0,0,0,0,0,600
292,2121,1,1000,바이라,1000114,14,40,1,2,100,0,0,0,0,0,0,0
293,0,1,200,엠퍼러 바즈,1000305,14,40,1,0,0,2125,1,1000,0,0,0,100
294,0,1,1800,엠퍼러 바즈_power,1100307,14,40,1,2,100,2126,1,2000,0,0,0,600
295,0,1,750,엠퍼러 바즈_spacial,1000306,14,40,1,2,100,0,0,0,0,0,0,250
296,0,1,1000,타이런트 루드니,1000301,14,40,1,0,0,0,0,0,0,0,0,100
297,1159,1,1000,타이런트 루드니_power,1000301,14,18,2,24,100,0,0,0,0,0,0,200
298,0,1,500,타이런트 루드니_spacial,1000301,14,40,1,0,100,1160,1,3000,0,0,0,500
299,0,1,1000,불멸의 아퀴라이_power,1000201,14,40,1,1,100,3182,1,700,0,0,0,500
300,0,1,5625,불멸의 아퀴라이_spacial,1100307,16,19,2,14,100,0,0,0,0,0,0,375
301,2037,1,1000,타란툴라 에볼트 샷1,1000412,14,30,1,0,0,2020,1,2000,0,1,0,0
302,3035,1,1000,그류페인 아이스 볼트1,1000411,14,30,1,0,0,3036,1,700,0,1,0,0
303,2040,1,1000,셀라임 공격1,1000112,14,28,1,1,40,2041,1,500,0,1,0,0
304,2040,1,1000,셀라임 공격2,1000112,14,28,1,2,60,2041,1,500,0,1,0,0
305,2040,1,1000,셀라임 공격3,1000112,14,28,1,3,80,2041,1,500,0,1,0,0
306,2042,1,1000,텐타토르 공격,1000307,14,28,1,0,0,2043,1,500,0,1,0,0
307,2072,1,1000,불라곤 공격1,1000112,14,28,1,1,40,2016,1,2000,0,1,0,0
308,2072,1,1000,불라곤 공격2,1000112,14,28,1,2,60,2016,1,2000,0,1,0,0
309,2072,1,1000,불라곤 공격3,1000112,14,28,1,3,80,2016,1,2000,0,1,0,0
310,1072,1,1000,아나데마 공격1,1000413,14,28,1,1,100,1073,1,1000,0,1,0,0
311,2040,1,1000,셀라임 특수 공격,1000112,14,30,1,5,100,2041,1,500,0,1,0,0
312,0,1,1000,불라곤 그레이트 어택,1000112,16,30,2,16,100,2016,1,2000,0,1,0,0
313,3168,1,1500,아나데마 그레이트 어택,1000413,16,30,1,48,100,3169,1,1000,0,1,0,0
314,2113,1,1000,아가레스 공격1,1000115,14,30,1,2,75,2114,1,500,0,1,0,0
315,2113,1,1000,아가레스 공격1,1000115,14,30,1,2,90,2114,1,500,0,1,0,0
316,2113,1,1000,아가레스 공격1,1000115,14,30,1,3,100,2114,1,500,0,1,0,0
317,0,1,2500,아가레스 커즈 퓨리,1000309,14,50,1,1,100,2118,1,2000,0,1,0,650
318,0,1,3500,아가레스 메테오,1000307,14,50,1,2,100,2120,1,2000,0,1,0,600
319,0,1,2500,아가레스 창 공격,1000307,14,50,1,0,100,2116,1,2000,0,1,0,100
320,0,1,5500,무스펠 파워 어택,1000201,14,50,1,0,100,1155,1,5000,0,1,0,100
321,0,1,1500,무스펠 스페셜 어택,1000201,14,50,1,1,100,0,0,0,0,1,0,750
401,2067,1,11000,커즈필드,1000309,10,50,1,9,100,0,0,0,0,0,0,1000
402,2077,1,1000,루인스 스컬,1000116,14,15,1,0,0,2078,1,500,0,0,0,0
403,0,1,500,이블스피어,1000106,7,80,1,3,100,1060,1,1000,0,0,0,0
404,0,1,500,스피릿 에미션_1,1000309,10,40,1,0,0,2132,1,500,0,0,0,0
405,0,1,500,스피릿 에미션_2,1000309,10,40,1,0,0,2133,1,500,0,0,0,0
501,0,1,1000,체인 버스트,1000101,10,40,1,5,100,1097,1,300,0,0,0,0
502,0,1,500,바일런트 게일,1000101,10,40,1,5,100,1112,1,500,0,0,0,0
503,0,1,500,바일런트 게일,1000101,10,40,1,5,100,1112,1,500,0,0,0,0
504,0,1,500,트리플 레비지 넉백,1000418,6,100,1,3,100,1108,3,500,0,0,0,0
505,0,1,1000,카니지,1000201,14,40,1,1,100,0,0,0,0,0,0,500
506,0,1,9000,데드 스파크,1000202,14,40,1,5,100,0,0,0,0,0,0,1500
507,0,1,900,토네이도_Lv5,1000202,14,40,1,1,100,0,0,0,0,0,0,450
550,0,0,500,인퍼널 필라 ,1000112,16,100,1,12,100,0,0,0,0,0,0,0
551,0,0,1200,인퍼널 필라_2,1000112,16,100,2,18,100,0,0,0,0,0,0,0
552,0,0,3000,그래셔스 애디,1000303,16,50,1,4,100,0,0,0,0,0,0,600
553,0,0,4750,이미티드 플래쉬,1000306,10,50,1,4,100,0,0,0,0,0,0,950
554,0,0,1000,스포일 디비니티,1000203,16,50,1,1,100,0,0,0,0,0,0,500
555,3193,1,1000,아쿠아 셔클,1000203,16,100,1,0,0,3194,1,1200,0,0,0,0
556,0,0,1700,아쿠아 셔클,1000203,16,50,1,1,100,0,0,0,0,0,0,850
601,3045,1,900,클로에 라이트닝볼트,1000114,14,30,1,1,100,3046,1,700,0,1,0,0
602,3048,1,900,클로에 라이트닝 ,1100305,14,20,1,1,0,3136,1,700,0,1,0,0
603,3035,1,1000,그라니아 아이스볼트,1000113,14,30,1,1,100,3036,1,700,0,1,0,0
604,0,0,1600,그라니아 아이스스파이크,1100303,14,60,1,1,0,3066,1,800,0,1,0,0
605,3004,1,2000,사비 파이어 볼트,1000112,14,30,1,1,100,3005,1,300,0,1,0,0
606,3062,1,1600,샤비 파이어 볼,1100301,14,20,1,1,0,3063,1,350,0,1,0,0
607,2001,1,2000,아리스 스트라이크샷,1000103,14,30,1,2,100,2002,1,1000,0,1,0,0
650,2001,1,2000,스트라이크 샷 LV1,1000103,16,30,1,0,0,2002,1,1000,0,1,0,0
651,2001,1,2000,스트라이크 샷 LV2,1000103,16,30,1,0,0,2002,1,1000,0,1,0,0
652,2001,1,2000,스트라이크 샷 LV3,1000103,16,30,1,1,15,2002,1,1000,0,1,0,0
653,2001,1,2000,스트라이크 샷 LV4,1000103,16,30,1,1,20,2002,1,1000,0,1,0,0
654,2001,1,2000,스트라이크 샷 LV5,1000103,16,30,1,1,25,2002,1,1000,0,1,0,0
655,2001,1,2000,스트라이크 샷 LV6,1000103,16,30,1,1,30,2002,1,1000,0,1,0,0
656,2001,1,2000,스트라이크 샷 LV7,1000103,16,30,1,1,35,2002,1,1000,0,1,0,0
657,2001,1,2000,스트라이크 샷 LV8,1000103,16,30,1,1,40,2002,1,1000,0,1,0,0
658,2001,1,2000,스트라이크 샷 LV9,1000103,16,30,1,2,45,2002,1,1000,0,1,0,0
659,2001,1,2000,스트라이크 샷 LV10,1000103,16,30,1,2,50,2002,1,1000,0,1,0,0
700,2050,1,1000,가비안 에쿼티즈,1000112,16,20,1,0,0,3174,1,1000,0,0,0,0
701,2021,1,1000,가비안 에쿼티즈_power,1000301,16,15,1,0,0,3175,1,1000,0,0,0,0
702,3176,1,1000,가비안 프랫,1000115,14,40,1,2,100,3177,1,1000,0,0,0,0
703,3180,1,1200,가비안 프랫_power,1000307,14,40,1,1,100,0,0,0,0,0,0,600
704,3178,1,1000,가비안 퀘스터,1000113,14,30,1,0,0,3179,1,1000,0,0,0,0
705,3181,1,1200,가비안 퀘스터_power,1000303,14,40,1,1,100,0,0,0,0,0,0,600
706,2122,1,1000,가비안 레거트,1000116,14,25,1,0,0,2146,1,500,0,0,0,0
707,0,1,1000,가비안 레거트_power,1000309,14,40,1,1,100,2123,1,1000,0,0,0,500
708,0,1,1200,가비안 레거트_spacial,1000309,14,40,1,0,0,2124,1,1000,0,0,0,100
709,0,1,1000,트리톤_power,1100313,14,40,1,1,100,0,0,0,0,0,0,500
710,0,1,1400,트리톤_spacial,1100313,14,40,1,2,100,0,0,0,0,0,0,450
711,0,1,1000,벤전스 메니즈_power,1000101,8,40,1,2,100,0,0,0,0,0,0,0
712,0,1,1000,고대 워리어의 혼_power,1000101,8,40,1,5,100,0,0,0,0,0,0,0
713,0,1,1200,고대 워리어의 혼_special,1000202,14,40,1,2,100,0,0,0,0,0,0,400
714,0,1,1000,고대 서머너의 혼_power,1000115,8,25,1,2,100,0,0,0,0,0,0,0
715,0,1,3000,고대 서머너의 혼_special,1000202,14,40,1,4,100,0,0,0,0,0,0,600
716,0,1,3300,드라코리치,1100301,14,40,1,4,100,0,0,0,0,0,0,660
717,0,1,800,아퀴라 워로드_power,1000202,14,40,1,1,100,0,0,0,0,0,0,400
718,0,1,1000,태양의 정수_power,1000112,8,40,1,2,100,0,0,0,0,0,0,0
719,0,1,1000,요쉬마 디아메키,1000412,16,20,1,12,100,0,0,0,0,0,0,0
720,3183,1,4000,요쉬마 디아메키_special,1000309,14,40,1,5,100,0,0,0,0,0,0,665
721,0,1,4350,헬리온의 화신_power,1000201,12,10,1,9,100,0,0,0,0,0,0,450
722,0,1,2000,헬리온의 화신_special,1000202,14,40,1,3,100,0,0,0,0,0,0,500
723,0,1,700,고대 헌터의 혼,1000103,14,40,1,0,0,1,2,300,0,0,0,0
724,2025,1,1000,고대 헌터의 혼_power,1000103,14,25,1,2,100,2026,1,2000,2026,1,2000,0
725,2045,1,500,고대 헌터의 혼_special,1000103,14,25,1,0,0,2046,1,500,0,0,0,0
726,0,1,1000,고대 세그날레의 혼_power,1000106,8,25,1,2,100,0,0,0,0,0,0,0
727,3004,1,2000,고대 매지션의 혼_A,1000112,14,25,1,0,0,3005,1,300,0,0,0,0
728,0,1,1000,고대 매지션의 혼_A_power,1000112,14,25,1,4,100,3011,1,350,3011,1,350,0
729,3048,1,1100,고대 매지션의 혼_B,1000114,14,25,1,2,100,3049,1,700,0,0,0,0
730,0,1,1000,고대 매지션의 혼_B_power,1000114,14,25,2,2,100,3107,1,1000,3107,1,1000,0
731,0,1,1000,아퀴라 아치마기,1000103,14,40,1,4,100,0,0,0,0,0,0,0
732,1170,1,1000,아퀴라 아치마기_power,1000309,14,40,1,1,100,0,0,0,0,0,0,500
733,0,1,200,아퀴라 아치마기_special,1000309,14,40,1,0,0,1171,1,1000,0,0,0,100
