ResultValue_Special__Range_7,0,0,0,0,0,0
AttackMaterial_Heal,0,0,0,0,0,0
AttackDamage_Min_Heal,0,0,0,0,0,0
AttackDamage_Max_Heal,0,0,0,0,0,0
AbsoluteDamage_Min_Heal,0,0,0,0,0,0
AbsoluteDamage_Max_Heal,0,0,0,0,0,0
CellRange_Heal,0,0,0,0,0,0
AttackDelay_Heal,0,0,0,0,0,0
ResultCode_Heal,0,0,0,0,0,0
ResultValue_Heal_1,0,0,0,0,0,0
ResultValue_Heal_2,0,0,0,0,0,0
ResultValue_Heal_3,0,0,0,0,0,0
ResultValue_Heal_4,0,0,0,0,0,0
ResultValue_Heal_5,0,0,0,0,0,0
ResultValue_Heal_6,0,0,0,0,0,0
ResultValue_Heal_7,0,0,0,0,0,0
AttackMaterial_Revive,0,0,0,0,0,0
AttackDamage_Min_Revive,0,0,0,0,0,0
AttackDamage_Max_Revive,0,0,0,0,0,0
AbsoluteDamage_Min_Revive,0,0,0,0,0,0
AbsoluteDamage_Max_Revive,0,0,0,0,0,0
CellRange_Revive,0,0,0,0,0,0
AttackDelay_Revive,0,0,0,0,0,0
ResultCode_Revive,0,0,0,0,0,0
ResultValue_Revive_1,0,0,0,0,0,0
ResultValue_Revive_2,0,0,0,0,0,0
ResultValue_Revive_3,0,0,0,0,0,0
ResultValue_Revive_4,0,0,0,0,0,0
ResultValue_Revive_5,0,0,0,0,0,0
ResultValue_Revive_6,0,0,0,0,0,0
ResultValue_Revive_7,0,0,0,0,0,0
LeaveEffectID,0,0,0,0,0,0
LeaveSceneID,0,0,0,0,0,0
LeaveEffectTime,0,0,0,0,0,0
StatusEffectID,0,0,0,0,0,0
EnterEffectID,0,0,0,0,0,0
IconIndex,0,0,0,0,0,0
ItemIndex,4010,4011,4012,4013,4014,4015
Width,3,3,3,3,3,3
