39279.65208,Location_Name,MapIndex,Pos_X,Pos_Y,Direction,Pos_X,Pos_Y,Direction
1114,North Ares,1,166,108,0,166,108,0
1115,North Ares,1,0,0,0,0,0,0
1116,North Ares,1,50,15,0,50,15,0
1117,North Ares,1,0,0,0,0,0,0
1118,North Ares,1,482,141,0,482,141,0
1119,North Morte,8,0,0,0,0,0,0
1120,North Morte,8,471,120,0,471,120,0
1121,North Morte,8,0,0,0,0,0,0
1122,North Morte,8,441,24,0,441,24,0
1123,North Morte,8,0,0,0,0,0,0
1124,North Morte,8,324,120,0,324,120,0
1125,North Morte,8,0,0,0,0,0,0
1126,North Morte,8,184,70,0,184,70,0
1127,North Morte,8,0,0,0,0,0,0
1128,North Morte,8,167,120,0,167,120,0
1129,North Morte,8,0,0,0,0,0,0
1130,North Morte,8,23,70,0,23,70,0
1131,North Morte,8,0,0,0,0,0,0
1132,North Morte,8,488,129,0,488,129,0
1135,Python Castle,19,14,15,0,14,15,0
1136,Draco Desert,13,487,25,96,487,25,96
1137,Python Castle,19,0,0,0,0,0,0
1138,Python Castle,19,191,255,0,191,255,0
1139,Python Castle,19,0,0,0,0,0,0
1140,Python Castle,19,176,255,0,176,255,0
1141,Python Castle,19,0,0,0,0,0,0
1142,Python Castle,19,437,255,0,437,255,0
1143,Python Castle,19,0,0,0,0,0,0
1144,Python Castle,19,423,255,0,423,255,0
1145,Python Castle,19,0,0,0,0,0,0
1146,Python Castle,19,422,291,0,422,291,0
1147,Python Castle,19,0,0,0,0,0,0
1148,Python Castle,19,422,277,0,422,277,0
1149,Python Castle,19,0,0,0,0,0,0
1150,Python Castle,19,454,294,0,454,294,0
1151,Python Castle,19,0,0,0,0,0,0
1152,Python Castle,19,455,277,0,455,277,0
1153,Draco Desert,13,0,0,0,0,0,0
1154,Python Castle,19,22,23,160,22,23,160
1155,Python Castle,19,0,0,0,0,0,0
1156,Tomb of the Black Dragon,20,480,255,64,480,255,64
1157,Tomb of the Black Dragon,20,496,254,0,496,254,0
1158,Python Castle,19,422,240,128,422,240,128
1159,Requies Beach,17,0,0,0,0,0,0
1160,Avalon Island,18,391,359,32,391,359,32
1161,Tomb of the Black Dragon,20,0,0,0,0,0,0
1162,Tomb of the Black Dragon,20,102,256,0,102,256,0
1163,Tomb of the Black Dragon,20,0,0,0,0,0,0
1164,Tomb of the Black Dragon,20,43,256,0,43,256,0
1165,Tomb of the Black Dragon,20,0,0,0,0,0,0
1166,Cursed Maze,21,233,25,128,233,25,128
1167,Cursed Maze,21,232,12,0,232,12,0
1168,Tomb of the Black Dragon,20,35,255,192,35,255,192
1169,Cursed Maze,21,0,0,0,0,0,0
1170,Cursed Maze,21,191,399,0,191,399,0
1171,Cursed Maze,21,0,0,0,0,0,0
1172,Cursed Maze,21,144,399,0,144,399,0
1173,Avalon Island,18,0,0,0,0,0,0
1174,Aquarius,26,29,398,192,29,398,192
1175,Aquarius,26,17,397,0,17,397,0
1176,Requies Beach,17,299,118,0,299,118,0
10000,Braiken Castle,0,0,0,0,0,0,0
10001,Draco Desert,13,56,435,0,56,435,0
20000,Braiken Castle,0,0,0,0,0,0,0
20001,Draco Desert,13,55,55,0,55,55,0
11000,Parca Temple,6,0,0,0,0,0,0
11001,Parca Temple,6,301,255,0,301,255,0
11002,Parca Temple,6,0,0,0,0,0,0
11003,Parca Temple,6,327,255,0,327,255,0
11004,Parca Temple,6,0,0,0,0,0,0
11005,Parca Temple,6,69,326,0,69,326,0
11006,Parca Temple,6,0,0,0,0,0,0
11007,Parca Temple,6,87,325,0,87,325,0
11008,Parca Temple,6,0,0,0,0,0,0
11009,Parca Temple,6,135,397,0,135,397,0
11010,Parca Temple,6,0,0,0,0,0,0
11011,Parca Temple,6,135,377,0,135,377,0
11012,Parca Temple,6,0,0,0,0,0,0
11013,Parca Temple,6,203,326,0,203,326,0
11014,Parca Temple,6,0,0,0,0,0,0
11015,Parca Temple,6,183,325,0,183,325,0
11016,Parca Temple,6,0,0,0,0,0,0
11017,Parca Temple,6,70,186,0,70,186,0
11018,Parca Temple,6,0,0,0,0,0,0
11019,Parca Temple,6,87,185,0,87,185,0
11020,Parca Temple,6,0,0,0,0,0,0
11021,Parca Temple,6,135,134,0,135,134,0
11022,Parca Temple,6,0,0,0,0,0,0
11023,Parca Temple,6,135,114,0,135,114,0
11024,Parca Temple,6,0,0,0,0,0,0
11025,Parca Temple,6,202,186,0,202,186,0
11026,Parca Temple,6,0,0,0,0,0,0
11027,Parca Temple,6,183,185,0,183,185,0
11028,Braiken Castle Underground Prison,16,0,0,0,0,0,0
11029,Braiken Castle Underground Prison,16,218,255,0,218,255,0
11030,Braiken Castle Underground Prison,16,0,0,0,0,0,0
11031,Braiken Castle Underground Prison,16,294,256,0,294,256,0
11032,Requies Beach,17,0,0,0,0,0,0
11033,Requies Beach,17,59,78,0,59,78,0
11034,Requies Beach,17,0,0,0,0,0,0
11035,Requies Beach,17,136,115,0,136,115,0
11036,Requies Beach,17,0,0,0,0,0,0
11037,Requies Beach,17,239,422,0,239,422,0
11038,Requies Beach,17,245,420,0,245,420,0
11039,Requies Beach,17,303,423,0,303,423,0
11040,Avalon Island,18,0,0,0,0,0,0
11041,Avalon Island,18,308,273,0,308,273,0
11042,Avalon Island,18,0,0,0,0,0,0
11043,Avalon Island,18,391,359,0,391,359,0
11044,Braiken Castle,0,264,242,0,264,242,0
11045,Genoa Castle - Defending Side,23,69,205,128,69,205,128
11046,Braiken Castle,0,264,242,0,264,242,0
11047,Genoa Castle - Attacking Side,23,477,259,64,477,259,64
11048,Braiken Castle,0,264,242,0,264,242,0
11049,Genoa Castle,23,107,265,36,107,265,36
11050,Genoa Castle,23,314,238,0,314,238,0
11051,Genoa Castle,23,300,252,64,300,252,64
11052,Genoa Castle,23,293,248,0,293,248,0
11053,Genoa Castle,23,312,236,64,312,236,64
11054,Genoa Castle,23,245,239,0,245,239,0
11055,Genoa Castle,23,235,253,128,235,253,128
11056,Genoa Castle,23,240,251,0,240,251,0
11057,Genoa Castle,23,246,232,0,246,232,0
11058,Genoa Castle,23,245,276,0,245,276,0
11059,Genoa Castle,23,236,261,0,236,261,0
11060,Genoa Castle,23,240,264,0,240,264,0
11061,Genoa Castle,23,247,283,128,247,283,128
11062,Genoa Castle,23,101,239,0,101,239,0
11063,Genoa Castle,23,214,209,128,214,209,128
11064,Genoa Castle,23,214,203,0,214,203,0
11065,Genoa Castle,23,98,240,64,98,240,64
11066,Genoa Castle,23,102,260,0,102,260,0
11067,Genoa Castle,23,126,346,192,126,346,192
11068,Genoa Castle,23,120,344,0,120,344,0
11069,Genoa Castle,23,99,260,64,99,260,64
11070,Genoa Castle,23,118,296,0,118,296,0
11071,Genoa Castle,23,136,200,128,136,200,128
11072,Genoa Castle,23,134,296,128,134,296,128
11073,Genoa Castle,23,163,230,192,163,230,192
11074,Genoa Castle,23,198,327,64,198,327,64
11075,Genoa Castle,23,75,250,64,75,250,64
11076,Genoa Castle,23,313,280,0,313,280,0
11077,Genoa Castle,23,300,263,64,300,263,64
11078,Genoa Castle,23,292,267,0,292,267,0
11079,Genoa Castle,23,312,283,64,312,283,64
11080,Genoa Castle,23,216,328,0,216,328,0
11081,Genoa Castle,23,226,398,192,226,398,192
11082,Genoa Castle,23,224,406,0,224,406,0
11083,Genoa Castle,23,217,325,0,217,325,0
11084,Treasure of Crespo,25,190,294,0,190,294,0
11085,Treasure of Crespo,25,229,424,192,229,424,192
11086,Treasure of Crespo,25,222,423,0,222,423,0
11087,Treasure of Crespo,25,191,287,0,191,287,0
11088,Treasure of Crespo,25,247,391,0,247,391,0
11089,Treasure of Crespo,25,251,160,128,251,160,128
11090,Treasure of Crespo,25,250,152,0,250,152,0
11091,Treasure of Crespo,25,254,392,192,254,392,192
11092,Treasure of Crespo,25,207,153,0,207,153,0
11093,Treasure of Crespo,25,248,196,64,248,196,64
11094,Treasure of Crespo_B,32,190,294,0,190,294,0
11095,Treasure of Crespo_B,32,229,424,192,229,424,192
11096,Treasure of Crespo_B,32,222,423,0,222,423,0
11097,Treasure of Crespo_B,32,191,287,0,191,287,0
11098,Treasure of Crespo_B,32,247,391,0,247,391,0
11099,Treasure of Crespo_B,32,251,160,128,251,160,128
11100,Treasure of Crespo_B,32,250,152,0,250,152,0
11101,Treasure of Crespo_B,32,254,392,192,254,392,192
11102,Treasure of Crespo_B,32,207,153,0,207,153,0
11103,Treasure of Crespo_B,32,248,196,64,248,196,64
11104,Treasure of Crespo_A,33,190,294,0,190,294,0
11105,Treasure of Crespo_A,33,229,424,192,229,424,192
11106,Treasure of Crespo_A,33,222,423,0,222,423,0
11107,Treasure of Crespo_A,33,191,287,0,191,287,0
11108,Treasure of Crespo_A,33,247,391,0,247,391,0
11109,Treasure of Crespo_A,33,251,160,128,251,160,128
11110,Treasure of Crespo_A,33,250,152,0,250,152,0
11111,Treasure of Crespo_A,33,254,392,192,254,392,192
11112,Treasure of Crespo_A,33,207,153,0,207,153,0
11113,Treasure of Crespo_A,33,248,196,64,248,196,64
11114,Nunvice Shrine,35,324,330,0,324,330,0
11115,Nunvice Shrine,35,288,264,0,288,264,0
11116,Nunvice Shrine_02,36,324,330,0,324,330,0
11117,Nunvice Shrine_02,36,288,264,0,288,264,0
11118,Nunvice Shrine_03,37,324,330,0,324,330,0
11119,Nunvice Shrine_03,37,288,264,0,288,264,0
11120,North Ares,1,465,492,0,465,492,0
11121,Chain of Fire,45,340,176,89,340,176,89
11122,Chain of Fire,45,345,168,0,345,168,0
11123,North Ares,1,471,487,0,471,487,0
11124,Dead Front_Rabble,39,263,394,0,263,394,0
11125,Chain of Fire,45,334,252,64,334,252,64
11126,Dead Front_Common,40,263,394,0,263,394,0
11127,Chain of Fire,45,334,252,64,334,252,64
11128,Dead Front_Baron,41,263,394,0,263,394,0
11129,Chain of Fire,45,334,252,64,334,252,64
11130,Dead Front_Earl,42,263,394,0,263,394,0
11131,Chain of Fire,45,334,252,64,334,252,64
11132,Dead Front_Duke,43,263,394,0,263,394,0
11133,Chain of Fire,45,334,252,64,334,252,64
11134,Dead Front_Arc,44,263,394,0,263,394,0
11135,Chain of Fire,45,334,252,64,334,252,64
11136,Dead Front_Rabble,39,258,364,0,258,364,0
11137,Dead Front_Rabble,39,248,395,192,248,395,192
11138,Dead Front_Common,40,258,364,0,258,364,0
11139,Dead Front_Common,40,248,395,192,248,395,192
11140,Dead Front_Baron,41,258,364,0,258,364,0
11141,Dead Front_Baron,41,248,395,192,248,395,192
11142,Dead Front_Earl,42,258,364,0,258,364,0
11143,Dead Front_Earl,42,248,395,192,248,395,192
11144,Dead Front_Duke,43,258,364,0,258,364,0
11145,Dead Front_Duke,43,248,395,192,248,395,192
11146,Dead Front_Arc,44,258,364,0,258,364,0
11147,Dead Front_Arc,44,248,395,192,248,395,192
11148,North Morte,8,0,0,0,0,0,0
11149,Aquirai,46,463,480,0,463,480,0
11150,Aquirai,46,462,490,0,462,490,0
11151,North Morte,8,266,161,128,266,161,128
11152,Aquirai,46,0,0,0,0,0,0
11153,Aquirai,46,103,159,64,103,159,64
11154,Aquirai,46,0,0,0,0,0,0
11155,Aquirai,46,139,159,192,139,159,192
11156,Aquarius,26,186,105,0,186,105,0
11157,Aquarius,26,173,108,64,173,108,64
11158,Aquarius,26,0,0,0,0,0,0
11159,Aquarius,26,197,107,192,197,107,192
11160,Space of Pilgrimage,47,484,38,0,484,38,0
11161,Aquirai,46,47,445,0,47,445,0
11162,Space of Pilgrimage,47,340,349,0,340,349,0
11163,Space of Pilgrimage,47,281,349,64,281,349,64
11164,Space of Pilgrimage,47,291,349,0,291,349,0
11165,Space of Pilgrimage,47,350,349,192,350,349,192
11166,Space of Pilgrimage,47,212,235,0,212,235,0
11167,Space of Pilgrimage,47,212,159,0,212,159,0
11168,Space of Pilgrimage,47,212,170,0,212,170,0
11169,Space of Pilgrimage,47,212,246,128,212,246,128
11170,Space of Pilgrimage,47,308,148,0,308,148,0
11171,Space of Pilgrimage,47,305,218,0,305,218,0
11172,Space of Pilgrimage,47,305,207,0,305,207,0
11173,Space of Pilgrimage,47,310,138,0,310,138,0
11174,Space of Pilgrimage,47,191,349,0,191,349,0
11175,Space of Pilgrimage,47,167,350,0,167,350,0
11176,Space of Pilgrimage,47,177,349,0,177,349,0
11177,Space of Pilgrimage,47,220,349,0,220,349,0
