2007-01-04 17:45,Name,Rank,Type,Code,Attribute,Description,Quality,Job,Appraisal,Value,Weight,ReqLv,Price,Width,Height,StackNumber,AutoStack,StackDrop_Min,StackDrop_Max,Has_Durability,Can_Repair,Durability_Low,Durability_Normal,Durability_High,DropRate_LowQuality,DropRate_NormalQuality,DropRate_HighQuality,5229,Wear : Range,Wear : Speed,Wear : CriticalRate,Wear : Drop LV,Wear : Drop Option Number,Wear : Drop Socket 1EA Rate,Wear : Drop Socket 2EA Rate,Wear : Drop Socket 3EA Rate,Wear : Drop Socket 4EA Rate,Wear : Small Monster Attack Addition,Wear : Middle Monster Attack Addition,Wear : Large Monster Attack Addition,Wear : Boss Monster Attack Addition,Wear : Undead Monster Attack Addition,Option Index 1,Option Value 1,Option Index 2,Option Value 2,Option Index 3,Option Value 3,Option Index 4,Option Value 4,Option Index 5,Option Value 5,Option Index 6,Option Value 6,MinOption1,MaxOption1,MinOption2,MaxOption2,MinOption3,MaxOption3,Level 0 Item LV,Level 0 Melee Min Attack,Level 0 Melee Max Attack,Level 0 Magic Min Attack,Level 0 Magic Max Attack,Level 0 Defance Min,Level 0 Defance Max,Level 0 Blocking Rate,Level 0 Critical Bonus,Level 0 Str Request,Level 0 Dex Request,Level 0 Spr Request,Level 0 Appraisal Addition,BeforeLevelIndex,NextLevelIndex,Period,IsLimit
3842,蓝心（大）,2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,205,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3843,红心（小）,2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,206,1,0,500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3844,红心（大）,2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,207,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3845,爱情玫瑰,2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,208,1,0,500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3846,爱情花篮,2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,209,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3847,暴力牛奶糖,2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,200,1,0,500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3848,铁皮牛奶糖,2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,201,1,0,500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3849,狂暴棒棒糖,2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,202,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3850,龟壳棒棒糖,2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,203,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3851,魔力之石,0,0,4,0,4,35,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,1000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3852,刃击之石,0,0,4,0,4,35,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,1000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3853,能量宝石,0,0,4,0,4,35,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,1000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3854,白色年糕,2,0,12,0,12,21,1111-1111-1111-1111-1111-1111-1111-1111,5000,210,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3855,绿色年糕,2,0,12,0,12,21,1111-1111-1111-1111-1111-1111-1111-1111,5000,211,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3951,六边形项链,0,2,0,0,512,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3952,五角项链,0,2,0,0,512,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3953,月光项链,0,2,0,0,512,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3954,宇宙项链,0,2,0,0,512,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3955,治愈项链,0,2,0,0,512,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,600,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3956,灵魂项链,0,2,0,0,512,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,600,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3957,圣者项链,0,2,0,0,512,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,600,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3958,维加项链,0,2,0,0,512,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,600,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3959,血心戒指,0,2,3,0,515,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3960,提姆眼泪,0,2,3,0,515,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3961,巴萨克戒指,0,2,3,0,515,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,600,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3962,哈罗斯眼睛,0,2,3,0,515,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,600,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4001,回城卷轴,0,3,0,0,768,40,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,50,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4002,赤炎城堡移动卷轴,0,3,0,0,768,40,1111-1111-1111-1111-1111-1111-1111-1111,1500,7,1,0,50,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4003,卷轴1,0,3,0,0,768,40,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,100,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4004,卷轴2,0,3,0,0,768,40,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,100,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4005,精灵的粉末,0,3,0,0,768,40,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4010,[狂战士]多拉梅,4,7,0,0,1792,26,1111-1111-1111-1111-1111-1111-1111-1111,1700,50001,1,0,5000000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4011,[魔法师]克劳亚,4,7,0,0,1792,26,1111-1111-1111-1111-1111-1111-1111-1111,1700,50002,1,0,5000000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4012,[魔法师]格拉尼亚,4,7,0,0,1792,26,1111-1111-1111-1111-1111-1111-1111-1111,1700,50003,1,0,5000000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4013,[魔法师]沙菲,4,7,0,0,1792,26,1111-1111-1111-1111-1111-1111-1111-1111,1700,50004,1,0,5000000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4014,[骑士]叶丹,4,7,0,0,1792,26,1111-1111-1111-1111-1111-1111-1111-1111,1700,50005,1,0,5000000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4015,[弓箭手]阿里斯,4,7,0,0,1792,26,1111-1111-1111-1111-1111-1111-1111-1111,1700,50006,1,0,5000000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4021,剑术掌握,0,3,2,0,770,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,1,1,5,35,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4022,狂暴劈击,0,3,2,0,770,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,2,1,7,70,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4023,剑术防御,0,3,2,0,770,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,3,1,27,1780,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4024,钉头锤掌握,0,3,2,0,770,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,21,1,5,35,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4025,破甲,0,3,2,0,770,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,22,1,27,1780,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4026,猛击,0,3,2,0,770,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,23,1,7,70,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4027,斧掌握,0,3,2,0,770,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,41,1,5,35,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4028,重砍,0,3,2,0,770,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,42,1,7,70,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4029,断筋,0,3,2,0,770,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,43,1,27,1780,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4030,双重武器,0,3,2,0,770,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,61,1,16,507,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4031,双重攻击,0,3,2,0,770,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,62,1,20,965,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4032,强韧,0,3,2,0,770,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,81,1,10,188,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4033,虔诚,0,3,2,0,770,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,82,1,25,1566,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4034,跳斩,0,3,2,0,770,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,83,1,15,462,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4035,旋风斩,0,3,2,0,770,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,84,1,36,4917,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
