ImageIndex,Count,ItemIndex,Cash,String,Description,Waring,Packageitemindex,Packageitemcash
43,3,57655,210,0,15 days,1,0,0
,,57656,380,0,30 days,1,0,0
,,57657,1140,0,Permanent,1,0,0
44,3,57870,210,0,15 days,1,0,0
,,57871,380,0,30 days,1,0,0
,,57872,1140,0,Permanent,1,0,0
45,3,58085,210,0,15 days,1,0,0
,,58086,380,0,30 days,1,0,0
,,58087,1140,0,Permanent,1,0,0
46,3,58300,210,0,15 days,1,0,0
,,58301,380,0,30 days,1,0,0
,,58302,1140,0,Permanent,1,0,0
51,3,57222,210,0,15 days,0,0,0
,,57223,380,0,30 days,0,0,0
,,57224,1140,0,Permanent,0,0,0
52,3,57437,210,0,15 days,0,0,0
,,57438,380,0,30 days,0,0,0
,,57439,1140,0,Permanent,0,0,0
53,3,57652,210,0,15 days,0,0,0
,,57653,380,0,30 days,0,0,0
,,57654,1140,0,Permanent,0,0,0
54,3,57867,210,0,15 days,0,0,0
,,57868,380,0,30 days,0,0,0
,,57869,1140,0,Permanent,0,0,0
55,3,58082,210,0,15 days,0,0,0
,,58083,380,0,30 days,0,0,0
,,58084,1140,0,Permanent,0,0,0
56,3,58297,210,0,15 days,0,0,0
,,58298,380,0,30 days,0,0,0
,,58299,1140,0,Permanent,0,0,0
61,3,57008,90,0,15 days,0,0,0
,,57009,160,0,30 days,0,0,0
,,57010,600,0,Permanent,0,0,0
62,3,57017,90,0,15 days,0,0,0
,,57018,160,0,30 days,0,0,0
,,57019,600,0,Permanent,0,0,0
64,3,57005,90,0,15 days,0,0,0
,,57006,160,0,30 days,0,0,0
,,57007,600,0,Permanent,0,0,0
63,3,57014,90,0,15 days,0,0,0
,,57015,160,0,30 days,0,0,0
,,57016,600,0,Permanent,0,0,0
65,3,57011,90,0,15 days,0,0,0
,,57012,160,0,30 days,0,0,0
,,57013,600,0,Permanent,0,0,0
71,3,57219,210,0,15 days,0,0,0
,,57220,380,0,30 days,0,0,0
,,57221,1140,0,Permanent,0,0,0
72,3,57434,210,0,15 days,0,0,0
,,57435,380,0,30 days,0,0,0
,,57436,1140,0,Permanent,0,0,0
73,3,57649,210,0,15 days,0,0,0
,,57650,380,0,30 days,0,0,0
,,57651,1140,0,Permanent,0,0,0
74,3,57864,210,0,15 days,0,0,0
,,57865,380,0,30 days,0,0,0
,,57866,1140,0,Permanent,0,0,0
75,3,58079,210,0,15 days,0,0,0
,,58080,380,0,30 days,0,0,0
,,58081,1140,0,Permanent,0,0,0
76,3,58294,210,0,15 days,0,0,0
,,58295,380,0,30 days,0,0,0
,,58296,1140,0,Permanent,0,0,0
66,3,57002,90,0,15 days,0,0,0
,,57003,160,0,30 days,0,0,0
,,57004,600,0,Permanent,0,0,0
81,3,57216,210,0,15 days,0,0,0
,,57217,380,0,30 days,0,0,0
,,57218,1140,0,Permanent,0,0,0
82,3,57431,210,0,15 days,0,0,0
,,57432,380,0,30 days,0,0,0
,,57433,1140,0,Permanent,0,0,0
83,3,57646,210,0,15 days,0,0,0
,,57647,380,0,30 days,0,0,0
,,57648,1140,0,Permanent,0,0,0
84,3,57861,210,0,15 days,0,0,0
,,57862,380,0,30 days,0,0,0
,,57863,1140,0,Permanent,0,0,0
85,3,58076,210,0,15 days,0,0,0
,,58077,380,0,30 days,0,0,0
,,58078,1140,0,Permanent,0,0,0
86,3,58291,210,0,15 days,0,0,0
,,58292,380,0,30 days,0,0,0
,,58293,1140,0,Permanent,0,0,0
88,3,58303,210,0,15 days,1,0,0
,,58304,380,0,30 days,1,0,0
,,58305,1140,0,Permanent,1,0,0
89,3,58306,210,0,15 days,1,0,0
,,58307,380,0,30 days,1,0,0
,,58308,1140,0,Permanent,1,0,0
91,3,58309,210,0,15 days,1,0,0
,,58310,380,0,30 days,1,0,0
,,58311,1140,0,Permanent,1,0,0
90,3,58312,210,0,15 days,1,0,0
,,58313,380,0,30 days,1,0,0
,,58314,1140,0,Permanent,1,0,0
87,3,58315,210,0,15 days,1,0,0
,,58316,380,0,30 days,1,0,0
,,58317,1140,0,Permanent,1,0,0
92,3,58318,210,0,15 days,1,0,0
,,58319,380,0,30 days,1,0,0
,,58320,1140,0,Permanent,1,0,0
113,1,60135,3800,0,1 EA,1,0,0
