Index(wValue),StatusIndex,ShowEffect,EffectID,SceneID,NotifyMessage,LifeTime,Hp,Mp,HPRatio,MPRatio,Descript
201,6408,Y,0,0,Defense will be increased by 5% in 10 minutes,600000,0,0,0,0,Increase defense by 5% in 10 seconds\ Can be used until March 29,
202,6409,Y,0,0,Attack will be increased by 10% for 10 minutes.,600000,0,0,0,0,Increase attack by 10% in 10 seconds\ Can be used until March 29,
203,6410,Y,0,0,Defense will be increased by 10% for 10 minutes.,600000,0,0,0,0,Increase defense by 10% in 10 seconds\ Can be used until March 29,
204,6411,Y,0,0,Defense will be increased by 5% for 10 minutes.,600000,0,0,0,0,Increase defense by 5% in 10 seconds\ Can be used until May 31,
205,6412,Y,0,0,Defense will be increased by 10% for 10 minutes.,600000,0,0,0,0,Increase defense by 10% in 10 seconds\ Can be used until May 31,
206,6413,Y,0,0,Attack will be increased by 5% for 10 minutes.,600000,0,0,0,0,Increase attack by 5% in 10 seconds\ Can be used until May 31,
207,6414,Y,0,0,Attack will be increased by 10% for 10 minutes.,600000,0,0,0,0,Increase attack by 10% in 10 seconds\ Can be used until May 31,
208,6415,Y,0,0,Magic resistance will be increased by 4% for 10 minutes.,600000,0,0,0,0,Increase magic resistance by 4% in 10 seconds\ Can be used until May 31,
209,6416,Y,0,0,Magic resistance will be increased by 8% for 10 minutes.,600000,0,0,0,0,Increase magic resistance by 8% in 10 seconds\ Can be used until May 31,
210,6409,Y,0,0,Attack will be increased by 10% for 5 minutes.,300000,0,0,0,0,Increase attack by 10% in 5 minutes
211,6410,Y,0,0,Defense will be increased by 10% for 5 minutes.,300000,0,0,0,0,Increase defense by 10% in 5 minutes
212,6501,N,0,0,Physical attack will be increased by 5% for 5 minutes.,300000,0,0,0,0,Increase physical attack by 5% in 5 minutes
213,6502,N,0,0,Magic attack will be increased by 5% for 5 minutes.,300000,0,0,0,0,Increase magic attack by 5% in 5 minutes
214,6503,N,0,0,Physical defense will be increased by 5% for 5 minutes.,300000,0,0,0,0,Increase physical defense by 5% in 5 minutes
215,6504,N,0,0,All resistance will be increased by 5% for 5 minutes.,300000,0,0,0,0,Increase all elemental resistance by 5% in 5 minutes
216,6505,N,0,0,Poison and curse resistance will be increased by 10% for 5 minutes.,600000,0,0,0,0,Increase poison/curse resistance by 5% in 5 minutes
217,6506,N,0,0,Max HP will be increased for 10 minutes.,600000,0,0,0,0,Max HP will be increased by 7% for 10 minutes
218,6507,N,0,0,Movement speed will be increased for 15 seconds¸but Max HP will be decreased.,15000,0,0,0,0,Movement speed will be increased by 100% for 15 seconds\Max HP decreased to 90%
219,6508,N,0,0,Physical attack will be increased for 5 minutes¸but magical resistance will be decreased.,300000,0,0,0,0,Physical attack power will be increased by 7% for 5 minutes\Magical resistance will be decreased by 5%
220,6509,N,0,0,Magic attack will be increased for 5 minutes¸but physical defense will be decreased.,300000,0,0,0,0,Magical attack power will be increased for 6 minutes \Physical defense will be decreased by 5%
221,6510,N,0,0,Critical Rate will be increased by 3% for 5 minutes.,300000,0,0,0,0,Critical Rate is increased by 3% for 5 minutes
222,7000,Y,0,0,Defense will be increased by 5% for 5 minutes.,300000,0,0,0,0,Defense will be increased by 5% for 5 minutes
223,7001,Y,0,0,Attack will be increaed by 5% for 5 minutes.,300000,0,0,0,0,Attack power is increased by 5% for 5 minutes
224,6417,Y,0,0,Attack will be increased by 15 for 10 minutes.,600000,0,0,0,0,Attack power is increased by 15 pts for 10 minutes.
225,6418,Y,0,0,Defense will be increased by 15 for 10 minutes.,600000,0,0,0,0,Defense is increased by 15 pts for 10 minutes
226,6419,Y,0,0,Attack will be increased by 25 for 10 minutes.,600000,0,0,0,0,Attack power is increased by 25 pts for 10 minutes
227,6420,Y,0,0,Defense will be increased by 25 for 10 minutes.,600000,0,0,0,0,Defense is increased by 25 pts for 10 minutes
228,6421,Y,0,0,Attack will be increased by 50 for 10 minutes.,600000,0,0,0,0,Attack power is increased by 50 pts for 10 minutes
229,6422,Y,0,0,Defense will be increased by 35 for 10 minutes.,600000,0,0,0,0,Defense is increased by 35 pts for 10 minutes
300,7000,Y,0,0,Defense will be increased by 5% for 5 minutes.,300000,0,0,0,0,Increase defense by 5% in 5 minutes
301,7001,Y,0,0,Attack will be increased by 5% for 5 minutes.,300000,0,0,0,0,Increase attack by 5% in 5 minutes
302,6511,N,0,0,You will successfully taunt 2 monsters for 10 minutes.,600000,0,0,0,0,Taunt effect for 10 minutes (Max 2 monsters)\Warning : Effect is removed when the user changes maps
303,6512,N,0,0,Max MP will be increased for 10 minutes¸but physical attack and magical attack will be decreased.,600000,0,0,0,0,Max HP increased by 7 percent for 10 minutes\Physical/Magical attack power decreased by 5%
304,6513,N,0,0,Movement speed will be increased for 15 seconds¸but Max HP will be decreased.,15000,0,0,0,0,Movement speed is increased by 75% for 15 seconds\Max HP decreased to 90%
305,6514,N,0,0,Physical Attack will be increased for 5 minutes¸but Magic Resistance will be decreased.,300000,0,0,0,0,Physical attack power is increased by 5% for 5 minutes\Magical resistance is decreased by 7%
306,6515,N,0,0,Magic attack power will be increased for 5 minutes¸but physical defense will be decreased.,300000,0,0,0,0,Magic attack increased by 5% for 5 minutes\Physical defense is decreased by 7%
307,6516,N,0,0,Critical Rate will be increased for 5 minutes¸but Critical Attack Power will be decreased.,300000,0,0,0,0,Critical Rate is increased by 3% for 5 minutes\Critical attack power is decreased by 7%
308,6517,N,0,0,You will successfully taunt 6 monsters for 10 minutes.,600000,0,0,0,0,Taunt effect for 10 minutes (Max 6 monsters)\Warning: Effect is removed when the user changes maps
309,6518,N,0,0,Max HP and recovery rate will increase for 10 minutes.,600000,0,0,0,0,Max HP is increased by 7% for 10 minutes\HP recovery is increased
310,6519,N,0,0,Movement Speed will be increased for 15 seconds¸but Max HP will be decreased.,15000,0,0,0,0,Movement speed is increased by 100% for 15 seconds\Max HP is decreased to 75%
311,6520,N,0,0,Physical Attack Power will be increased for 5 minutes¸but Magic Resistance will be decreased.,300000,0,0,0,0,Physical attack power is increased by 7% for 5 minutes\Magic resistance is decreased by 3%
312,6521,N,0,0,Magic Attack Power will be increased for 5 minutes¸but Physical Defense will be decreased.,300000,0,0,0,0,Magical attack power is increased by 7% for 5 minutes\Physical defense is decreased by 3%
313,6522,N,0,0,Critical Rate will be increased for 5 minutes.,300000,0,0,0,0,Critical Rate is increased by 5% for 5 minutes
314,6423,Y,0,0,Max HP and MP will be increased for 5 minutes.,300000,0,0,0,0,Max HP increased\Max MP increased\\Can be used until the \<color=ff0000>October 31 maintanance date</color>
315,6424,Y,0,0,Physical/Magic Attack Power will increase for 5 minutes.,300000,0,0,0,0,Physical attack increased\Magic attack increased \\Can used until the \<color=ff0000>October 31 maintanance date</color>
316,6425,Y,0,0,Magical/Physical resistance will increase for 5 minutes.,300000,0,0,0,0,Magic resistance is increased\Physical resistance is increased \\Can be used until the \<color=ff0000>October 31 maintanance date</color>
317,6426,Y,0,0,Max Shield/Shield Recovery Rate/Critical Rate will be increased for 5 minutes.,300000,0,0,0,0,Max shield increased\Shield recovery increased\Critical Rate increased \\Can be used until the \<color=ff0000>October 31 maintanance date</color>
318,6427,Y,0,0,Magic Resistance will increase for 5 minutes.,300000,0,0,0,0,Magic Resistance increased\\<color=ff0000>can be used until</color>\<color=ff0000>January 30?008 Regular Maintenance date</color>
319,6428,Y,0,0,Physical Resistance will increase for 5 minutes.,300000,0,0,0,0,Physical Resistance increased\\<color=ff0000>can be used until</color>\<color=ff0000>January 30?008 Regular Maintenance date</color>
320,6429,Y,0,0,When you use a skill¸MP won't be consumed for 1 minute.,60000,0,0,0,0,Using a skill without consuming MP\\<color=ff0000>can be used until</color>\<color=ff0000>January 30?008 Regular Maintenance date</color>
321,6523,Y,0,0,Max Shield will be increased by 5% for 5 minutes.,300000,0,0,0,0,Max Shield is increased by 5% for 5 minutes
322,6524,Y,0,0,Physical Resistance will be increased by 5% for 5 minutes.,300000,0,0,0,0,Physical Resistance is increased by 5% for 5 minutes
323,7002,Y,0,0,Strength/Dexterity/Spirit will be increased by 5 for 5 minutes.,300000,0,0,0,0,\Strength increased by 5\Dexterity increased by 5 \Spirit increased by 5 for 5 minutes
324,7003,Y,0,0,Max HP / Max Shield will be increased by 5 for 5 minutes.,300000,0,0,0,0,For 5 minutes¸Max HP increased by 5%  \Max Shield increased by 5%
325,7004,Y,0,0,When you use a skill¸MP consumption will be decreased by 25% for 5 minutes.,300000,0,0,0,0,MP Consumption of your skills is decreased by 25% for 5 minutes
332,6407,Y,0,0,Attack will be increaed by 5% for 5 minutes.,300000,0,0,0,0,Attack will be increased by 5% for 5 minutes.\\<color=ff0000>Can be used until</color>\<color=ff0000>November 26</color>
333,6408,Y,0,0,Defense will be increased by 5% for 5 minutes.,300000,0,0,0,0,Defense will be increased by 5% for 5 minutes.\\<color=ff0000>Can be used until</color>\<color=ff0000>November 26</color>
