39475.57708,Name,Rank,Type,Code,Attribute,Description,Quality,Job,Appraisal,Value,Weight,ReqLv,Price,Width,Height,StackNumber,AutoStack,StackDrop_Min,StackDrop_Max,Has_Durability,Can_Repair,Durability_Low,Durability_Normal,Durability_High,DropRate_LowQuality,DropRate_NormalQuality,DropRate_HighQuality,5229,Wear : Range,Wear : Speed,Wear : CriticalRate,Wear : Drop LV,Wear : Drop Option Number,Wear : Drop Socket 1EA Rate,Wear : Drop Socket 2EA Rate,Wear : Drop Socket 3EA Rate,Wear : Drop Socket 4EA Rate,Wear : Small Monster Attack Addition,Wear : Middle Monster Attack Addition,Wear : Large Monster Attack Addition,Wear : Boss Monster Attack Addition,Wear : Undead Monster Attack Addition,Option Index 1,Option Value 1,Option Index 2,Option Value 2,Option Index 3,Option Value 3,Option Index 4,Option Value 4,Option Index 5,Option Value 5,Option Index 6,Option Value 6,MinOption1,MaxOption1,MinOption2,MaxOption2,MinOption3,MaxOption3,Level 0 Item LV,Level 0 Melee Min Attack,Level 0 Melee Max Attack,Level 0 Magic Min Attack,Level 0 Magic Max Attack,Level 0 Defance Min,Level 0 Defance Max,Level 0 Blocking Rate,Level 0 Critical Bonus,Level 0 Str Request,Level 0 Dex Request,Level 0 Spr Request,Level 0 Appraisal Addition,BeforeLevelIndex,NextLevelIndex,Period,IsLimit,PeriodBreak,Belong,NextShape
3844,Red Heart (L),2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,3000,207,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3845,Rose of Love,2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,3000,208,1,0,500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3846,Bouque of Love,2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,3000,209,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3847,Magenta Candy,2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,3000,200,1,0,500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3848,Cyan Candy,2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,3000,201,1,0,500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3849,Red Lollipop,2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,3000,202,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3850,Blue Lollipop,2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,3000,203,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3851,Mana Bead,0,0,4,0,4,35,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,1000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3852,Blood Stick,0,0,4,0,4,35,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,1000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3853,Energy Stone,0,0,4,0,4,35,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,1000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3854,White Stuffed Rice Cake,2,0,12,0,12,21,1111-1111-1111-1111-1111-1111-1111-1111,3000,210,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3855,Green Stuffed Rice Cake,2,0,12,0,12,21,1111-1111-1111-1111-1111-1111-1111-1111,3000,211,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3856,Magenta Candy (Event),2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,3000,224,0,0,2000,1,1,20,1,20,20,0,0,0,0,0,0,0,0,5259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3857,Cyan Candy (Event),2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,3000,225,0,0,2000,1,1,20,1,20,20,0,0,0,0,0,0,0,0,5260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3858,Red Lollipop (event),2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,3000,226,0,0,20000,1,1,20,1,20,20,0,0,0,0,0,0,0,0,5261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3859,Blue Lollipop (Event),2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,3000,227,0,0,20000,1,1,20,1,20,20,0,0,0,0,0,0,0,0,5262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3860,Red Heart (event),2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,3000,228,0,0,20000,1,1,20,1,20,20,0,0,0,0,0,0,0,0,5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3861,Blue Heart (event),2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,3000,229,0,0,20000,1,1,20,1,20,20,0,0,0,0,0,0,0,0,5264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3862,Honey-filled Rice Cake,2,0,12,0,12,21,1111-1111-1111-1111-1111-1111-1111-1111,3000,314,1,0,30000,1,1,30,1,1,1,0,0,0,0,0,0,0,0,5265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3863,Sesame-filled Rice Cake,2,0,12,0,12,21,1111-1111-1111-1111-1111-1111-1111-1111,3000,315,1,0,30000,1,1,30,1,1,1,0,0,0,0,0,0,0,0,5266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3864,Bean-filled Rice Cake,2,0,12,0,12,21,1111-1111-1111-1111-1111-1111-1111-1111,3000,316,1,0,30000,1,1,30,1,1,1,0,0,0,0,0,0,0,0,5267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3869,Magenta Candy,2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,3000,332,0,0,500,1,1,30,1,1,1,0,0,0,0,0,0,0,0,5274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3870,Cyan Candy,2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,3000,333,0,0,500,1,1,30,1,1,1,0,0,0,0,0,0,0,0,5275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3865,Rainbow Rice Cake,2,0,12,0,12,21,1111-1111-1111-1111-1111-1111-1111-1111,3000,317,1,0,10000,1,1,10,1,1,1,0,0,0,0,0,0,0,0,5268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3951,Hexagon Necklace,0,2,0,0,512,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3952,Pentagon Necklace,0,2,0,0,512,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3953,Moonlight Collier,0,2,0,0,512,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3954,Cosmos Collier,0,2,0,0,512,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3955,Pendant of Cure,0,2,0,0,512,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,600,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3956,Soul Libier,0,2,0,0,512,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,600,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3957,Saits Rosario,0,2,0,0,512,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,600,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3958,Vigorous Necklet,0,2,0,0,512,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,600,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3959,Scarlet Heart,0,2,3,0,515,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3960,Titon's Tear,0,2,3,0,515,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3961,Berserker's Ring,0,2,3,0,515,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,600,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3962,Sephiros' Eye,0,2,3,0,515,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,600,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4001,Return Scroll,0,3,0,0,768,40,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,50,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4002,Loa Castle Scroll,0,3,0,0,768,40,1111-1111-1111-1111-1111-1111-1111-1111,1500,7,1,0,50,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4003,Scroll 1,0,3,0,0,768,40,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,100,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4004,Scroll 2,0,3,0,0,768,40,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,100,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4005,Dust of Fairies,0,3,0,0,768,40,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4006,Morse Yalawai Return Scroll,0,3,5,0,773,40,1111-1111-1111-1111-1111-1111-1111-1111,1500,11181,0,0,500,1,1,10,1,1,1,0,0,0,0,0,0,0,0,5284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4007,The Qualines Return Scroll,0,3,5,0,774,40,1111-1111-1111-1111-1111-1111-1111-1111,1500,11183,0,0,500,1,1,10,1,1,1,0,0,0,0,0,0,0,0,5285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4010,[Warrior] Dolemai,4,7,0,0,1792,26,1111-1111-1111-1111-1111-1111-1111-1111,1700,50001,1,0,5000000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4011,[Magician] Chloe,4,7,0,0,1792,26,1111-1111-1111-1111-1111-1111-1111-1111,1700,50002,1,0,5000000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
