옵션레벨오,옵션 인덱스,타입,타입 설명,최소값,최대값
2024,171,DAMAGERATE_CURSE_ADD,커즈 공격력 % 증가,1,1
2024,172,SPEED_ATTACK_MUL,공격속도 증가,1,1
2025,173,DAMAGE_MINPHYSICAL_ADD,공격력 증가,17,24
2025,174,DAMAGE_MINMAGICAL_ADD,마법 공격력 증가,16,21
2025,175,DAMAGERATE_FIRE_ADD,파이어 공격력 % 증가,1,1
2025,176,DAMAGERATE_ICE_ADD,아이스 공격력 % 증가,1,1
2025,177,DAMAGERATE_LIGHTNING_ADD,라이트닝 공격력 % 증가,1,1
2025,178,DAMAGERATE_POISON_ADD,포이즌 공격력 % 증가,1,1
2025,179,DAMAGERATE_CURSE_ADD,커즈 공격력 % 증가,1,1
2025,180,SPEED_ATTACK_MUL,공격속도 증가,1,1
2026,181,DAMAGE_MINPHYSICAL_ADD,공격력 증가,24,27
2026,182,DAMAGE_MINMAGICAL_ADD,마법 공격력 증가,22,25
2026,183,DAMAGERATE_FIRE_ADD,파이어 공격력 % 증가,1,1
2026,184,DAMAGERATE_ICE_ADD,아이스 공격력 % 증가,1,1
2026,185,DAMAGERATE_LIGHTNING_ADD,라이트닝 공격력 % 증가,1,1
2026,186,DAMAGERATE_POISON_ADD,포이즌 공격력 % 증가,1,1
2026,187,DAMAGERATE_CURSE_ADD,커즈 공격력 % 증가,1,1
2026,188,SPEED_ATTACK_MUL,공격속도 증가,1,1
2027,189,DAMAGE_MINPHYSICAL_ADD,공격력 증가,28,30
2027,190,DAMAGE_MINMAGICAL_ADD,마법 공격력 증가,25,28
2027,191,DAMAGERATE_FIRE_ADD,파이어 공격력 % 증가,1,1
2027,192,DAMAGERATE_ICE_ADD,아이스 공격력 % 증가,1,1
2027,193,DAMAGERATE_LIGHTNING_ADD,라이트닝 공격력 % 증가,1,1
2027,194,DAMAGERATE_POISON_ADD,포이즌 공격력 % 증가,1,1
2027,195,DAMAGERATE_CURSE_ADD,커즈 공격력 % 증가,1,1
2027,196,SPEED_ATTACK_MUL,공격속도 증가,1,1
2028,197,DAMAGE_MINPHYSICAL_ADD,공격력 증가,30,32
2028,198,DAMAGE_MINMAGICAL_ADD,마법 공격력 증가,28,31
2028,199,DAMAGERATE_FIRE_ADD,파이어 공격력 % 증가,1,1
2028,200,DAMAGERATE_ICE_ADD,아이스 공격력 % 증가,1,1
2028,201,DAMAGERATE_LIGHTNING_ADD,라이트닝 공격력 % 증가,1,1
2028,202,DAMAGERATE_POISON_ADD,포이즌 공격력 % 증가,1,1
2028,203,DAMAGERATE_CURSE_ADD,커즈 공격력 % 증가,1,1
2028,204,SPEED_ATTACK_MUL,공격속도 증가,1,1
2029,205,DAMAGE_MINPHYSICAL_ADD,공격력 증가,32,35
2029,206,DAMAGE_MINMAGICAL_ADD,마법 공격력 증가,31,34
2029,207,DAMAGERATE_FIRE_ADD,파이어 공격력 % 증가,1,1
2029,208,DAMAGERATE_ICE_ADD,아이스 공격력 % 증가,1,1
2029,209,DAMAGERATE_LIGHTNING_ADD,라이트닝 공격력 % 증가,1,1
2029,210,DAMAGERATE_POISON_ADD,포이즌 공격력 % 증가,1,1
2029,211,DAMAGERATE_CURSE_ADD,커즈 공격력 % 증가,1,1
2029,212,SPEED_ATTACK_MUL,공격속도 증가,1,1
2030,213,DAMAGE_MINPHYSICAL_ADD,공격력 증가,35,37
2030,214,DAMAGE_MINMAGICAL_ADD,마법 공격력 증가,34,36
2030,215,DAMAGERATE_FIRE_ADD,파이어 공격력 % 증가,1,1
2030,216,DAMAGERATE_ICE_ADD,아이스 공격력 % 증가,1,1
2030,217,DAMAGERATE_LIGHTNING_ADD,라이트닝 공격력 % 증가,1,1
2030,218,DAMAGERATE_POISON_ADD,포이즌 공격력 % 증가,1,1
2030,219,DAMAGERATE_CURSE_ADD,커즈 공격력 % 증가,1,1
2030,220,SPEED_ATTACK_MUL,공격속도 증가,1,1
2031,221,DAMAGE_MINPHYSICAL_ADD,공격력 증가,37,39
2031,222,DAMAGE_MINMAGICAL_ADD,마법 공격력 증가,37,39
2031,223,DAMAGERATE_FIRE_ADD,파이어 공격력 % 증가,1,1
2031,224,DAMAGERATE_ICE_ADD,아이스 공격력 % 증가,1,1
2031,225,DAMAGERATE_LIGHTNING_ADD,라이트닝 공격력 % 증가,1,1
2031,226,DAMAGERATE_POISON_ADD,포이즌 공격력 % 증가,1,1
2031,227,DAMAGERATE_CURSE_ADD,커즈 공격력 % 증가,1,1
2031,228,SPEED_ATTACK_MUL,공격속도 증가,1,1
2032,229,DEFENSE_MIN_ADD,방어력 증가,1,4
2032,230,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2032,231,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2032,232,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2032,233,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2032,234,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2033,235,DEFENSE_MIN_ADD,방어력 증가,4,9
2033,236,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2033,237,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2033,238,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2033,239,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2033,240,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2034,241,DEFENSE_MIN_ADD,방어력 증가,10,14
2034,242,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2034,243,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2034,244,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2034,245,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2034,246,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2035,247,DEFENSE_MIN_ADD,방어력 증가,14,19
2035,248,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2035,249,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2035,250,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2035,251,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2035,252,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2036,253,DEFENSE_MIN_ADD,방어력 증가,19,24
2036,254,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2036,255,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2036,256,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2036,257,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2036,258,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2037,259,DEFENSE_MIN_ADD,방어력 증가,25,31
2037,260,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2037,261,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2037,262,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2037,263,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2037,264,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2038,265,DEFENSE_MIN_ADD,방어력 증가,32,35
2038,266,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2038,267,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2038,268,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2038,269,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2038,270,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2039,271,DEFENSE_MIN_ADD,방어력 증가,35,37
2039,272,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2039,273,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2039,274,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2039,275,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2039,276,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2040,277,DEFENSE_MIN_ADD,방어력 증가,38,40
2040,278,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2040,279,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2040,280,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2040,281,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2040,282,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2041,283,DEFENSE_MIN_ADD,방어력 증가,40,42
2041,284,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2041,285,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2041,286,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2041,287,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2041,288,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2042,289,HP_MAX_ADD,최대 HP 증가,9,65
2042,290,HP_RECOVERY_ADD,HP 회복속도 증가,1,1
2042,291,MP_MAX_ADD,최대 MP 증가,4,29
2042,292,MP_RECOVERY_ADD,MP 회복속도 증가,1,1
2043,293,HP_MAX_ADD,최대 HP 증가,69,126
2043,294,HP_RECOVERY_ADD,HP 회복속도 증가,1,1
2043,295,MP_MAX_ADD,최대 MP 증가,30,55
2043,296,MP_RECOVERY_ADD,MP 회복속도 증가,1,1
2044,297,HP_MAX_ADD,최대 HP 증가,130,186
2044,298,HP_RECOVERY_ADD,HP 회복속도 증가,1,1
2044,299,MP_MAX_ADD,최대 MP 증가,57,82
2044,300,MP_RECOVERY_ADD,MP 회복속도 증가,1,1
2045,301,HP_MAX_ADD,최대 HP 증가,190,246
2045,302,HP_RECOVERY_ADD,HP 회복속도 증가,1,1
2045,303,MP_MAX_ADD,최대 MP 증가,84,108
2045,304,MP_RECOVERY_ADD,MP 회복속도 증가,1,1
2046,305,HP_MAX_ADD,최대 HP 증가,250,307
2046,306,HP_RECOVERY_ADD,HP 회복속도 증가,1,1
2046,307,MP_MAX_ADD,최대 MP 증가,110,135
2046,308,MP_RECOVERY_ADD,MP 회복속도 증가,1,1
2047,309,HP_MAX_ADD,최대 HP 증가,311,367
2047,310,HP_RECOVERY_ADD,HP 회복속도 증가,1,1
2047,311,MP_MAX_ADD,최대 MP 증가,137,161
2047,312,MP_RECOVERY_ADD,MP 회복속도 증가,1,1
2048,313,HP_MAX_ADD,최대 HP 증가,371,427
2048,314,HP_RECOVERY_ADD,HP 회복속도 증가,1,1
2048,315,MP_MAX_ADD,최대 MP 증가,163,188
2048,316,MP_RECOVERY_ADD,MP 회복속도 증가,1,1
2049,317,HP_MAX_ADD,최대 HP 증가,431,488
2049,318,HP_RECOVERY_ADD,HP 회복속도 증가,1,1
2049,319,MP_MAX_ADD,최대 MP 증가,190,214
2049,320,MP_RECOVERY_ADD,MP 회복속도 증가,1,1
2050,321,HP_MAX_ADD,최대 HP 증가,492,548
2050,322,HP_RECOVERY_ADD,HP 회복속도 증가,1,1
2050,323,MP_MAX_ADD,최대 MP 증가,216,241
2050,324,MP_RECOVERY_ADD,MP 회복속도 증가,1,1
2051,325,HP_MAX_ADD,최대 HP 증가,552,609
2051,326,HP_RECOVERY_ADD,HP 회복속도 증가,1,1
2051,327,MP_MAX_ADD,최대 MP 증가,243,267
2051,328,MP_RECOVERY_ADD,MP 회복속도 증가,1,1
2052,329,DAMAGE_MINPHYSICAL_ADD,공격력 증가,2,11
2052,330,DAMAGE_MINPHYSICAL_ADD,공격력 증가,2,11
2052,331,DAMAGE_MINPHYSICAL_ADD,공격력 증가,2,11
2052,332,DAMAGE_MINPHYSICAL_ADD,공격력 증가,2,11
2052,333,DAMAGE_MINPHYSICAL_ADD,공격력 증가,2,11
2052,334,DAMAGE_MINPHYSICAL_ADD,공격력 증가,2,11
2052,335,DAMAGE_MINPHYSICAL_ADD,공격력 증가,2,11
2052,336,SPEED_ATTACK_MUL,공격속도 증가,1,1
2052,337,RATING_CRITICAL_ADD,크리티컬 성공률 증가,1,1
2052,338,RATING_BLOCKING_ADD,블록킹 성공률 증가,1,1
2053,339,DAMAGE_MINPHYSICAL_ADD,공격력 증가,11,25
2053,340,DAMAGE_MINPHYSICAL_ADD,공격력 증가,11,25
2053,341,DAMAGE_MINPHYSICAL_ADD,공격력 증가,11,25
2053,342,DAMAGE_MINPHYSICAL_ADD,공격력 증가,11,25
2053,343,DAMAGE_MINPHYSICAL_ADD,공격력 증가,11,25
2053,344,DAMAGE_MINPHYSICAL_ADD,공격력 증가,11,25
2053,345,DAMAGE_MINPHYSICAL_ADD,공격력 증가,11,25
2053,346,SPEED_ATTACK_MUL,공격속도 증가,1,1
2053,347,RATING_CRITICAL_ADD,크리티컬 성공률 증가,1,1
2053,348,RATING_BLOCKING_ADD,블록킹 성공률 증가,1,1
2054,349,DAMAGE_MINPHYSICAL_ADD,공격력 증가,25,35
2054,350,DAMAGE_MINPHYSICAL_ADD,공격력 증가,25,35
2054,351,DAMAGE_MINPHYSICAL_ADD,공격력 증가,25,35
2054,352,DAMAGE_MINPHYSICAL_ADD,공격력 증가,25,35
2054,353,DAMAGE_MINPHYSICAL_ADD,공격력 증가,25,35
2054,354,DAMAGE_MINPHYSICAL_ADD,공격력 증가,25,35
2054,355,DAMAGE_MINPHYSICAL_ADD,공격력 증가,25,35
2054,356,SPEED_ATTACK_MUL,공격속도 증가,1,1
2054,357,RATING_CRITICAL_ADD,크리티컬 성공률 증가,1,1
2054,358,RATING_BLOCKING_ADD,블록킹 성공률 증가,1,1
2055,359,DAMAGE_MINPHYSICAL_ADD,공격력 증가,36,49
2055,360,DAMAGE_MINPHYSICAL_ADD,공격력 증가,36,49
2055,361,DAMAGE_MINPHYSICAL_ADD,공격력 증가,36,49
2055,362,DAMAGE_MINPHYSICAL_ADD,공격력 증가,36,49
2055,363,DAMAGE_MINPHYSICAL_ADD,공격력 증가,36,49
2055,364,DAMAGE_MINPHYSICAL_ADD,공격력 증가,36,49
2055,365,DAMAGE_MINPHYSICAL_ADD,공격력 증가,36,49
2055,366,SPEED_ATTACK_MUL,공격속도 증가,1,1
2055,367,RATING_CRITICAL_ADD,크리티컬 성공률 증가,1,1
2055,368,RATING_BLOCKING_ADD,블록킹 성공률 증가,1,1
2056,369,DAMAGE_MINPHYSICAL_ADD,공격력 증가,49,57
2056,370,DAMAGE_MINPHYSICAL_ADD,공격력 증가,49,57
2056,371,DAMAGE_MINPHYSICAL_ADD,공격력 증가,49,57
2056,372,DAMAGE_MINPHYSICAL_ADD,공격력 증가,49,57
2056,373,DAMAGE_MINPHYSICAL_ADD,공격력 증가,49,57
2056,374,DAMAGE_MINPHYSICAL_ADD,공격력 증가,49,57
2056,375,DAMAGE_MINPHYSICAL_ADD,공격력 증가,49,57
2056,376,SPEED_ATTACK_MUL,공격속도 증가,1,1
2056,377,RATING_CRITICAL_ADD,크리티컬 성공률 증가,1,1
2056,378,RATING_BLOCKING_ADD,블록킹 성공률 증가,1,1
2057,379,DAMAGE_MINPHYSICAL_ADD,공격력 증가,57,62
2057,380,DAMAGE_MINPHYSICAL_ADD,공격력 증가,57,62
2057,381,DAMAGE_MINPHYSICAL_ADD,공격력 증가,57,62
2057,382,DAMAGE_MINPHYSICAL_ADD,공격력 증가,57,62
2057,383,DAMAGE_MINPHYSICAL_ADD,공격력 증가,57,62
2057,384,DAMAGE_MINPHYSICAL_ADD,공격력 증가,57,62
2057,385,DAMAGE_MINPHYSICAL_ADD,공격력 증가,57,62
2057,386,SPEED_ATTACK_MUL,공격속도 증가,1,1
2057,387,RATING_CRITICAL_ADD,크리티컬 성공률 증가,1,1
2057,388,RATING_BLOCKING_ADD,블록킹 성공률 증가,1,1
