옵션레벨,옵션 인덱스,타입,타입 설명,최소값,최대
1041,30810,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1041,30811,DAMAGERATE_CRITICAL_ADD,Critical Power +%,1,2
1042,30821,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1042,30822,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1042,30823,RATING_BLOCKING_ADD,Chance to Block +%,1,1
1042,30824,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1042,30825,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1042,30826,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1042,30827,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1042,30828,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1042,30829,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1042,30830,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1042,30831,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,3,4
1043,30841,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1043,30842,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1043,30843,RATING_BLOCKING_ADD,Chance to Block +%,1,1
1043,30844,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1043,30845,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1043,30846,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1043,30847,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1043,30848,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1043,30849,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1043,30850,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1043,30851,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,5,6
1044,30861,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1044,30862,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1044,30863,RATING_BLOCKING_ADD,Blocking Rate +%,1,1
1044,30864,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1044,30865,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1044,30866,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1044,30867,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1044,30868,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1044,30869,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1044,30870,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1044,30871,DAMAGERATE_CRITICAL_ADD,Critical Power +%,6,7
1081,31601,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1081,31602,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1081,31603,RATING_BLOCKING_ADD,Chance to Block +%,1,1
1081,31604,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1081,31605,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1081,31606,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1081,31607,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1081,31608,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1081,31609,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1081,31610,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1081,31611,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,1,2
1082,31621,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1082,31622,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1082,31623,RATING_BLOCKING_ADD,Chance to Block +%,1,1
1082,31624,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1082,31625,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1082,31626,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1082,31627,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1082,31628,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1082,31629,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1082,31630,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1082,31631,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,3,4
1083,31641,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1083,31642,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1083,31643,RATING_BLOCKING_ADD,Chance to Block +%,1,1
1083,31644,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1083,31645,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1083,31646,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1083,31647,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1083,31648,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1083,31649,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1083,31650,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1083,31651,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,5,6
1084,31661,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1084,31662,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1084,31663,RATING_BLOCKING_ADD,Blocking Rate +%,1,1
1084,31664,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1084,31665,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1084,31666,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1084,31667,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1084,31668,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1084,31669,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1084,31670,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1084,31671,DAMAGERATE_CRITICAL_ADD,Critical Power +%,6,7
1121,32401,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1121,32402,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1121,32403,RATING_BLOCKING_ADD,Chance to Block +%,1,1
1121,32404,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1121,32405,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1121,32406,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1121,32407,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1121,32408,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1121,32409,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1121,32410,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1121,32411,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,1,3
1122,32421,SPEED_ATTACK_MUL,Attack Speed +%,1,2
1122,32422,RATING_CRITICAL_ADD,Critical Rate +%,1,2
1122,32423,RATING_BLOCKING_ADD,Chance to Block +%,1,2
1122,32424,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1122,32425,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1122,32426,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1122,32427,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1122,32428,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1122,32429,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1122,32430,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1122,32431,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,4,6
1123,32441,SPEED_ATTACK_MUL,Attack Speed +%,2,2
1123,32442,RATING_CRITICAL_ADD,Critical Rate +%,2,2
1123,32443,RATING_BLOCKING_ADD,Chance to Block +%,2,2
1123,32444,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1123,32445,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1123,32446,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1123,32447,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1123,32448,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1123,32449,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1123,32450,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1123,32451,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,7,9
1124,32461,SPEED_ATTACK_MUL,Attack Speed +%,2,2
1124,32462,RATING_CRITICAL_ADD,Critical Rate +%,2,2
1124,32463,RATING_BLOCKING_ADD,Blocking Rate +%,2,2
1124,32464,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1124,32465,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1124,32466,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1124,32467,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1124,32468,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1124,32469,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1124,32470,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1124,32471,DAMAGERATE_CRITICAL_ADD,Critical Power +%,8,10
1161,33201,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1161,33202,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1161,33203,RATING_BLOCKING_ADD,Chance to Block +%,1,1
1161,33204,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1161,33205,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1161,33206,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1161,33207,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1161,33208,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1161,33209,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1161,33210,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1161,33211,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,1,2
1162,33221,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1162,33222,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1162,33223,RATING_BLOCKING_ADD,Chance to Block +%,1,1
1162,33224,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1162,33225,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1162,33226,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1162,33227,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1162,33228,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1162,33229,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1162,33230,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1162,33231,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,3,4
1163,33241,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1163,33242,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1163,33243,RATING_BLOCKING_ADD,Chance to Block +%,1,1
1163,33244,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1163,33245,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1163,33246,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1163,33247,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1163,33248,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1163,33249,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1163,33250,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1163,33251,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,5,6
1164,33261,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1164,33262,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1164,33263,RATING_BLOCKING_ADD,Blocking Rate +%,1,1
1164,33264,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1164,33265,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1164,33266,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1164,33267,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1164,33268,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1164,33269,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1164,33270,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1164,33271,DAMAGERATE_CRITICAL_ADD,Critical Power +%,6,7
1201,34001,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1201,34002,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1201,34003,RATING_BLOCKING_ADD,Chance to Block +%,1,1
1201,34004,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1201,34005,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1201,34006,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1201,34007,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1201,34008,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1201,34009,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1201,34010,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1201,34011,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,1,3
1202,34021,SPEED_ATTACK_MUL,Attack Speed +%,1,2
1202,34022,RATING_CRITICAL_ADD,Critical Rate +%,1,2
1202,34023,RATING_BLOCKING_ADD,Chance to Block +%,1,2
1202,34024,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1202,34025,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1202,34026,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1202,34027,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1202,34028,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1202,34029,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1202,34030,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1202,34031,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,4,6
1203,34041,SPEED_ATTACK_MUL,Attack Speed +%,2,2
1203,34042,RATING_CRITICAL_ADD,Critical Rate +%,2,2
1203,34043,RATING_BLOCKING_ADD,Chance to Block +%,2,2
1203,34044,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1203,34045,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1203,34046,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1203,34047,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1203,34048,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1203,34049,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1203,34050,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1203,34051,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,7,9
1204,34061,SPEED_ATTACK_MUL,Attack Speed +%,2,2
1204,34062,RATING_CRITICAL_ADD,Critical Rate +%,2,2
1204,34063,RATING_BLOCKING_ADD,Blocking Rate +%,2,2
1204,34064,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1204,34065,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1204,34066,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1204,34067,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1204,34068,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1204,34069,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1204,34070,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1204,34071,DAMAGERATE_CRITICAL_ADD,Critical Power +%,8,10
1241,34801,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1241,34802,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1241,34803,RATING_BLOCKING_ADD,Chance to Block +%,1,1
1241,34804,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1241,34805,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1241,34806,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1241,34807,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1241,34808,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1241,34809,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1241,34810,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1241,34811,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,1,2
1242,34821,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1242,34822,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1242,34823,RATING_BLOCKING_ADD,Chance to Block +%,1,1
1242,34824,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1242,34825,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1242,34826,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1242,34827,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1242,34828,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1242,34829,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1242,34830,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,57
1242,34831,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,3,4
1243,34841,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1243,34842,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1243,34843,RATING_BLOCKING_ADD,Chance to Block +%,1,1
1243,34844,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1243,34845,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1243,34846,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1243,34847,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1243,34848,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1243,34849,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1243,34850,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,57,62
1243,34851,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,5,6
1244,34861,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1244,34862,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1244,34863,RATING_BLOCKING_ADD,Blocking Rate +%,1,1
1244,34864,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1244,34865,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1244,34866,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1244,34867,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1244,34868,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1244,34869,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1244,34870,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,72
1244,34871,DAMAGERATE_CRITICAL_ADD,Critical Power +%,6,7
1281,35601,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1281,35602,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1281,35603,RATING_BLOCKING_ADD,Chance to Block +%,1,1
1281,35604,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1281,35605,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1281,35606,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1281,35607,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1281,35608,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1281,35609,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1281,35610,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,36,49
1281,35611,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,1,3
1282,35621,SPEED_ATTACK_MUL,Attack Speed +%,1,2
1282,35622,RATING_CRITICAL_ADD,Critical Rate +%,1,2
1282,35623,RATING_BLOCKING_ADD,Chance to Block +%,1,2
1282,35624,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1282,35625,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1282,35626,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1282,35627,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1282,35628,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1282,35629,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1282,35630,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,49,62
1282,35631,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,4,6
1283,35641,SPEED_ATTACK_MUL,Attack Speed +%,2,2
1283,35642,RATING_CRITICAL_ADD,Critical Rate +%,2,2
1283,35643,RATING_BLOCKING_ADD,Chance to Block +%,2,2
1283,35644,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1283,35645,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1283,35646,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1283,35647,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1283,35648,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1283,35649,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1283,35650,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,62,67
1283,35651,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,7,9
1284,35661,SPEED_ATTACK_MUL,Attack Speed +%,2,2
1284,35662,RATING_CRITICAL_ADD,Critical Rate +%,2,2
1284,35663,RATING_BLOCKING_ADD,Blocking Rate +%,2,2
1284,35664,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1284,35665,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1284,35666,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1284,35667,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1284,35668,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1284,35669,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1284,35670,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,67,77
1284,35671,DAMAGERATE_CRITICAL_ADD,Critical Power +%,8,10
1321,36401,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1321,36402,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,30,42
1321,36403,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,30,42
1321,36404,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,30,42
1321,36405,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,30,42
1321,36406,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,1,3
1321,36407,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,1,3
1322,36421,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1322,36422,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,43,59
1322,36423,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,43,59
1322,36424,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,43,59
1322,36425,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,43,59
1322,36426,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,4,6
1322,36427,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,4,6
1323,36441,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1323,36442,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,60,64
1323,36443,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,60,64
1323,36444,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,60,64
1323,36445,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,60,64
1323,36446,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,7,9
1323,36447,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,7,9
1324,36461,RATING_CRITICAL_ADD,Critical Rate +%,1,2
1324,36462,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,64,74
1324,36463,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,64,74
1324,36464,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,64,74
1324,36465,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,64,74
1324,36466,DAMAGERATE_CRITICAL_ADD,Critical Power +%,8,10
1324,36467,DAMAGERATE_CRITICAL_ADD,Critical Power +%,8,10
1361,37201,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1361,37202,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,30,42
1361,37203,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,30,42
1361,37204,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,30,42
1361,37205,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,30,42
1361,37206,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,30,42
1361,37207,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,30,42
1362,37221,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1362,37222,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,43,59
1362,37223,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,43,59
1362,37224,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,43,59
