Item Index,Name,Rank,Type,Code,Attribute,Description,Quality,Job,Appraisal,Value,Weight,ReqLv,Price,Width,Height,StackNumber,AutoStack,StackDrop_Min,StackDrop_Max,Has_Durability,Can_Repair,Durability_Low,Durability_Normal,Durability_High,DropRate_LowQuality,DropRate_NormalQuality,DropRate_HighQuality,No Data,Wear : Range,Wear : Speed,Wear : CriticalRate,Wear : Drop LV,Wear : Drop Option Number,Wear : Drop Socket 1EA Rate,Wear : Drop Socket 2EA Rate,Wear : Drop Socket 3EA Rate,Wear : Drop Socket 4EA Rate,Wear : Small Monster Attack Addition,Wear : Middle Monster Attack Addition,Wear : Large Monster Attack Addition,Wear : Boss Monster Attack Addition,Wear : Undead Monster Attack Addition,Option Index 1,Option Value 1,Option Index 2,Option Value 2,Option Index 3,Option Value 3,Option Index 4,Option Value 4,Option Index 5,Option Value 5,Option Index 6,Option Value 6,MinOption1,MaxOption1,MinOption2,MaxOption2,MinOption3,MaxOption3,Level 0 Item LV,Level 0 Melee Min Attack,Level 0 Melee Max Attack,Level 0 Magic Min Attack,Level 0 Magic Max Attack,Level 0 Defance Min,Level 0 Defance Max,Level 0 Blocking Rate,Level 0 Critical Bonus,Level 0 Str Request,Level 0 Dex Request,Level 0 Spr Request,Level 0 Appraisal Addition,BeforeLevelIndex,NextLevelIndex,DwCashItemCost,CashItemUsePeriod,CashItemSell,AddExpRate,AddDropItemRate,EventType,PeriodBreak,Belong,NextShape
60011,Soul of Alchemist 10,4,1,2,0,258,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,10,0,1,1,0,0,0,0,0,0,0,0,5240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,1,0,0,0,1,0,0
60012,Blacksmith's Talisman 5,4,1,1,0,257,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,5,0,1,1,0,0,0,0,0,0,0,0,5241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,1,0,0,0,1,0,0
60013,Blacksmith's Talisman 10,4,1,1,0,257,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,10,0,1,1,0,0,0,0,0,0,0,0,5242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,1,0,0,0,1,0,0
60014,Veteran's Amulet 30,4,6,0,0,1536,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030,2592000,1,0.2,0,0,1,0,0
60015,Veteran's Amulet 60,4,6,0,0,1536,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,5184000,1,0.2,0,0,1,0,0
60016,Veteran's Amulet 90,4,6,0,0,1536,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,7776000,1,0.2,0,0,1,0,0
60017,Master's Mistake,4,0,10,0,10,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,5,0,1,1,0,0,0,0,0,0,0,0,5246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11400,0,1,0,0,0,1,0,0
60018,Master's Mistake,4,0,10,0,10,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,10,0,1,1,0,0,0,0,0,0,0,0,5247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15800,0,0,0,0,0,1,0,0
60019,Magic Health A Pack,4,0,1,0,1,37,1111-1111-1111-1111-1111-1111-1111-1111,1800,480,0,0,0,1,1,300,0,1,1,0,0,0,0,0,0,0,0,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,0,1,0,0
60020,Magic Health B Pack,4,0,1,0,1,37,1111-1111-1111-1111-1111-1111-1111-1111,1800,480,0,0,0,1,1,1000,0,1,1,0,0,0,0,0,0,0,0,5249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1,0,0,0,1,0,0
60021,Magic Mana A Pack,4,0,2,0,2,37,1111-1111-1111-1111-1111-1111-1111-1111,1800,480,0,0,0,1,1,300,0,1,1,0,0,0,0,0,0,0,0,5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,0,1,0,0
60022,Magic Mana B Pack,4,0,2,0,2,37,1111-1111-1111-1111-1111-1111-1111-1111,1800,480,0,0,0,1,1,1000,0,1,1,0,0,0,0,0,0,0,0,5251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1,0,0,0,1,0,0
60023,Noble Health A Pack,4,0,1,0,1,38,1111-1111-1111-1111-1111-1111-1111-1111,2000,820,0,0,0,1,1,300,0,1,1,0,0,0,0,0,0,0,0,5252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,1,0,0,0,1,0,0
60024,Noble Health B Pack,4,0,1,0,1,38,1111-1111-1111-1111-1111-1111-1111-1111,2000,820,0,0,0,1,1,1000,0,1,1,0,0,0,0,0,0,0,0,5253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1,0,0,0,1,0,0
60025,Noble Mana A Pack,4,0,2,0,2,38,1111-1111-1111-1111-1111-1111-1111-1111,2000,820,0,0,0,1,1,300,0,1,1,0,0,0,0,0,0,0,0,5254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,1,0,0,0,1,0,0
60026,Noble Mana B Pack,4,0,2,0,2,38,1111-1111-1111-1111-1111-1111-1111-1111,2000,820,0,0,0,1,1,1000,0,1,1,0,0,0,0,0,0,0,0,5255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1,0,0,0,1,0,0
60027,Divine Health B Pack,4,0,1,0,1,38,1111-1111-1111-1111-1111-1111-1111-1111,3200,1600,0,0,0,1,1,1000,0,1,1,0,0,0,0,0,0,0,0,5256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,1,0,0,0,1,0,0
60028,Divine Health C Pack,4,0,1,0,1,38,1111-1111-1111-1111-1111-1111-1111-1111,3200,1600,0,0,0,1,1,5000,0,1,1,0,0,0,0,0,0,0,0,5257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,1,0,0,0,1,0,0
60029,Divine Mana B Pack,4,0,2,0,2,38,1111-1111-1111-1111-1111-1111-1111-1111,3200,1600,0,0,0,1,1,1000,0,1,1,0,0,0,0,0,0,0,0,5258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,1,0,0,0,1,0,0
60030,Divine Mana C Pack,4,0,2,0,2,38,1111-1111-1111-1111-1111-1111-1111-1111,3200,1600,0,0,0,1,1,5000,0,1,1,0,0,0,0,0,0,0,0,5259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,1,0,0,0,1,0,0
60031,Magic Health C Pack,4,0,1,0,1,37,1111-1111-1111-1111-1111-1111-1111-1111,1800,480,0,0,0,1,1,5000,0,1,1,0,0,0,0,0,0,0,0,5260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,1,0,0,0,1,0,0
60032,Magic Mana C Pack,4,0,2,0,2,37,1111-1111-1111-1111-1111-1111-1111-1111,1800,480,0,0,0,1,1,5000,0,1,1,0,0,0,0,0,0,0,0,5261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,1,0,0,0,1,0,0
60033,Noble Health C Pack,4,0,1,0,1,38,1111-1111-1111-1111-1111-1111-1111-1111,2000,820,0,0,0,1,1,5000,0,1,1,0,0,0,0,0,0,0,0,5262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,1,0,0,0,1,0,0
60034,Noble Mana C Pack,4,0,2,0,2,38,1111-1111-1111-1111-1111-1111-1111-1111,2000,820,0,0,0,1,1,5000,0,1,1,0,0,0,0,0,0,0,0,5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,1,0,0,0,1,0,0
60035,Portal Scroll 10,4,3,4,0,772,40,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,10,0,1,1,0,0,0,0,0,0,0,0,5264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1,0,0,0,1,0,0
60036,Merchant's Trick,4,6,2,0,1538,38,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100000,0,0,0,0,1,0,0
60037,Event of Celebration - Blessing,4,0,13,0,13,29,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,5,0,1,1,0,0,0,0,0,0,0,0,5266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,2,1,0,0
60038,Event of Celebration - Welcome,4,0,14,0,14,29,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,5,0,1,1,0,0,0,0,0,0,0,0,5267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,3,1,0,0
60039,Traveler's Backpack,4,0,15,0,15,33,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530,0,1,0,0,0,1,0,0
60040,Guild of Glory - Purple Star,4,0,16,0,16,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,1,0,0,1100,1,0,0
60041,Portal Scroll 50,4,3,4,0,772,40,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,50,0,1,1,0,0,0,0,0,0,0,0,5270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,1,0,0,0,1,0,0
60042,Portal Scroll 100,4,3,4,0,772,40,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,100,0,1,1,0,0,0,0,0,0,0,0,5271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,0,1,0,0,0,1,0,0
60043,Event of Celebration - Blessing,4,0,13,0,13,29,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,10,0,1,1,0,0,0,0,0,0,0,0,5272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,2,1,0,0
60044,Event of Celebration - Welcome,4,0,14,0,14,29,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,10,0,1,1,0,0,0,0,0,0,0,0,5273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,3,1,0,0
60045,Guild of Glory  - Cancellation,4,0,16,0,16,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
60047,Guild of Glory - Snake,4,0,16,0,16,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,1,0,0,1101,1,0,0
60048,Guild of Glory - Kamit,4,0,16,0,16,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,1,0,0,1102,1,0,0
60049,Guild of Glory D,4,0,16,0,16,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,1103,1,0,0
60050,Guild of Glory - Orion,4,0,16,0,16,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,1,0,0,1104,1,0,0
60051,Guild of Glory F,4,0,16,0,16,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,1105,1,0,0
60052,Guild of Glory - Bain,4,0,16,0,16,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,1,0,0,1106,1,0,0
60053,Guild of Glory H,4,0,16,0,16,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,1107,1,0,0
60054,Guild of Glory - Square,4,0,16,0,16,35,1111-1111-1111-1111-1111-1111-1111-1111,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,1,0,0,1108,1,0,0
60055,Super Magic Health A Pack,4,0,17,0,17,37,1111-1111-1111-1111-1111-1111-1111-1111,1800,480,0,0,0,1,1,300,0,1,1,0,0,0,0,0,0,0,0,5283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,0,0,0,1,0,0
60056,Super Magic Health B Pack,4,0,17,0,17,37,1111-1111-1111-1111-1111-1111-1111-1111,1800,480,0,0,0,1,1,1000,0,1,1,0,0,0,0,0,0,0,0,5284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1,0,0,0,1,0,0
60057,Super Magic Mana A Pack,4,0,18,0,18,37,1111-1111-1111-1111-1111-1111-1111-1111,1800,480,0,0,0,1,1,300,0,1,1,0,0,0,0,0,0,0,0,5285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,0,0,0,1,0,0
60058,Super Magic Mana B Pack,4,0,18,0,18,37,1111-1111-1111-1111-1111-1111-1111-1111,1800,480,0,0,0,1,1,1000,0,1,1,0,0,0,0,0,0,0,0,5286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1,0,0,0,1,0,0
60059,Super Noble Health A Pack,4,0,17,0,17,38,1111-1111-1111-1111-1111-1111-1111-1111,2000,820,0,0,0,1,1,300,0,1,1,0,0,0,0,0,0,0,0,5287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,1,0,0,0,1,0,0
60060,Super Noble Health B Pack,4,0,17,0,17,38,1111-1111-1111-1111-1111-1111-1111-1111,2000,820,0,0,0,1,1,1000,0,1,1,0,0,0,0,0,0,0,0,5288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,1,0,0,0,1,0,0
60061,Super Noble Mana A Pack,4,0,18,0,18,38,1111-1111-1111-1111-1111-1111-1111-1111,2000,820,0,0,0,1,1,300,0,1,1,0,0,0,0,0,0,0,0,5289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,1,0,0,0,1,0,0
60062,Super Noble Mana B Pack,4,0,18,0,18,38,1111-1111-1111-1111-1111-1111-1111-1111,2000,820,0,0,0,1,1,1000,0,1,1,0,0,0,0,0,0,0,0,5290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,1,0,0,0,1,0,0
