ITEM_LEVEL,NORMAL,NORMAL_Rate,MAGIC,MAGIC_Rate,NOBLE,NOBLE_Rate,DIVIN,DIVIN_Rate,Deka_Rate,SocketStone_Rate
115,970000,28,2430000,22,4040000,20,6460000,20,18,5
116,1010000,28,2510000,22,4180000,20,6680000,20,18,5
117,1040000,28,2590000,22,4320000,20,6900000,20,18,5
118,1070000,27,2680000,22,4460000,20,7130000,20,18,5
119,1110000,27,2770000,22,4610000,20,7370000,20,18,5
120,1150000,27,2860000,22,4760000,20,7610000,20,18,5
121,1180000,27,2950000,21,4920000,20,7860000,20,18,5
122,1220000,27,3050000,21,5070000,20,8110000,20,18,5
123,1260000,27,3140000,21,5240000,20,8380000,20,18,5
124,1300000,27,3240000,21,5400000,20,8640000,20,18,5
125,1340000,27,3350000,21,5580000,20,8920000,20,18,5
126,1380000,27,3450000,21,5750000,20,9200000,20,18,5
127,1430000,27,3560000,21,5930000,20,9480000,20,18,5
128,1470000,27,3670000,21,6110000,20,9770000,20,18,5
129,1520000,26,3780000,21,6300000,20,10070000,20,18,5
130,1560000,26,3900000,20,6490000,20,10380000,20,18,5
131,1610000,26,4010000,20,6680000,20,10690000,20,18,5
132,1660000,26,4130000,20,6880000,20,11010000,20,18,5
133,1710000,26,4260000,20,7090000,20,11340000,20,18,5
134,1760000,26,4380000,20,7300000,20,11670000,20,18,5
135,1810000,26,4510000,20,7510000,20,12020000,20,18,5
136,1860000,26,4640000,20,7730000,20,12360000,20,18,5
137,1910000,26,4770000,20,7950000,20,12720000,20,18,5
138,1970000,25,4910000,20,8180000,20,13090000,20,18,5
139,2020000,25,5050000,20,8410000,20,13460000,20,18,5
140,2080000,25,5190000,20,8650000,20,13840000,20,18,5
141,2140000,25,5340000,20,8890000,20,14230000,20,18,5
142,2200000,25,5490000,20,9140000,20,14630000,20,18,5
143,2260000,25,5640000,20,9390000,20,15020000,20,18,5
144,2320000,25,5790000,20,9650000,20,15440000,20,18,5
145,2380000,25,5950000,20,9920000,20,15870000,20,18,5
146,2450000,25,6110000,20,10190000,20,16290000,20,18,5
147,2510000,25,6280000,20,10460000,20,16730000,20,18,5
148,2580000,25,6450000,20,10740000,20,17180000,20,18,5
149,2650000,25,6620000,20,11020000,20,17640000,20,18,5
150,2720000,25,6790000,20,11320000,20,18100000,20,18,5
151,2790000,25,6960000,20,11592000,20,18560000,20,18,5
152,2860000,25,7130000,20,11874000,20,19020000,20,18,5
153,2930000,25,7300000,20,12156000,20,19480000,20,18,5
154,3000000,25,7470000,20,12438000,20,19940000,20,18,5
155,3070000,25,7640000,20,12720000,20,20400000,20,18,5
156,3140000,25,7810000,20,13002000,20,20860000,20,18,5
157,3210000,25,7980000,20,13284000,20,21320000,20,18,5
158,3280000,25,8150000,20,13566000,20,21780000,20,18,5
159,3350000,25,8320000,20,13848000,20,22240000,20,18,5
160,3420000,25,8490000,20,14130000,20,22700000,20,18,5
