ITEM_LEVEL,NORMAL_DIL,NORMAL_Rate,MAGIC_DIL,MAGIC_Rate,NOBLE_DIL,NOBLE_Rate,DIVIN_DIL,DIVIN_Rate,Deka_Rate,SocketStone_Rate,Agate_Rate
134,1408000,15,3504000,15,5840000,15,9336000,15,70,3,6
135,1448000,15,3608000,15,6008000,15,9616000,15,70,3,6
136,1488000,15,3712000,15,6184000,15,9888000,15,70,3,6
137,1528000,15,3816000,15,6360000,15,10176000,15,70,3,6
138,1576000,15,3928000,15,6544000,15,10472000,15,70,3,6
139,1616000,15,4040000,15,6728000,15,10768000,15,70,3,6
140,1664000,15,4152000,15,6920000,15,11072000,15,70,3,6
141,1712000,15,4272000,15,7112000,15,11384000,15,70,3,6
142,1760000,15,4392000,15,7312000,15,11704000,15,70,3,6
143,1808000,15,4512000,15,7512000,15,12016000,15,70,3,6
144,1856000,15,4632000,15,7720000,15,12352000,15,70,3,6
145,1904000,15,4760000,15,7936000,15,12696000,15,70,3,6
146,1960000,15,4888000,15,8152000,15,13032000,15,70,3,6
147,2008000,15,5024000,15,8368000,15,13384000,15,70,3,6
148,2064000,15,5160000,15,8592000,15,13744000,15,70,3,6
149,2120000,15,5296000,15,8816000,15,14112000,15,70,3,6
150,2176000,15,5432000,15,9056000,15,14480000,15,70,3,6
151,2232000,15,5568000,15,9273600,15,14848000,15,70,3,6
152,2288000,15,5704000,15,9499200,15,15216000,15,70,3,6
153,2344000,15,5840000,15,9724800,15,15584000,15,70,3,6
154,2400000,15,5976000,15,9950400,15,15952000,15,70,3,6
155,2456000,15,6112000,15,10176000,15,16320000,15,70,3,6
156,2512000,15,6248000,15,10401600,15,16688000,15,70,3,6
157,2568000,15,6384000,15,10627200,15,17056000,15,70,3,6
158,2624000,15,6520000,15,10852800,15,17424000,15,70,3,6
159,2680000,15,6656000,15,11078400,15,17792000,15,70,3,6
160,2736000,15,6792000,15,11304000,15,18160000,15,70,3,6
