2006-07-04 13:53,Name,Rank,Type,Code,Attribute,Quality,Job,Appraisal,Value,Weight,ReqLv,Price,Width,Height,StackNumber,AutoStack,StackDrop_Min,StackDrop_Max,Has_Durability,Can_Repair,Durability_Low,Durability_Normal,Durability_High,DropRate_LowQuality,DropRate_NormalQuality,DropRate_HighQuality,5229,Wear : Range,Wear : Speed,Wear : CriticalRate,Wear : Drop LV,Wear : Drop Option Number,Wear : Drop Socket 1EA Rate,Wear : Drop Socket 2EA Rate,Wear : Drop Socket 3EA Rate,Wear : Drop Socket 4EA Rate,Wear : Small Monster Attack Addition,Wear : Middle Monster Attack Addition,Wear : Large Monster Attack Addition,Wear : Boss Monster Attack Addition,Wear : Undead Monster Attack Addition,Option Index 1,Option Value 1,Option Index 2,Option Value 2,Option Index 3,Option Value 3,Option Index 4,Option Value 4,Option Index 5,Option Value 5,Option Index 6,Option Value 6,MinOption1,MaxOption1,MinOption2,MaxOption2,MinOption3,MaxOption3,Level 0 Item LV,Level 0 Melee Min Attack,Level 0 Melee Max Attack,Level 0 Magic Min Attack,Level 0 Magic Max Attack,Level 0 Defance Min,Level 0 Defance Max,Level 0 Blocking Rate,Level 0 Critical Bonus,Level 0 Str Request,Level 0 Dex Request,Level 0 Spr Request,Level 0 Appraisal Addition,BeforeLevelIndex,NextLevelIndex
3807,퀀티티 헬쓰포션,0,0,1,0,38,1111-1111-1111-1111-1111-1111-1111-1111,3200,1600,1,0,3500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3808,퀀티티 마나포션,0,0,2,0,38,1111-1111-1111-1111-1111-1111-1111-1111,3200,1600,1,0,3500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3809,이너머스 헬쓰포션,0,0,1,0,38,1111-1111-1111-1111-1111-1111-1111-1111,3200,1500,1,0,8500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3810,이너머스 마나포션,0,0,2,0,38,1111-1111-1111-1111-1111-1111-1111-1111,3200,1500,1,0,8500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3841,블루 하트(소),2,0,12,0,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,204,1,0,500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3842,블루 하트(대),2,0,12,0,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,205,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3843,레드 하트(소),2,0,12,0,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,206,1,0,500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3844,레드 하트(대),2,0,12,0,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,207,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3845,사랑의 장미,2,0,12,0,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,208,1,0,500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3846,사랑의 꽃다발,2,0,12,0,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,209,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3847,마젠타 캔디,2,0,12,0,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,200,1,0,500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3848,사이안 캔디,2,0,12,0,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,201,1,0,500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3849,레드 롤리팝,2,0,12,0,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,202,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3850,블루 롤리팝,2,0,12,0,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,203,1,0,5000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3851,마나비드,0,0,4,0,35,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,1000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3852,블러드 스틱,0,0,4,0,35,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,1000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3853,에너지 스톤,0,0,4,0,35,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,1000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3951,핵사곤 네크리스,0,2,0,0,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3952,펜타곤 네크리스,0,2,0,0,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3953,문라이트 콜리에,0,2,0,0,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3954,코스모스 콜리에,0,2,0,0,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3955,팬던트 어브 큐어,0,2,0,0,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,600,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3956,소울 리비에르,0,2,0,0,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,600,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3957,세인츠 로사리오,0,2,0,0,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,600,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3958,비거스 네클릿,0,2,0,0,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,600,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3959,스칼렛 하트,0,2,3,0,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3960,타이톤스 티어,0,2,3,0,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3961,버서커스 링,0,2,3,0,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,600,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3962,제피로스 아이,0,2,3,0,34,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,600,1,1,0,0,1,1,0,0,15,35,50,3,2,1,5268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4001,귀환스크롤,0,3,0,0,40,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,50,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4002,로아성 이동스크롤,0,3,0,0,40,1111-1111-1111-1111-1111-1111-1111-1111,1500,7,1,0,50,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4003,스크롤1,0,3,0,0,40,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,100,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4004,스크롤2,0,3,0,0,40,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,100,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4005,요정의 가루,0,3,0,0,40,1111-1111-1111-1111-1111-1111-1111-1111,1500,0,1,0,300,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4010,[워리어]돌레마이,0,7,0,0,37,1111-1111-1111-1111-1111-1111-1111-1111,1700,50001,1,0,50,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4011,[매지션]클로에,0,7,0,0,37,1111-1111-1111-1111-1111-1111-1111-1111,1700,50002,1,0,50,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4012,[매지션]그라니아,0,7,0,0,37,1111-1111-1111-1111-1111-1111-1111-1111,1700,50003,1,0,50,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4013,[매지션]샤비,0,7,0,0,37,1111-1111-1111-1111-1111-1111-1111-1111,1700,50004,1,0,50,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4014,[나이트]에단,0,7,0,0,37,1111-1111-1111-1111-1111-1111-1111-1111,1700,50005,1,0,50,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4015,[헌터]아리스,0,7,0,0,37,1111-1111-1111-1111-1111-1111-1111-1111,1700,50006,1,0,50,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4021,소드 마스터리,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,1,1,5,35,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4022,샤픈 블레이드,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,2,1,7,70,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4023,소드 디펜스,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,3,1,27,1780,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4024,메이스 마스터리,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,21,1,5,35,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4025,아머 브레이커,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,22,1,27,1780,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4026,메이스 베쉬,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,23,1,7,70,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4027,액스 마스터리,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,41,1,5,35,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4028,블리드 슬래쉬,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,42,1,7,70,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4029,아킬레스 건,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,43,1,27,1780,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4030,듀얼 마스터리,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,61,1,16,507,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4031,크로스 피어싱,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,62,1,20,965,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4032,스트랭스,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,81,1,10,188,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4033,헬스 스트렝썬,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,82,1,25,1566,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4034,점핑 크래쉬,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,83,1,15,462,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4035,훨윈드,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,84,1,36,4917,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4036,어질리티,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,101,1,10,188,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4037,윈드 러쉬,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,102,1,20,965,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4038,어택 엑셀레이션,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,103,1,30,2582,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4039,사이클론 슬래쉬,0,3,2,0,40,1000-0000-0000-0000-0000-0000-0000-0000,1500,63,1,29,2283,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
