2005-11-10 17:32,Name,Rank,Type,Code,Attribute,Quality,Job,Appraisal,Value,Weight,ReqLv,Price,Width,Height,StackNumber,AutoStack,StackDrop_Min,StackDrop_Max,Has_Durability,Can_Repair,Durability_Low,Durability_Normal,Durability_High,DropRate_LowQuality,DropRate_NormalQuality,DropRate_HighQuality,No Data,Wear : Range,Wear : Speed,Wear : CriticalRate,Wear : Drop LV,Wear : Drop Option Number,Wear : Drop Socket 1EA Rate,Wear : Drop Socket 2EA Rate,Wear : Drop Socket 3EA Rate,Wear : Drop Socket 4EA Rate,Wear : Small Monster Attack Addition,Wear : Middle Monster Attack Addition,Wear : Large Monster Attack Addition,Wear : Boss Monster Attack Addition,Wear : Undead Monster Attack Addition,Option Index 1,Option Value 1,Option Index 2,Option Value 2,Option Index 3,Option Value 3,Option Index 4,Option Value 4,Option Index 5,Option Value 5,Option Index 6,Option Value 6,MinOption1,MaxOption1,MinOption2,MaxOption2,MinOption3,MaxOption3,Level 0 Item LV,Level 0 Melee Min Attack,Level 0 Melee Max Attack,Level 0 Magic Min Attack,Level 0 Magic Max Attack,Level 0 Defance Min,Level 0 Defance Max,Level 0 Blocking Rate,Level 0 Critical Bonus,Level 0 Str Request,Level 0 Dex Request,Level 0 Spr Request,Level 0 Appraisal Addition,BeforeLevelIndex,NextLevelIndex
2,°¡µð¾ð ÆÒÃ÷,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,14,213,2,2,0,0,1,1,0,0,15,35,50,3,2,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,5,5,0,0,0,0,0,18,18,0,0,0,0,0,0,0,10011
10011,°¡µð¾ð ÆÒÃ÷ +1,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,14,213,2,2,0,0,1,1,0,0,15,35,50,3,2,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,5,5,1,0,0,0,0,20,20,0,0,0,0,0,0,2,10012
10012,°¡µð¾ð ÆÒÃ÷ +2,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,14,213,2,2,0,0,1,1,0,0,15,35,50,3,2,1,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,5,5,2,0,0,0,0,23,23,0,0,0,0,0,0,10011,10013
10013,°¡µð¾ð ÆÒÃ÷ +3,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,14,213,2,2,0,0,1,1,0,0,15,35,50,3,2,1,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,5,5,3,0,0,0,0,27,27,0,0,0,0,0,0,10012,10014
10014,°¡µð¾ð ÆÒÃ÷ +4,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,14,213,2,2,0,0,1,1,0,0,15,35,50,3,2,1,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,5,5,4,0,0,0,0,32,32,0,0,0,0,0,0,10013,10015
10015,°¡µð¾ð ÆÒÃ÷ +5,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,14,213,2,2,0,0,1,1,0,0,15,35,50,3,2,1,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,5,5,5,0,0,0,0,38,38,0,0,0,0,0,0,10014,10016
10016,°¡µð¾ð ÆÒÃ÷ +6,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,14,213,2,2,0,0,1,1,0,0,15,35,50,3,2,1,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,5,5,6,0,0,0,0,45,45,0,0,0,0,0,0,10015,10017
10017,°¡µð¾ð ÆÒÃ÷ +7,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,14,213,2,2,0,0,1,1,0,0,15,35,50,3,2,1,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,5,5,7,0,0,0,0,52,52,0,0,0,0,0,0,10016,10018
10018,°¡µð¾ð ÆÒÃ÷ +8,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,14,213,2,2,0,0,1,1,0,0,15,35,50,3,2,1,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,5,5,8,0,0,0,0,59,59,0,0,0,0,0,0,10017,10019
10019,°¡µð¾ð ÆÒÃ÷ +9,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,14,213,2,2,0,0,1,1,0,0,15,35,50,3,2,1,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,5,5,9,0,0,0,0,66,66,0,0,0,0,0,0,10018,0
3,½ã´õ ÆÒÃ÷,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,27,904,2,2,0,0,1,1,0,0,15,35,50,3,2,1,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5,6,0,0,0,0,0,30,30,0,0,0,0,0,0,0,10021
10021,½ã´õ ÆÒÃ÷ +1,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,27,904,2,2,0,0,1,1,0,0,15,35,50,3,2,1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5,6,1,0,0,0,0,32,32,0,0,0,0,0,0,3,10022
10022,½ã´õ ÆÒÃ÷ +2,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,27,904,2,2,0,0,1,1,0,0,15,35,50,3,2,1,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5,6,2,0,0,0,0,35,35,0,0,0,0,0,0,10021,10023
10023,½ã´õ ÆÒÃ÷ +3,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,27,904,2,2,0,0,1,1,0,0,15,35,50,3,2,1,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5,6,3,0,0,0,0,39,39,0,0,0,0,0,0,10022,10024
10024,½ã´õ ÆÒÃ÷ +4,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,27,904,2,2,0,0,1,1,0,0,15,35,50,3,2,1,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5,6,4,0,0,0,0,44,44,0,0,0,0,0,0,10023,10025
10025,½ã´õ ÆÒÃ÷ +5,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,27,904,2,2,0,0,1,1,0,0,15,35,50,3,2,1,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5,6,5,0,0,0,0,50,50,0,0,0,0,0,0,10024,10026
10026,½ã´õ ÆÒÃ÷ +6,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,27,904,2,2,0,0,1,1,0,0,15,35,50,3,2,1,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5,6,6,0,0,0,0,57,57,0,0,0,0,0,0,10025,10027
10027,½ã´õ ÆÒÃ÷ +7,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,27,904,2,2,0,0,1,1,0,0,15,35,50,3,2,1,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,6,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5,6,7,0,0,0,0,64,64,0,0,0,0,0,0,10026,10028
10028,½ã´õ ÆÒÃ÷ +8,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,27,904,2,2,0,0,1,1,0,0,15,35,50,3,2,1,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5,6,8,0,0,0,0,71,71,0,0,0,0,0,0,10027,10029
10029,½ã´õ ÆÒÃ÷ +9,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,27,904,2,2,0,0,1,1,0,0,15,35,50,3,2,1,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,10,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5,6,9,0,0,0,0,78,78,0,0,0,0,0,0,10028,0
4,Å¸ÀÌÅº ÆÒÃ÷,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,40,3627,2,2,0,0,1,1,0,0,15,35,50,3,2,1,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,4,5,6,0,0,0,0,0,44,44,0,0,0,0,0,0,0,10031
10031,Å¸ÀÌÅº ÆÒÃ÷ +1,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,40,3627,2,2,0,0,1,1,0,0,15,35,50,3,2,1,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,4,5,6,1,0,0,0,0,46,46,0,0,0,0,0,0,4,10032
10032,Å¸ÀÌÅº ÆÒÃ÷ +2,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,40,3627,2,2,0,0,1,1,0,0,15,35,50,3,2,1,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,4,5,6,2,0,0,0,0,49,49,0,0,0,0,0,0,10031,10033
10033,Å¸ÀÌÅº ÆÒÃ÷ +3,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,40,3627,2,2,0,0,1,1,0,0,15,35,50,3,2,1,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,4,5,6,3,0,0,0,0,53,53,0,0,0,0,0,0,10032,10034
10034,Å¸ÀÌÅº ÆÒÃ÷ +4,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,40,3627,2,2,0,0,1,1,0,0,15,35,50,3,2,1,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0,0,2,4,3,4,5,6,4,0,0,0,0,58,58,0,0,0,0,0,0,10033,10035
10035,Å¸ÀÌÅº ÆÒÃ÷ +5,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,40,3627,2,2,0,0,1,1,0,0,15,35,50,3,2,1,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,0,2,4,3,4,5,6,5,0,0,0,0,64,64,0,0,0,0,0,0,10034,10036
10036,Å¸ÀÌÅº ÆÒÃ÷ +6,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,40,3627,2,2,0,0,1,1,0,0,15,35,50,3,2,1,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,2,4,3,4,5,6,6,0,0,0,0,71,71,0,0,0,0,0,0,10035,10037
10037,Å¸ÀÌÅº ÆÒÃ÷ +7,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,40,3627,2,2,0,0,1,1,0,0,15,35,50,3,2,1,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,6,0,0,0,0,0,0,0,0,0,0,2,4,3,4,5,6,7,0,0,0,0,78,78,0,0,0,0,0,0,10036,10038
10038,Å¸ÀÌÅº ÆÒÃ÷ +8,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,40,3627,2,2,0,0,1,1,0,0,15,35,50,3,2,1,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0,0,0,0,0,2,4,3,4,5,6,8,0,0,0,0,85,85,0,0,0,0,0,0,10037,10039
10039,Å¸ÀÌÅº ÆÒÃ÷ +9,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,40,3627,2,2,0,0,1,1,0,0,15,35,50,3,2,1,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,10,0,0,0,0,0,0,0,0,0,0,2,4,3,4,5,6,9,0,0,0,0,92,92,0,0,0,0,0,0,10038,0
5,·¹µð¾ð½º ÆÒÃ÷,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,52,9476,2,2,0,0,1,1,0,0,15,35,50,3,2,1,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,5,5,7,0,0,0,0,0,57,57,0,0,0,0,0,0,0,10041
10041,·¹µð¾ð½º ÆÒÃ÷ +1,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,52,9476,2,2,0,0,1,1,0,0,15,35,50,3,2,1,41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,5,5,7,1,0,0,0,0,59,59,0,0,0,0,0,0,5,10042
10042,·¹µð¾ð½º ÆÒÃ÷ +2,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,52,9476,2,2,0,0,1,1,0,0,15,35,50,3,2,1,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,5,5,7,2,0,0,0,0,62,62,0,0,0,0,0,0,10041,10043
10043,·¹µð¾ð½º ÆÒÃ÷ +3,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,52,9476,2,2,0,0,1,1,0,0,15,35,50,3,2,1,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,5,5,7,3,0,0,0,0,66,66,0,0,0,0,0,0,10042,10044
10044,·¹µð¾ð½º ÆÒÃ÷ +4,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,52,9476,2,2,0,0,1,1,0,0,15,35,50,3,2,1,44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0,0,2,4,3,5,5,7,4,0,0,0,0,71,71,0,0,0,0,0,0,10043,10045
10045,·¹µð¾ð½º ÆÒÃ÷ +5,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,52,9476,2,2,0,0,1,1,0,0,15,35,50,3,2,1,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,0,2,4,3,5,5,7,5,0,0,0,0,77,77,0,0,0,0,0,0,10044,10046
10046,·¹µð¾ð½º ÆÒÃ÷ +6,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,52,9476,2,2,0,0,1,1,0,0,15,35,50,3,2,1,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,2,4,3,5,5,7,6,0,0,0,0,84,84,0,0,0,0,0,0,10045,10047
10047,·¹µð¾ð½º ÆÒÃ÷ +7,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,52,9476,2,2,0,0,1,1,0,0,15,35,50,3,2,1,47,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,6,0,0,0,0,0,0,0,0,0,0,2,4,3,5,5,7,7,0,0,0,0,91,91,0,0,0,0,0,0,10046,10048
10048,·¹µð¾ð½º ÆÒÃ÷ +8,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,52,9476,2,2,0,0,1,1,0,0,15,35,50,3,2,1,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0,0,0,0,0,2,4,3,5,5,7,8,0,0,0,0,98,98,0,0,0,0,0,0,10047,10049
10049,·¹µð¾ð½º ÆÒÃ÷ +9,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,52,9476,2,2,0,0,1,1,0,0,15,35,50,3,2,1,49,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,10,0,0,0,0,0,0,0,0,0,0,2,4,3,5,5,7,9,0,0,0,0,105,105,0,0,0,0,0,0,10048,0
6,¾ÆÄþ¶ó ÆÒÃ÷,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,64,20555,2,2,0,0,1,1,0,0,15,35,50,3,2,1,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,5,5,7,0,0,0,0,0,73,73,0,0,0,0,0,0,0,10051
10051,¾ÆÄþ¶ó ÆÒÃ÷ +1,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,64,20555,2,2,0,0,1,1,0,0,15,35,50,3,2,1,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,5,5,7,1,0,0,0,0,75,75,0,0,0,0,0,0,6,10052
10052,¾ÆÄþ¶ó ÆÒÃ÷ +2,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,64,20555,2,2,0,0,1,1,0,0,15,35,50,3,2,1,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,5,5,7,2,0,0,0,0,78,78,0,0,0,0,0,0,10051,10053
10053,¾ÆÄþ¶ó ÆÒÃ÷ +3,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,64,20555,2,2,0,0,1,1,0,0,15,35,50,3,2,1,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,5,5,7,3,0,0,0,0,82,82,0,0,0,0,0,0,10052,10054
10054,¾ÆÄþ¶ó ÆÒÃ÷ +4,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,64,20555,2,2,0,0,1,1,0,0,15,35,50,3,2,1,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0,0,2,5,3,5,5,7,4,0,0,0,0,87,87,0,0,0,0,0,0,10053,10055
10055,¾ÆÄþ¶ó ÆÒÃ÷ +5,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,64,20555,2,2,0,0,1,1,0,0,15,35,50,3,2,1,55,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,0,2,5,3,5,5,7,5,0,0,0,0,93,93,0,0,0,0,0,0,10054,10056
10056,¾ÆÄþ¶ó ÆÒÃ÷ +6,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,64,20555,2,2,0,0,1,1,0,0,15,35,50,3,2,1,56,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,2,5,3,5,5,7,6,0,0,0,0,100,100,0,0,0,0,0,0,10055,10057
10057,¾ÆÄþ¶ó ÆÒÃ÷ +7,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,64,20555,2,2,0,0,1,1,0,0,15,35,50,3,2,1,57,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,6,0,0,0,0,0,0,0,0,0,0,2,5,3,5,5,7,7,0,0,0,0,107,107,0,0,0,0,0,0,10056,10058
10058,¾ÆÄþ¶ó ÆÒÃ÷ +8,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,64,20555,2,2,0,0,1,1,0,0,15,35,50,3,2,1,58,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0,0,0,0,0,2,5,3,5,5,7,8,0,0,0,0,114,114,0,0,0,0,0,0,10057,10059
10059,¾ÆÄþ¶ó ÆÒÃ÷ +9,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,64,20555,2,2,0,0,1,1,0,0,15,35,50,3,2,1,59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,10,0,0,0,0,0,0,0,0,0,0,2,5,3,5,5,7,9,0,0,0,0,121,121,0,0,0,0,0,0,10058,0
7,ÀÌÅÍ´ÏÆ¼ ÆÒÃ÷,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,76,39419,2,2,0,0,1,1,0,0,15,35,50,3,2,1,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,5,5,7,0,0,0,0,0,90,90,0,0,0,0,0,0,0,10081
10081,ÀÌÅÍ´ÏÆ¼ ÆÒÃ÷ +1,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,76,39419,2,2,0,0,1,1,0,0,15,35,50,3,2,1,61,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,5,5,7,1,0,0,0,0,92,92,0,0,0,0,0,0,7,10082
10082,ÀÌÅÍ´ÏÆ¼ ÆÒÃ÷ +2,0,5,2,0,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,76,39419,2,2,0,0,1,1,0,0,15,35,50,3,2,1,62,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,5,5,7,2,0,0,0,0,95,95,0,0,0,0,0,0,10081,10083
